accepted_index,structure_key,variant_key,niche,strategy,evaluation_found,objective_mga,mga_score,fixed_mass_score,launch_v_infinity_km_s,flyby_delta_v_km_s,charged_delta_v_km_s,flight_days,requested_evaluations,actual_evaluations,worker_seconds
28,3-3-3-3-6-3-3-2-5-2-6-3-5-10,3-3-3-3-6-3-3-2-5-2-6-3-5-10|0000000000001,L14-I9-TSJSJ-R1-F28y,Agent,true,-623702.7824877856,623702.7824877856,1370327.875343066,0.0005977280000890797,20.249298058365582,20.249298058365582,10433.158399206144,3520000,2244452,6228.791630784
29,3-3-3-3-5-3-3-6-2-3-6-2-5-10,3-3-3-3-5-3-3-6-2-3-6-2-5-10|0000000000001,L14-I9-TJSSJ-R1-F29y,Agent,true,-410295.5597317801,410295.5597317801,1653058.2698690596,0.00029712949408740026,35.11552242063965,35.11552242063965,10758.463879322195,3520000,2169441,6041.491766016
30,3-3-3-3-5-3-3-2-6-2-3-5-6-10,3-3-3-3-5-3-3-2-6-2-3-5-6-10|0000000000000,L14-I9-TJSJS-R0-F27y,Agent,true,-127729.94741237421,127729.94741237421,299281.6260789341,5.575341624261593,18.751243396143686,21.82658502040528,9996.207864524664,3520000,2076636,6236.451638624
31,3-3-3-3-6-3-3-5-2-3-2-5-6-10,3-3-3-3-6-3-3-5-2-3-2-5-6-10|0000000000000,L14-I9-TSJJS-R0-F29y,Agent,true,-345606.28860420454,345606.28860420454,897996.4787068678,0.00016237804627358262,24.361582963381736,24.361582963381736,10827.659748994793,3520000,2327266,5899.659015152
32,3-3-3-3-5-3-3-2-5-2-3-5-6-10,3-3-3-3-5-3-3-2-5-2-3-5-6-10|0000000000000,L14-I9-TJJJS-R0-F27y,Agent,true,-293228.5154504277,293228.5154504277,1123299.6719244167,0.0017913811313239611,33.879123930014416,33.879123930014416,10043.744811716804,3520000,2259603,6374.411647728
33,3-3-3-3-5-3-2-5-2-3-6-5-10,3-3-3-3-5-3-2-5-2-3-6-5-10|000000000011,L13-I8-TJJSJ-R1-F27y,Agent,true,-1046541.3785808537,1046541.3785808537,1633800.7813432082,0.0021112165864221838,11.871646020044736,11.871646020044736,10210.847761872348,3520000,2050351,4928.873471536
34,3-3-3-3-5-2-3-2-5-3-2-6-5-10,3-3-3-3-5-2-3-2-5-3-2-6-5-10|0000000000011,L14-I9-TJJSJ-R1-F28y,Agent,true,-913255.663552716,913255.663552716,1745584.8694914333,0.0012802218146016442,16.834076042411002,16.834076042411002,10538.619942076046,3520000,2222708,6650.371926448
35,3-3-3-3-5-2-3-2-5-3-2-5-6-10,3-3-3-3-5-2-3-2-5-3-2-5-6-10|0000000000000,L14-I9-TJJJS-R0-F29y,Agent,true,-173023.28671805232,173023.28671805232,588147.930024715,0.00035456312560056805,30.948866505871827,30.948866505871827,10806.984731569803,3520000,2239443,5574.783735296
36,3-3-3-3-5-3-2-3-5-2-3-6-5-10,3-3-3-3-5-3-2-3-5-2-3-6-5-10|0000000000011,L14-I9-TJJSJ-R1-F28y,Agent,true,-1013660.0234262273,1013660.0234262273,1746650.2484726722,0.00039771392059870215,14.291779588457699,14.291779588457699,10242.939120538598,3520000,2271110,6048.004387408
37,3-3-3-3-5-3-2-3-5-3-2-6-5-10,3-3-3-3-5-3-2-3-5-3-2-6-5-10|0000000000011,L14-I9-TJJSJ-R1-F24y,Agent,true,-987520.5493829026,987520.5493829026,1743989.222565142,5.237338447122709,12.157571571038735,14.894910018161443,9029.54891634708,3520000,2267471,6217.033666864
38,3-3-3-3-6-2-3-2-6-3-2-5-5-10,3-3-3-3-6-2-3-2-6-3-2-5-5-10|0000000000001,L14-I9-TSSJJ-R1-F28y,Agent,true,-170531.46408449853,170531.46408449853,1705079.550139912,0.00006998864403672537,57.39972864041728,57.39972864041728,10274.906675977543,3520000,2446664,7844.21379728
39,3-3-3-3-5-2-3-2-5-2-3-6-5-10,3-3-3-3-5-2-3-2-5-2-3-6-5-10|0000000000011,L14-I9-TJJSJ-R1-F28y,Agent,true,-978200.6860008716,978200.6860008716,1657917.9827740074,2.5000105036354654,13.8865282482522,13.886538751887665,10359.54189330621,3520000,2240083,5632.078523152
40,3-3-3-3-2-5-3-2-5-3-2-6-5-10,3-3-3-3-2-5-3-2-5-3-2-6-5-10|0000000000011,L14-I9-TJJSJ-R1-F28y,Agent,true,-908741.4168507725,908741.4168507725,1629690.2170210343,0.0009374346954986615,15.271277535208256,15.271277535208256,10404.696644223975,3520000,2230218,5866.249684
41,3-3-3-5-3-2-5-2-3-6-5-10,3-3-3-5-3-2-5-2-3-6-5-10|00000000011,L12-I7-TJJSJ-R1-F25y,Agent,true,-797594.836676762,797594.836676762,1575574.122017736,2.5013596561864344,17.640421050318512,17.641780706504946,9268.215664719122,3520000,2111203,4879.68637064
42,3-3-3-3-6-2-3-2-5-2-3-6-5-10,3-3-3-3-6-2-3-2-5-2-3-6-5-10|0000000000011,L14-I9-TSJSJ-R1-F28y,Agent,true,-569456.7550766435,569456.7550766435,1574187.6351628331,0.0007717098480424421,25.880286672945402,25.880286672945402,10519.110812831941,3520000,2175274,6947.917579344
43,3-3-3-3-6-3-2-6-2-3-6-6-10,3-3-3-3-6-3-2-6-2-3-6-6-10|000000000000,L13-I8-TSSSS-R0-F29y,Agent,true,-79754.13754762134,79754.13754762134,865791.9089117167,6.087822906272043,55.82836730177304,59.41619020804509,10885.9393106539,3520000,2132872,7088.428853744
44,3-3-3-3-5-3-2-3-6-3-2-6-5-10,3-3-3-3-5-3-2-3-6-3-2-6-5-10|0000000000011,L14-I9-TJSSJ-R1-F26y,Agent,true,-452232.7145356122,452232.7145356122,1867339.13359681,0.0005037830051917171,35.71785421914576,35.71785421914576,9758.789173452931,3520000,2271168,7656.439570288
45,3-3-3-3-6-3-2-3-5-2-3-6-6-10,3-3-3-3-6-3-2-3-5-2-3-6-6-10|0000000000000,L14-I9-TSJSS-R0-F28y,Agent,true,-139913.9083837022,139913.9083837022,835328.5533329248,0.00017050676066707437,44.75774580018913,44.75774580018913,10438.156502322574,3520000,2296476,8181.462128896
46,3-3-3-3-6-3-2-3-6-3-2-6-6-10,3-3-3-3-6-3-2-3-6-3-2-6-6-10|0000000000000,L14-I9-TSSSS-R0-F29y,Agent,true,-82497.58221405254,82497.58221405254,883351.9581210355,0.00011827073880448417,59.07930138940517,59.07930138940517,10675.061444619176,3520000,2254465,8295.280690832
47,3-3-3-3-6-3-2-3-6-3-2-5-6-10,3-3-3-3-6-3-2-3-6-3-2-5-6-10|0000000000000,L14-I9-TSSJS-R0-F29y,Agent,true,-150930.50934283258,150930.50934283258,547465.1000766045,0.0010702925863808612,32.54065448650953,32.54065448650953,10762.540943818338,3520000,2194118,7134.79253984
48,3-3-3-3-6-3-2-3-5-2-3-5-5-10,3-3-3-3-6-3-2-3-5-2-3-5-5-10|0000000000001,L14-I9-TSJJJ-R1-F27y,Agent,true,-252983.1865814406,252983.1865814406,1781457.2256952506,0.0008137891955125249,48.804609792782145,48.804609792782145,10080.901792437597,3520000,2223391,6191.372727536
49,3-3-3-3-5-2-3-2-5-2-3-5-6-10,3-3-3-3-5-2-3-2-5-2-3-5-6-10|0000000000000,L14-I9-TJJJS-R0-F29y,Agent,true,-251935.08958664554,251935.08958664554,878009.6777635547,0.00013787400264411023,31.56016000239628,31.56016000239628,10774.618568177322,3520000,2402049,6882.893656112
50,3-3-3-3-6-3-2-3-5-3-2-6-5-10,3-3-3-3-6-3-2-3-5-3-2-6-5-10|0000000000011,L14-I9-TSJSJ-R1-F27y,Agent,true,-650472.2436311465,650472.2436311465,1691745.9871038534,0.00006619903904374676,24.384919388371927,24.384919388371927,10129.747517277488,3520000,2238892,6091.612207968
