point_id,feasible,selected,objective_rms_spot_um,objective_track_length_mm,objective_glass_volume_mm3,constraint_edge_thickness_mm,constraint_efl_mm,constraint_lost_rays,decision_0,decision_1,decision_2,decision_3,decision_4,decision_5,decision_6,decision_7,decision_8,decision_9,decision_10
0,1,1,36.82426296481065,61.41150394487666,620.2677707625829,-0.08513599907900615,-0.10140219796105043,0,0.03515535980606514,-0.01643796181543517,-0.05487213400592812,0.03146797023431902,0.0015456786146183787,-0.05871970485324507,1.5338485873185679,2.743590371280729,3.781005548157755,2.7428683081133807,2.921839386178381
1,1,0,37.61270397937488,61.28215333648271,620.2677707625814,-0.08513599907900615,-0.06968427984592296,0,0.03515535980606514,-0.01643796181543517,-0.05487213400592812,0.03146797023431902,0.001545678614618379,-0.05871970485324507,1.5338485873185679,2.743590371280729,3.781005548157755,2.8329315256673624,2.921839386178381
2,1,0,38.751328014779105,59.991872279376175,544.4513485010376,-0.24013860474638515,-0.5511696573587841,0,0.038580583397460254,-0.010580287027977902,-0.0543952046427685,0.03121902161679046,0.0013245756557145577,-0.06064247154709858,1.6593139942758128,2.6675604090994325,2.7672044607199346,3.113159571269188,2.2102824159861565
3,1,0,39.100247483940734,61.48818890651819,505.33293485386287,-0.2534257949879162,-0.06569030408505938,0,0.03715782318808582,-0.010981311584007215,-0.05457670404321501,0.03122890833830591,0.0012988811802488271,-0.06064247154709859,1.6593474168656606,1.9876454770705199,2.9410681462993766,3.1211915773262042,2.7769766002348906
4,1,0,39.67547106176778,59.68961787324588,452.79314559572487,-0.24778721816319638,-0.4131401873412486,0,0.03942747108509876,-0.009327995707763964,-0.05440042786074562,0.031218299781730515,0.001965318050992606,-0.0606311666101722,1.6621777604571468,2.128842266409183,2.1374912562362924,2.464566929775925,2.4298221015741226
5,1,0,39.67547106176798,59.68961787324589,452.79314559572464,-0.24778721816319638,-0.41314018734124147,0,0.03942747108509875,-0.009327995707763964,-0.054400427860745615,0.03121829978173051,0.001965318050992606,-0.06063116661017219,1.6621777604571468,2.128842266409183,2.1374912562362924,2.464566929775925,2.429822101574123
6,1,0,39.93471303501477,59.58614320879364,515.3178196512531,-0.23382779549327615,-0.3789139650345561,0,0.03798593887595242,-0.011922556049895405,-0.054379523278508424,0.03121829978173052,0.0012631386480164031,-0.06064247154709858,1.6621777604571468,2.135535848300554,2.9297641839379445,2.393949830507454,2.431673377032572
7,1,0,40.55100164349877,59.441229859627946,564.3783063103022,-0.23680331859254689,-0.5443533850049889,0,0.03770272461959196,-0.012008941559867346,-0.05437642569856808,0.03121829978173052,0.0012763824402512469,-0.06064247154709858,1.6625978362850695,2.947914885040902,2.7404638832253476,3.238153921626172,2.382115986928504
8,1,0,40.820697747069644,59.479634718769134,515.1379360626145,-0.23382779549327615,-0.33841448368595195,0,0.03798593887595242,-0.011922556049895405,-0.054379523278508424,0.03121829978173052,0.0012763824402512469,-0.06064279807156851,1.6621777604571468,2.1333304124427714,2.9297641839379445,2.4592977375766853,2.4298221015741226
9,1,0,41.26092968768455,59.35881698796249,551.2027294402267,-0.08751498716234196,-0.5664097315090828,0,0.037653546146938444,-0.012008941559867346,-0.054376425698568084,0.03121829978173052,0.0012763824402512469,-0.06064247154709858,1.5126779113835531,2.9297652209076612,2.740463883225348,3.3249044915963433,2.382115986928504
10,1,0,41.284336611538905,59.3500184530547,551.199321934961,-0.08751498716234196,-0.5573758317814068,0,0.037653546146938444,-0.012008941559867346,-0.054376425698568084,0.03121829978173052,0.0012833242226981615,-0.06064247154709858,1.5126779113835531,2.9297652209076617,2.740463883225348,3.3249044915963433,2.382115986928504
11,1,0,41.30708962474715,60.8437340795025,444.6361680542954,-0.12988857854177027,-0.10901027455285828,0,0.03648462684983532,-0.013416561705645931,-0.054888334388091264,0.03114409327311171,0.0014656916294090382,-0.05985410366371754,1.557701208344919,2.0703888120895,2.1925146777467566,2.316597461224949,2.8449025057567647
12,1,0,43.4162470416348,59.641913469875995,501.7320565197856,-0.22673250679900359,-0.9771544019722995,0,0.03774033066182986,-0.012514503001073598,-0.05510727139249146,0.031150090855862053,0.0014005557148590963,-0.06066618930373034,1.6593474168656606,1.9643340713560802,2.9296791162304903,2.2547298760895966,2.13562627596653
13,1,0,44.32200440461765,59.62438074958543,502.7916517857128,-0.24324458200267096,-0.9120321091789876,0,0.037728014802366296,-0.011990991887134908,-0.05437570307805449,0.03124673530231365,0.0014092513587666004,-0.060665952580709885,1.6691389377466979,1.9643340713560802,2.9342156178782273,2.2547298760895975,2.161448791347982
14,1,0,44.35217968555448,59.17069963571551,501.7371630719987,-0.22729805241773415,-0.3186196057693991,0,0.03770012342057767,-0.01251058359422565,-0.0543757030780545,0.031150090855862057,0.0014005557148590966,-0.06066618930373034,1.6593474168656606,1.9643340713560804,2.9342156178782273,1.9766563184178074,2.161448791347982
15,1,0,44.64065512318928,59.18997127929197,460.5580332061429,-0.3466528378232845,-0.5847704158866733,0,0.03942747108509875,-0.009327995707763964,-0.054400427860745615,0.03121829978173051,0.001965318050992606,-0.06063116661017219,1.761043380117235,2.128842266409183,2.1374912562362924,2.850241777202636,2.429822101574123
16,1,0,44.86792443168961,59.14318251286912,497.7735374965961,-0.22729805241773415,-0.36689782057886333,0,0.03770012342057767,-0.01251058359422565,-0.05437570307805449,0.031150090855862053,0.0014005557148590963,-0.06066618930373034,1.6593474168656606,1.9643340713560802,2.883749169646954,1.975341228183403,2.161448791347982
17,1,0,46.92776664442895,61.40862161733578,425.2869111993694,-0.07733648035297791,-0.2538989690911251,0,0.03715931825680459,-0.011301867997955257,-0.05470204978358133,0.03217950822082461,0.0013153108726264586,-0.060642238305433284,1.4872935950963906,1.150994638451862,2.92588140570792,3.2403195614888727,3.3339684866245385
18,1,0,47.66945572072456,59.0253495176087,453.2923978242336,-0.23382779549327615,-0.9136338695268478,0,0.03798593887595242,-0.011922556049895405,-0.054400427860745615,0.03121829978173052,0.0012832263583879835,-0.06064279807156851,1.6621777604571468,2.1333304124427714,2.142229392322572,2.4592977375766845,2.4298221015741226
19,1,0,48.893592612067934,58.80485292450538,501.7371630719979,-0.22729805241773415,-0.20136205887833825,0,0.03770012342057767,-0.01251058359422565,-0.05437570307805449,0.031150090855862053,0.0014005557148590968,-0.06066618930373034,1.6593474168656606,1.9643340713560806,2.9342156178782277,2.2524177950037023,2.161448791347982
20,1,0,48.93693079117607,58.80179843410879,501.7371630719987,-0.22729805241773415,-0.20038128740563366,0,0.03770012342057767,-0.01251058359422565,-0.05437570307805449,0.031150090855862053,0.0014005557148590966,-0.06066618930373034,1.6593474168656606,1.9643340713560804,2.9342156178782273,2.254729876089597,2.161448791347982
21,1,0,51.118821599106575,60.61153176590074,439.9135633856428,-0.14799938644042143,-0.5838802116168011,0,0.03507063532446597,-0.01341656170564593,-0.05395358423045424,0.03114409327311171,0.0014656916294090382,-0.0606344377163249,1.557701208344919,2.012457683095483,2.1925146777467566,2.316597461224949,2.85151594174373
22,1,0,51.433419390533786,58.403254742607174,554.9051726795765,-0.5081172347026592,-0.1319093573840675,0,0.03651189064587341,-0.015678695368178,-0.054882909064549415,0.031198849513191844,0.001973015336860249,-0.05984407609233182,2.0826646606010266,3.0607017865196013,2.0983695800308952,1.8031633648450351,1.9902901825146726
23,1,0,52.07787173006545,58.35449818038183,544.6195297208603,-0.03444307360050747,-0.9951577610756459,0,0.03770876013653862,-0.0127646616678149,-0.05437298021996835,0.031233815871727175,0.0012768550298212417,-0.06065057896951577,1.469788881292715,3.4086100470749123,2.225752006161153,3.113092325700375,1.785051563427384
24,1,0,53.11731706658013,58.31621136704253,543.6572390474795,-0.049943978912585285,-0.9702188868942656,0,0.03765745181744197,-0.0127646616678149,-0.05437636458634562,0.031233815871727175,0.0012768550298212417,-0.06065057896951577,1.4846308349761346,3.3811673682363943,2.2257520061611524,3.1811792461620003,1.785051563427384
25,1,0,53.37000596281648,57.17289674923357,581.7813271071324,-0.9486583800736701,-0.04563526214101188,0,0.042091560944054154,-0.012051901162618374,-0.05480915787326693,0.036275960646033015,0.0017262509162335505,-0.060152857232215945,2.431547438570866,2.400862834160569,2.7331321555083985,4.090856857576969,2.709108772506631
26,1,0,54.09155159227958,58.88135697104255,498.2544890777945,-0.2130056659779107,-0.600493341751509,0,0.03767306762341125,-0.011905074949667787,-0.05437962057440492,0.03123394985057554,0.0012597501801968431,-0.06064247154709858,1.6371174733739942,2.100979246321336,2.7699025576589023,3.232903113198684,2.447281283170616
27,1,0,56.77951810988693,57.3497795247638,566.6216438984763,-0.1558852028468316,-0.24342079220693336,0,0.041839227829347986,-0.010536752318111412,-0.05475805019484631,0.03541173551288694,0.001283879337459417,-0.060619381903214614,1.6165271211516683,2.854634557030213,2.8963780056266124,5.389905549960556,2.8970180936093604
28,1,0,57.42294785886266,58.24464648863514,534.5981150261966,-0.21096530263741964,-0.33656974747055557,0,0.0376352452794463,-0.011211989198732064,-0.053202853680230124,0.031396572099359366,0.0017397676447156196,-0.06083454639418612,1.6259060377509336,2.431097187233966,2.920021433442084,3.1099637909678868,1.854065958570795
29,1,0,58.42237217226944,60.044727773162535,440.7283221798338,-0.15249191259763673,-0.3765180143488607,0,0.03532085139976496,-0.012849025858651617,-0.05395358423045424,0.0311427708225046,0.001319847075305978,-0.06063427343398435,1.5582787821731472,2.0329559498728926,2.1789422714232165,3.3062868616857557,2.875954103456217
30,1,0,58.86018893889089,59.96968676027209,440.70406618714395,-0.15187357809025737,-0.4399492752236682,0,0.03532085139976496,-0.012898338849425709,-0.05395358423045424,0.0311427708225046,0.001319847075305978,-0.06063427343398435,1.5582787821731472,2.0329559498728926,2.1789422714232165,3.3062868616857557,2.875954103456217
31,1,0,59.89128065476,60.08372832070741,440.68721318294416,-0.15385289401517688,-0.3402109064965728,0,0.03507063532446597,-0.012949807792695594,-0.05395358423045424,0.03114409327311171,0.0014656916294090382,-0.06063427343398435,1.5577012083449189,2.0329559498728926,2.1789422714232165,3.3062868616857557,2.85151594174373
32,1,0,59.93419349130881,59.895045038039896,438.533952356522,-0.15187357809025737,-0.43119042168866883,0,0.03532085139976496,-0.012898338849425709,-0.05395358423045424,0.0311427708225046,0.001319847075305978,-0.06063427343398435,1.5582787821731472,2.0329559498728926,2.151311523965967,3.352268815799515,2.875954103456217
33,1,0,61.02875661747709,60.95131619967153,422.1604127789596,-0.2207944498886616,-0.7645418717905983,0,0.0335518267920433,-0.01544241339933804,-0.05395358423045424,0.03157582183923454,0.0014008142737556083,-0.06091266056356394,1.6365040691583521,1.209038337877053,2.69283741555011,1.2980998236243972,2.904638590435926
34,1,0,61.09802803239286,60.95784002789204,421.66676761354074,-0.22079444988866137,-0.7814643127865892,0,0.0335518267920433,-0.015442413399338037,-0.05395358423045424,0.03157582183923454,0.0013946332676777191,-0.06091266056356394,1.636504069158352,1.209038337877053,2.686513499040913,1.2980998236243977,2.9040161368351654
35,1,0,61.290077446554804,59.60718093357957,439.91356338564304,-0.14799938644042165,-0.8778867158212122,0,0.03507063532446597,-0.013416561705645931,-0.05395358423045424,0.03114409327311171,0.0014656916294090382,-0.0606344377163249,1.5577012083449193,2.012457683095483,2.1925146777467566,3.1135117463082285,2.85151594174373
36,1,0,61.63687848212805,60.01669137543151,437.7829838768159,-0.141456219337196,-0.2984953670245858,0,0.0335518267920433,-0.015530734763293638,-0.05395358423045424,0.031333019462052254,0.00143246605321701,-0.06091266056356394,1.5582748452470643,1.6849304819625073,2.496375253626575,1.9334381680306532,2.9036199210444824
37,1,0,62.40409733995868,60.16533067050776,437.068674102289,-0.22688087882328212,-0.3807618292771906,0,0.03715931825680459,-0.011301867997955259,-0.054703726418683506,0.0321956382379778,0.0013153108726264586,-0.06091100454351768,1.6368379935666948,1.1531093565550816,2.92588140570792,3.877377099406776,3.0482089922988553
38,1,0,62.404097339959094,60.16533067050776,437.06867410228875,-0.22688087882328234,-0.3807618292771906,0,0.03715931825680459,-0.011301867997955257,-0.0547037264186835,0.0321956382379778,0.0013153108726264586,-0.06091100454351768,1.636837993566695,1.1531093565550816,2.92588140570792,3.877377099406776,3.0482089922988553
39,1,0,65.1218352463234,59.92506739017471,414.3155746383468,-0.1414562193371962,-0.6484466752635569,0,0.0335518267920433,-0.015530734763293638,-0.05395358423045424,0.031333019462052254,0.0014020925622324014,-0.06091266056356394,1.5582748452470645,1.6849304819625073,2.19738908578578,1.9149703374121123,2.9036199210444824
40,1,0,65.12183524632343,59.9250673901747,414.3155746383468,-0.14145621933719643,-0.6484466752635427,0,0.0335518267920433,-0.015530734763293638,-0.05395358423045424,0.03133301946205225,0.0014020925622324014,-0.06091266056356394,1.5582748452470647,1.6849304819625073,2.1973890857857796,1.914970337412112,2.9036199210444824
41,1,0,66.61284082426785,56.71601945626463,665.2008150118634,-0.9213092149252218,-0.10819376410687198,0,0.041595464945846025,-0.012825654705916338,-0.054882718839581596,0.03634043308758797,0.0013883726702688772,-0.06020058899938617,2.428538930401489,3.6890864959852006,2.5090351125310515,5.0006386377550935,2.6010854723841783
42,1,0,67.93863236158471,59.472440451212044,414.9452562731303,-0.1407514580150384,-0.31023651475025105,0,0.03361337378782675,-0.015524265236313554,-0.05395358423045424,0.031149485654877962,0.0014166528647403874,-0.06092699776041795,1.5582748452470647,1.6175335950681493,2.2744992321207853,1.9592827400850616,2.858002362667011
43,1,0,68.27531658178835,56.75232156184606,528.2639540168868,-0.02061504095923561,-0.23332192722784129,0,0.037708760136538635,-0.01281094371194916,-0.05437298021996835,0.031233815871727175,0.0012768550298212417,-0.06092998822123835,1.4565411541150008,3.3032839769143223,2.1382018896156625,3.840752747991355,1.785051563427384
