point_id,feasible,selected,objective_negative_peak_gain_db,objective_psll_db,objective_active_count,objective_robustness_margin_db,constraint_null_db,constraint_kernel,peak_deg,hpbw_deg,phase_codes,attenuator_codes
89,1,0,-16.142452330396058,-8.394355468104363,8,4.817953640821534,-5.489354791449774,-1,33.88944195035474,16.122645924524665,"5;51;34;15;61;43;27;62;54;38;22;59;45;25;14;62","13;20;7;5;9;3;1;0;0;2;2;3;12;17;23;23"
90,1,0,-16.084311456082588,-8.499374819947619,8,4.875611741819322,-5.6268649048725194,-1,33.84180829878951,16.20071902696544,"5;51;34;15;61;43;27;62;54;38;22;59;45;25;14;62","13;20;7;5;9;3;1;0;0;2;2;4;12;17;23;23"
91,1,0,-16.018128014156716,-6.63127129474442,9,3.8083706942568116,-10.676308225442924,-1,35.433878340958984,16.164668255611016,"5;49;36;16;7;46;27;63;58;39;20;5;33;30;13;59","24;25;16;8;7;3;1;0;0;1;2;7;16;11;13;30"
92,1,0,-15.994595386429024,-10.080187947257443,8,6.160082028133585,-5.6441601454255945,-1,-31.672414373683782,15.94444695344588,"14;24;40;56;7;24;33;63;8;25;40;62;8;24;48;55","24;22;17;12;9;4;1;0;0;2;4;5;15;23;23;24"
93,1,0,-15.992850780532919,-7.053090275151769,8,4.25814758037882,-3.7857423261740344,-1,34.080690269865784,15.391463177327939,"5;51;32;15;61;43;27;58;54;38;20;59;45;25;14;62","13;20;7;5;4;3;1;0;0;2;2;4;12;17;23;23"
94,1,0,-15.85633514862522,-8.78586903303824,8,4.526953001465416,-8.86063672165908,-1,-33.309561345286646,16.557706836303325,"30;50;40;14;60;24;33;63;9;25;40;62;9;24;19;55","23;22;17;12;9;4;1;0;0;1;4;5;7;23;23;24"
95,1,0,-15.727545850569637,-6.320023771473896,9,3.3839529308706147,-2.6946700305909843,-1,24.545268352580845,14.722710722520926,"10;1;42;53;41;31;24;63;55;37;40;4;18;59;48;32","23;22;19;12;7;3;1;0;0;1;2;7;8;17;12;24"
96,1,1,-15.689460824019461,-0.0000004202128117730439,13,0.0000004202128117730439,-5.3228736734885835,-1,82.63575496759496,NaN,"5;49;32;14;60;9;37;12;55;25;42;5;37;26;13;9","13;25;12;6;8;0;1;0;0;1;4;4;7;24;17;24"
97,1,0,-15.636105150377993,-5.973891627588132,9,3.364184345666443,-2.2577345398096327,-1,24.58176464126936,14.67311998038392,"10;1;42;53;41;31;25;63;55;37;40;4;18;59;48;32","23;22;19;12;7;3;1;0;0;1;2;7;8;17;12;24"
98,1,0,-15.475487803372534,-4.870302262570555,9,2.3915209131639705,-3.480274164822376,-1,24.158903000549927,14.705172263065336,"10;1;42;53;40;31;25;63;59;37;40;4;18;59;48;51","22;22;19;12;7;3;1;0;0;1;2;7;8;17;22;24"
99,1,0,-15.331026761969655,-6.313236196245072,8,3.7747499327410505,-3.253622527040772,-1,-16.64376311665485,13.161725633451349,"39;9;18;26;27;43;51;60;59;19;21;41;38;46;55;9","17;13;11;8;5;3;1;0;0;2;3;5;8;11;14;14"
