evaluations,elapsed_seconds,best_quality,feasible_population,pareto_population
128,0.031146577,0.13338342713146878,93,77
256,0.062425411,0.09057196621779989,128,116
768,0.191460033,0.00716393111904462,125,125
1408,0.355251381,0.00716393111904462,127,127
2048,0.514594964,0.00716393111904462,128,128
2688,0.678413553,-0.006389348930604943,128,128
3328,0.836965569,-0.006389348930604943,128,128
3968,0.996438286,0.014673948770415002,128,128
4608,1.157903863,0.014673948770415002,128,128
5248,1.318969177,0.035500258789284755,127,127
5888,1.4778688930000001,-0.049573566285814885,127,127
6528,1.639545231,-0.03014047366282757,127,127
7168,1.799626182,0.021391899052637997,127,127
7808,1.961858977,-0.01514265645954449,128,128
8192,2.063709995,-0.01514265645954449,127,127
