source,step,selected_count,cost,edge_coverage,group_coverage,coverage,roi,uncovered_edges
marginal-greedy-prefix,0,0,0.00000000000000000,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,30025
marginal-greedy-prefix,1,1,0.06712248358491349,14,222.05951871532383279,236.05951871532383279,0.00098519756797133,30011
marginal-greedy-prefix,2,2,0.13155298110641234,29,406.69075627713340282,435.69075627713340282,0.00181836121588244,29996
marginal-greedy-prefix,3,3,0.21441074888863290,49,641.96034425964353431,690.96034425964353431,0.00288373226563324,29976
marginal-greedy-prefix,4,4,0.29710702222326524,69,874.75280093013782334,943.75280093013782334,0.00393876497462393,29956
marginal-greedy-prefix,5,5,0.37680422349426929,85,1095.33079188473152499,1180.33079188473152499,0.00492612639344088,29940
marginal-greedy-prefix,6,6,0.45447179186438086,97,1306.67653456389552957,1403.67653456389552957,0.00585826284657675,29928
marginal-greedy-prefix,7,7,0.52138927892677467,105,1486.64022796435506280,1591.64022796435506280,0.00664273184241657,29920
marginal-greedy-prefix,8,8,0.60640018969247234,122,1707.17630476988210830,1829.17630476988210830,0.00763409184538460,29903
marginal-greedy-prefix,9,9,0.67985071891828552,133,1901.29839831533558936,2034.29839831533558936,0.00849017165440037,29892
marginal-greedy-prefix,10,10,0.74543120178183220,147,2068.23887299179159527,2215.23887299179159527,0.00924532915268281,29878
marginal-greedy-prefix,11,11,0.83440117795491875,160,2300.45079299508552140,2460.45079299508552140,0.01026872439020408,29865
marginal-greedy-prefix,12,12,0.92354913085518164,178,2514.80126034318391248,2692.80126034318391248,0.01123844218253934,29847
marginal-greedy-prefix,13,13,0.99328047791373308,191,2682.84542782539938344,2873.84542782539938344,0.01199403244413761,29834
marginal-greedy-prefix,14,14,1.06973178092485410,206,2863.39587288278335109,3069.39587288278335109,0.01281016484978984,29819
marginal-greedy-prefix,15,15,1.14481735417758879,219,3042.27590006190075655,3261.27590006190075655,0.01361097871719042,29806
marginal-greedy-prefix,16,16,1.22434206093156517,233,3229.66526389647378892,3462.66526389647378892,0.01445147992868524,29792
marginal-greedy-prefix,17,17,1.30728979823552494,246,3426.00040049163271760,3672.00040049163271760,0.01532514292938469,29779
marginal-greedy-prefix,18,18,1.37900520015233607,255,3597.71904961690688651,3852.71904961690688651,0.01607937463575360,29770
marginal-greedy-prefix,19,19,1.46384844483887688,267,3798.32493009901736514,4065.32493009901736514,0.01696668812994053,29758
marginal-greedy-prefix,20,20,1.53812198871303685,288,3962.97910782896406090,4250.97910782896360615,0.01774151833114854,29737
marginal-greedy-prefix,21,21,1.60002116388898741,299,4106.64745413967921195,4405.64745413967921195,0.01838702874926993,29726
marginal-greedy-prefix,22,22,1.67616195386976718,318,4276.75870875141390570,4594.75870875141390570,0.01917628710721893,29707
marginal-greedy-prefix,23,23,1.75543337013442469,330,4460.87181922123272670,4790.87181922123272670,0.01999476780451782,29695
marginal-greedy-prefix,24,24,1.83643530099376884,342,4648.23597772111497761,4990.23597772111497761,0.02082681679438125,29683
marginal-greedy-prefix,25,25,1.91922231986527381,362,4831.78947462919313693,5193.78947462919313693,0.02167635004428905,29663
marginal-greedy-prefix,26,26,1.99392611033480160,380,4996.80732193008225295,5376.80732193008225295,0.02244017748508641,29645
marginal-greedy-prefix,27,27,2.08310337342088348,392,5202.64071850198706670,5594.64071850198706670,0.02334930808779844,29633
marginal-greedy-prefix,28,28,2.15880423889165973,406,5372.47238571548768959,5778.47238571548768959,0.02411653201691805,29619
marginal-greedy-prefix,29,29,2.25868356918954971,429,5590.08530964130932261,6019.08530964130932261,0.02512073328261690,29596
marginal-greedy-prefix,30,30,2.36048276895013354,442,5821.49995995484187006,6263.49995995484187006,0.02614080110439300,29583
marginal-greedy-prefix,31,31,2.47482697393139839,465,6068.81378918044356396,6533.81378918044356396,0.02726895949678234,29560
marginal-greedy-prefix,32,32,2.55321470557974761,482,6236.56539802336192224,6718.56539802336192224,0.02804002281463285,29543
marginal-greedy-prefix,33,33,2.62897052327151526,494,6400.09699585196540284,6894.09699585196540284,0.02877260629283358,29531
marginal-greedy-prefix,34,34,2.72844173281804947,509,6614.62006190532792971,7123.62006190532792971,0.02973052388793717,29516
marginal-greedy-prefix,35,35,2.79497528026124353,525,6751.56674060223213019,7276.56674060223213019,0.03036884890317707,29500
marginal-greedy-prefix,36,36,2.86505872090188474,542,6895.59254982171933079,7437.59254982171933079,0.03104089227803021,29483
marginal-greedy-prefix,37,37,2.96646507237555257,547,7123.43687746236082603,7670.43687746236082603,0.03201267120292127,29478
marginal-greedy-prefix,38,38,3.04611446963948085,564,7288.38362093773230299,7852.38362093773230299,0.03277202837753455,29461
marginal-greedy-prefix,39,39,3.11835093640400185,576,7440.64758635044836410,8016.64758635044836410,0.03345758624069827,29449
marginal-greedy-prefix,40,40,3.19082283489915275,582,7599.06808537986398733,8181.06808537986398733,0.03414379739901111,29443
marginal-greedy-prefix,41,41,3.27065694570131527,597,7762.99522034740584786,8359.99522034740584786,0.03489055219701052,29428
marginal-greedy-prefix,42,42,3.34743567996480218,610,7921.53450861587953113,8531.53450861587953113,0.03560647371770733,29415
marginal-greedy-prefix,43,43,3.42050185292596343,622,8072.53416357611877174,8694.53416357611786225,0.03628675496423758,29403
marginal-greedy-prefix,44,44,3.50823887384510202,641,8248.98196674314385746,8889.98196674314385746,0.03710245899258352,29384
marginal-greedy-prefix,45,45,3.58957709398581803,658,8412.42021451750042615,9070.42021451750042615,0.03785552044015295,29367
marginal-greedy-prefix,46,46,3.65878764972598214,671,8552.80452748050265654,9223.80452748050265654,0.03849567192787304,29354
marginal-greedy-prefix,47,47,3.74758119276516366,692,8728.28952316961476754,9420.28952316961476754,0.03931570469312329,29333
marginal-greedy-prefix,48,48,3.83346532007501040,704,8904.85849156871518062,9608.85849156871518062,0.04010269981228937,29321
marginal-greedy-prefix,49,49,3.90627565222374429,725,9042.59216267743067874,9767.59216267743067874,0.04076517691798939,29300
marginal-greedy-prefix,50,50,3.98002785059683895,741,9186.79190047730844526,9927.79190047730844526,0.04143377267269148,29284
marginal-greedy-prefix,51,51,4.06663053961289211,753,9362.88573009093124710,10115.88573009093124710,0.04221878479376265,29272
marginal-greedy-prefix,52,52,4.14617385889608236,769,9518.10539673188213783,10287.10539673188213783,0.04293337236930944,29256
marginal-greedy-prefix,53,53,4.23208858336268090,782,9689.91542297070009226,10471.91542297070009226,0.04370467949294538,29243
marginal-greedy-prefix,54,54,4.30582401410319715,799,9831.29814220477237541,10630.29814220477237541,0.04436569189628874,29226
marginal-greedy-prefix,55,55,4.40289299063585293,815,10022.90408274162655289,10837.90408274162655289,0.04523213807404260,29210
marginal-greedy-prefix,56,56,4.50087880555010056,831,10216.34180689981258183,11047.34180689981258183,0.04610622922531250,29194
marginal-greedy-prefix,57,57,4.57809242824489182,845,10367.26022747648676159,11212.26022747648676159,0.04679451846588217,29180
marginal-greedy-prefix,58,58,4.68297856076258157,867,10568.30048210268978437,11435.30048210268978437,0.04772537996053105,29158
marginal-greedy-prefix,59,59,4.76454617085811272,881,10727.21042305855735322,11608.21042305855735322,0.04844702191860528,29144
marginal-greedy-prefix,60,60,4.83943704150893073,893,10873.79454157623695210,11766.79454157623695210,0.04910887486456043,29132
marginal-greedy-prefix,61,61,4.91062638598658374,901,11015.85970227462894400,11916.85970227462894400,0.04973517382577951,29124
marginal-greedy-prefix,62,62,5.01367412029838011,912,11221.65933120865884121,12133.65933120865884121,0.05063998998538743,29113
marginal-greedy-prefix,63,63,5.09320445912807873,921,11379.93363235941433231,12300.93363235941433231,0.05133811152513591,29104
marginal-greedy-prefix,64,64,5.19788905793189926,936,11582.75803271446784493,12518.75803271446784493,0.05224720458201623,29089
marginal-greedy-prefix,65,65,5.28560252268233111,949,11751.33375926681219426,12700.33375926681219426,0.05300501331252427,29076
marginal-greedy-prefix,66,66,5.37207456169837627,964,11915.19529570363738458,12879.19529570363738458,0.05375149433417576,29061
marginal-greedy-prefix,67,67,5.43588638036429295,979,12031.77499809927394381,13010.77499809927394381,0.05430064398719570,29046
marginal-greedy-prefix,68,68,5.53944741226005188,993,12231.01919651662865363,13224.01919651662865363,0.05519062150984805,29032
marginal-greedy-prefix,69,69,5.64492512741297592,1002,12438.41973787034658017,13440.41973787034658017,0.05609377207208600,29023
marginal-greedy-prefix,70,70,5.72671288077603968,1019,12588.39565515555295860,13607.39565515555295860,0.05679064830276895,29006
marginal-greedy-prefix,71,71,5.81213972041525651,1034,12747.68856571774631448,13781.68856571774631448,0.05751806210304698,28991
marginal-greedy-prefix,72,72,5.90269014155634775,1046,12919.72400367123736942,13965.72400367123736942,0.05828613647208342,28979
marginal-greedy-prefix,73,73,6.01885376449595899,1058,13143.20830428892804775,14201.20830428892804775,0.05926893335960803,28967
marginal-greedy-prefix,74,74,6.10737111966752089,1072,13308.33723055583141104,14380.33723055583141104,0.06001653033630225,28953
marginal-greedy-prefix,75,75,6.19284028475104709,1092,13459.89338119743297284,14551.89338119743297284,0.06073252223233951,28933
marginal-greedy-prefix,76,76,6.27430073127377685,1105,13609.92142330945898721,14714.92142330945898721,0.06141292195302855,28920
marginal-greedy-prefix,77,77,6.36237530732506862,1122,13768.71992540163955709,14890.71992540163955709,0.06214661935975369,28903
marginal-greedy-prefix,78,78,6.44065952243965523,1137,13909.92891750500348280,15046.92891750500348280,0.06279855968375765,28888
marginal-greedy-prefix,79,79,6.52498301236008604,1151,14063.29958608679044119,15214.29958608679044119,0.06349708341427227,28874
marginal-greedy-prefix,80,80,6.60601244806740961,1161,14213.51424787181531428,15374.51424787181531428,0.06416574145442656,28864
marginal-greedy-prefix,81,81,6.69244817236883449,1173,14371.14835461084112467,15544.14835461084112467,0.06487371167445323,28852
marginal-greedy-prefix,82,82,6.77385780908006296,1186,14517.73885886065909290,15703.73885886065909290,0.06553976478476159,28839
marginal-greedy-prefix,83,83,6.86835278726881260,1205,14683.94720927763955842,15888.94720927763955842,0.06631273431969840,28820
marginal-greedy-prefix,84,84,6.93169600422053467,1220,14792.35213207375272759,16012.35213207375272759,0.06682776642039941,28805
marginal-greedy-prefix,85,85,7.02792554687788051,1239,14959.58961617650493281,16198.58961617650493281,0.06760503105857905,28786
marginal-greedy-prefix,86,86,7.14036838174614896,1249,15166.99847632650562446,16415.99847632650562446,0.06851238985283935,28776
marginal-greedy-prefix,87,87,7.21685489148996506,1264,15299.60676150629115000,16563.60676150629296899,0.06912843501112384,28761
marginal-greedy-prefix,88,88,7.30509518092667154,1271,15462.66972779695788631,16733.66972779695788631,0.06983819508224220,28754
marginal-greedy-prefix,89,89,7.39249203757383544,1285,15617.01418185129659832,16902.01418185129659832,0.07054078291948931,28740
marginal-greedy-prefix,90,90,7.47398045971454827,1297,15761.62566663196957961,17058.62566663196776062,0.07119440305208125,28728
marginal-greedy-prefix,91,91,7.56525811474367593,1313,15920.82152095371930045,17233.82152095371930045,0.07192558530025231,28712
marginal-greedy-prefix,92,92,7.64839299815277140,1326,16067.36867533005715813,17393.36867533005715813,0.07259145748928220,28699
marginal-greedy-prefix,93,93,7.72763029376051502,1342,16203.04673424547036120,17545.04673424547218019,0.07322448790284618,28683
marginal-greedy-prefix,94,94,7.80715174040488868,1359,16338.05766335814951162,17697.05766335815133061,0.07385890755464374,28666
marginal-greedy-prefix,95,95,7.91460061670538995,1372,16530.24124887209109147,17902.24124887209109147,0.07471524400121486,28653
marginal-greedy-prefix,96,96,7.98411675954938715,1385,16649.88949766373480088,18034.88949766373480088,0.07526885324695251,28640
marginal-greedy-prefix,97,97,8.07234136454535367,1404,16798.84680233005201444,18202.84680233005201444,0.07596982531103531,28621
marginal-greedy-prefix,98,98,8.16932154438261549,1416,16971.06162964123723214,18387.06162964123723214,0.07673864836396251,28609
marginal-greedy-prefix,99,99,8.24159404558325903,1427,17097.06761214368816582,18524.06761214368816582,0.07731044466979889,28598
marginal-greedy-prefix,100,100,8.34897529529501448,1442,17285.20073505387699697,18727.20073505387699697,0.07815822348318739,28583
marginal-greedy-prefix,101,101,8.44093263768689184,1457,17443.96975292677961988,18900.96975292677961988,0.07888345081029893,28568
marginal-greedy-prefix,102,102,8.54134922282108455,1470,17620.36341445237849257,19090.36341445237849257,0.07967388779729127,28555
marginal-greedy-prefix,103,103,8.61556192632149376,1486,17743.96724570175138069,19229.96724570175138069,0.08025652625972170,28539
marginal-greedy-prefix,104,104,8.73123636375710532,1499,17948.36271149414460524,19447.36271149414460524,0.08116382915245084,28526
marginal-greedy-prefix,105,105,8.82729768419589433,1509,18118.69265866799469222,19627.69265866799469222,0.08191643860601125,28516
marginal-greedy-prefix,106,106,8.93431227601244871,1517,18311.15111915130910347,19828.15111915130910347,0.08275305467988202,28508
marginal-greedy-prefix,107,107,9.00751134381001606,1533,18432.07273004831949947,19965.07273004831949947,0.08332449885969130,28492
marginal-greedy-prefix,108,108,9.09942244016331969,1545,18591.70000868115312187,20136.70000868115312187,0.08404078760935411,28480
marginal-greedy-prefix,109,109,9.18867906209791485,1565,18737.88254135005990975,20302.88254135005990975,0.08473435263869811,28460
marginal-greedy-prefix,110,110,9.29122559374221524,1576,18917.34827409229910700,20493.34827409229910700,0.08552926392929437,28449
marginal-greedy-prefix,111,111,9.39354763816313465,1597,19086.27181189158727648,20683.27181189158727648,0.08632191236202297,28428
marginal-greedy-prefix,112,112,9.47284753187480177,1606,19224.34893616314730025,20830.34893616314730025,0.08693574071313175,28419
marginal-greedy-prefix,113,113,9.53668638967294768,1628,19320.40605705562120420,20948.40605705562120420,0.08742845369084999,28397
marginal-greedy-prefix,114,114,9.60419858905559920,1641,19432.14776890445136814,21073.14776890445136814,0.08794906489859482,28384
marginal-greedy-prefix,115,115,9.71545376165132346,1650,19628.50897886813982041,21278.50897886813982041,0.08880614266318970,28375
marginal-greedy-prefix,116,116,9.82006157487955811,1663,19808.40391679177992046,21471.40391679177992046,0.08961119227419703,28362
marginal-greedy-prefix,117,117,9.89035069240704878,1679,19921.72358608810827718,21600.72358608810827718,0.09015090964875987,28346
marginal-greedy-prefix,118,118,9.98783425776787226,1692,20087.84511363565979991,21779.84511363565979991,0.09089847574679961,28333
marginal-greedy-prefix,119,119,10.08001543828570590,1705,20244.17419710069225403,21949.17419710069225403,0.09160517294810055,28320
marginal-greedy-prefix,120,120,10.14961479824251001,1719,20357.76111233032497694,22076.76111233032497694,0.09213765865032204,28306
marginal-greedy-prefix,121,121,10.24035434790449273,1735,20507.82189292202747311,22242.82189292202747311,0.09283071554573859,28290
marginal-greedy-prefix,122,122,10.33141241652898046,1751,20658.26254768811122631,22409.26254768811122631,0.09352535785111772,28274
marginal-greedy-prefix,123,123,10.40232369658870226,1768,20770.62491956956728245,22538.62491956956728245,0.09406525344549241,28257
marginal-greedy-prefix,124,124,10.49955300831648586,1784,20931.97426929077118984,22715.97426929077118984,0.09480542333560107,28241
marginal-greedy-prefix,125,125,10.57874594715205063,1806,21054.34007521203238866,22860.34007521203238866,0.09540793596320399,28219
marginal-greedy-prefix,126,126,10.70237651936841417,1824,21261.65131162144098198,23085.65131162144098198,0.09634827543078908,28201
marginal-greedy-prefix,127,127,10.77689554708010533,1829,21392.36574550461591571,23221.36574550461591571,0.09691468144113748,28196
marginal-greedy-prefix,128,128,10.85902751995239512,1849,21521.69569259376658010,23370.69569259376658010,0.09753791197849589,28176
marginal-greedy-prefix,129,129,10.93503229481205707,1861,21647.72488307334424462,23508.72488307334424462,0.09811397865655061,28164
marginal-greedy-prefix,130,130,10.99956219616888120,1867,21758.77349429733658326,23625.77349429733658326,0.09860248260563882,28158
marginal-greedy-prefix,131,131,11.08035632677312421,1878,21894.32213908134872327,23772.32213908134872327,0.09921410534051704,28147
marginal-greedy-prefix,132,132,11.16844282752748185,1899,22032.92330900628803647,23931.92330900628803647,0.09988020296416360,28126
marginal-greedy-prefix,133,133,11.25848305068799959,1911,22183.82963740264676744,24094.82963740264676744,0.10056009471102757,28114
marginal-greedy-prefix,134,134,11.35844545020557561,1925,22350.66509314710128820,24275.66509314710128820,0.10131481391138854,28100
marginal-greedy-prefix,135,135,11.43694007806166368,1941,22476.52790896948863519,24417.52790896948863519,0.10190688027623751,28084
marginal-greedy-prefix,136,136,11.53726126460697188,1947,22651.61553926648775814,24598.61553926648775814,0.10266265193047631,28078
marginal-greedy-prefix,137,137,11.62106063858314187,1969,22780.38352066245715832,24749.38352066245715832,0.10329188412330470,28056
marginal-greedy-prefix,138,138,11.73332748196459363,1990,22961.24008357474667719,24951.24008357474667719,0.10413433519641760,28035
marginal-greedy-prefix,139,139,11.81322596690445437,2011,23083.81156500723591307,25094.81156500723591307,0.10473353270011117,28014
marginal-greedy-prefix,140,140,11.90828489833748094,2022,23243.57688275757027441,25265.57688275757027441,0.10544622404446813,28003
marginal-greedy-prefix,141,141,11.97281551234660668,2033,23348.17487693215662148,25381.17487693215662148,0.10592867382384138,27992
marginal-greedy-prefix,142,142,12.04446563411628901,2045,23464.25118210697837640,25509.25118210697837640,0.10646320200156403,27980
marginal-greedy-prefix,143,143,12.13978760819015790,2061,23618.51625550334210857,25679.51625550334210857,0.10717380556939919,27964
marginal-greedy-prefix,144,144,12.22871626054873317,2072,23766.34665274110375321,25838.34665274110375321,0.10783668636289631,27953
marginal-greedy-prefix,145,145,12.30710782378127988,2080,23898.11780068324151216,25978.11780068324151216,0.10842002312378844,27945
marginal-greedy-prefix,146,146,12.43234810059362161,2096,24105.26898581847126479,26201.26898581847126479,0.10935134758840483,27929
marginal-greedy-prefix,147,147,12.52183292896536670,2116,24244.59881621105523664,26360.59881621105523664,0.11001631277287323,27909
marginal-greedy-prefix,148,148,12.62503256027898146,2136,24407.96676092690177029,26543.96676092690177029,0.11078160134992829,27889
marginal-greedy-prefix,149,149,12.72765171685448848,2152,24574.08848455154293333,26726.08848455154293333,0.11154168880654181,27873
marginal-greedy-prefix,150,150,12.80497792902298215,2173,24690.13035919152389397,26863.13035919152389397,0.11211363490869565,27852
marginal-greedy-prefix,151,151,12.87414565521449106,2190,24795.65105820686949301,26985.65105820686949301,0.11262497668958622,27835
marginal-greedy-prefix,152,152,12.96280265095098727,2207,24935.61008945743014920,27142.61008945743014920,0.11328004731203238,27818
marginal-greedy-prefix,153,153,13.03504485541400726,2218,25052.43746727258258034,27270.43746727258258034,0.11381353658808023,27807
marginal-greedy-prefix,154,154,13.12646442722212115,2233,25199.12658408638526453,27432.12658408638526453,0.11448834828607615,27792
marginal-greedy-prefix,155,155,13.21687746050190881,2243,25348.40422421377297724,27591.40422421377297724,0.11515309565377266,27782
marginal-greedy-prefix,156,156,13.35707219793527400,2259,25579.31204300512763439,27838.31204300512763439,0.11618356874763548,27766
marginal-greedy-prefix,157,157,13.44040066083328355,2275,25709.52861896935792174,27984.52861896935792174,0.11679380558883981,27750
marginal-greedy-prefix,158,158,13.53087207234230682,2297,25845.83945836179918842,28142.83945836179918842,0.11745451800069989,27728
marginal-greedy-prefix,159,159,13.61698123456327814,2308,25985.33313121991886874,28293.33313121991886874,0.11808260536316587,27717
marginal-greedy-prefix,160,160,13.69686524355122081,2321,26111.83909639632838662,28432.83909639632838662,0.11866483538022794,27704
marginal-greedy-prefix,161,161,13.79489529018147032,2341,26262.85229347550557577,28603.85229347550557577,0.11937856125228900,27684
marginal-greedy-prefix,162,162,13.89880729975917895,2355,26429.69553888001610176,28784.69553888001610176,0.12013331296290070,27670
marginal-greedy-prefix,163,163,13.99094442566662089,2368,26576.51782712409840315,28944.51782712409840315,0.12080033342681840,27657
marginal-greedy-prefix,164,164,14.07552445746782688,2383,26708.16279161598140490,29091.16279161598140490,0.12141235815328949,27642
marginal-greedy-prefix,165,165,14.16137651139962195,2398,26841.87426869096452720,29239.87426869096452720,0.12203300749774733,27627
marginal-greedy-prefix,166,166,14.25042378333651705,2412,26981.69998065478648641,29393.69998065478648641,0.12267500117011847,27613
marginal-greedy-prefix,167,167,14.35361538128672443,2426,27145.43720101268627332,29571.43720101268627332,0.12341678984353247,27599
marginal-greedy-prefix,168,168,14.44110614240771362,2438,27283.75745965335227083,29721.75745965335227083,0.12404415345943562,27587
marginal-greedy-prefix,169,169,14.53280520330216596,2446,27433.20462641469930531,29879.20462641469930531,0.12470126132198413,27579
marginal-greedy-prefix,170,170,14.61967946171529853,2464,27564.20677821711069555,30028.20677821711069555,0.12532312380131613,27561
marginal-greedy-prefix,171,171,14.71368515677648681,2478,27711.33295290980822756,30189.33295290980822756,0.12599558605281805,27547
