niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_centroid_x_train,descriptor_centroid_y_train,descriptor_centroid_x_validation,descriptor_centroid_y_validation,visit_count,decision_source_1_x_m,decision_source_1_y_m,decision_source_1_log10_emission_g_s,decision_source_1_height_m,decision_source_2_x_m,decision_source_2_y_m,decision_source_2_log10_emission_g_s,decision_source_2_height_m,decision_wind_direction_bias_deg,decision_wind_speed_scale,decision_lateral_dispersion_scale,decision_vertical_dispersion_scale
208,8,10,0.1077353626292865,0.13173999671535827,-185.37792450110942,46.32411305371238,-185.37792450110942,46.32411305371238,973,-798.555479099681,427.4107052255228,0.2249408799154076,50.38239531304354,891.2371368829007,-622.7864271914813,-0.01953332210317384,70.30111902386453,3.1727122557607834,0.9602840565811611,1.0715249348289058,0.8603979645433464
189,9,9,0.11668237364879544,0.13489331593152099,-10.435575595527505,-77.7393121845573,-10.435575595527505,-77.7393121845573,807,-813.1475653271693,402.1574235036298,0.2668497980694999,46.23065182212615,919.7507858032528,-633.845866125757,0.20283958044823164,91.03230376629558,2.9221656054143663,1.031749437252588,1.0870285155829589,0.9808374822961639
209,9,10,0.12185007511209428,0.09390886857683906,-174.03924794863931,26.195066477579754,-174.03924794863931,26.195066477579754,777,-798.8123614332526,414.8176540512297,0.3528603651109684,50.26427850368518,879.9298431088039,-629.3968380858339,0.12575482209094585,80.61737833505427,3.634667477396678,0.9755309214104557,1.0451938883456182,0.9146774377329442
207,7,10,0.12919769502794182,0.10915436697513116,-365.06090836785256,178.56488406990573,-365.06090836785256,178.56488406990573,738,-799.5568247491169,434.6918326513042,0.3819614253097885,50.54311505086262,920.2315490253247,-579.0901887062782,-0.08905483454818036,63.413951201288626,3.4958855333056937,1.0145905813489817,1.0219493791263148,0.8747294927902781
190,10,9,0.1294250325167367,0.1640276912846245,8.197041431017126,-96.40161762121583,8.197041431017126,-96.40161762121583,848,-815.721923493049,398.9757039140342,0.2615535857794438,45.43888409311516,893.0501561238841,-628.4153041238367,0.23056690137112443,89.28777682470137,2.9101022683567215,1.006746507675197,1.0797499882986568,0.9973701761362902
227,7,11,0.1314430757112039,0.1423320887450335,-413.22699857861846,209.48451851471555,-413.22699857861846,209.48451851471555,975,-798.7523203030132,434.3984851063736,0.39531082822375063,50.349412976097234,909.3541694090283,-562.1041680623582,-0.14005859808172857,67.75854418327918,3.508887446673604,0.9915649255833839,1.0470017381160588,0.8875115943979308
171,11,8,0.17629994472155192,0.20398790569856556,222.02314401032632,-247.88126037718948,222.02314401032632,-247.88126037718948,784,-828.0283649198564,392.29796366128716,0.3463648906703075,57.91575852779414,886.5803873467081,-653.0382805329701,0.5450430980666344,119.9804247409155,2.7146131234291655,0.926813729190132,1.081263942557978,1.112875561610744
228,8,11,0.1763879738085911,0.11992484393418465,-359.2584791703982,184.70057554556138,-359.2584791703982,184.70057554556138,696,-776.0245799644118,453.7389535634525,0.3972853863390347,51.9241356736127,894.8869057534167,-624.8979966888278,-0.0811701112241855,76.13562632511434,3.801784911615665,1.0523662690952955,1.0839694726991704,0.9331794404638849
170,10,8,0.18566459851448533,0.2307710783853927,159.5425537768967,-184.96510731012276,159.5425537768967,-184.96510731012276,690,-813.3569906902515,370.57556347570153,0.13519442915689944,21.58124132975777,914.4422704032746,-616.0245083918012,0.24537316685698782,80.26769527128016,3.01285811803352,1.0329588308828783,1.0949067694906782,0.9575522970864786
188,8,9,0.18763174754287357,0.24686995059236322,-237.98716424519,-3.561590384361022,-237.98716424519,-3.561590384361022,644,-797.3763675661023,299.51145752763205,0.3377663992835538,56.77682438090872,904.9332740387847,-622.7876653519144,0.027464480094100522,68.84311272692044,2.659032628700994,0.9870760895184185,1.1276368816043654,0.8754165279654749
