seed,sample,operating_cost,d1_axis1_train,d1_axis2_train,d1_axis1_holdout,d1_axis2_holdout,d1_axis1_hourly,d1_axis2_hourly,d1_axis1_half_hour,d1_axis2_half_hour,d2_axis1_train,d2_axis2_train,d2_axis1_holdout,d2_axis2_holdout,d2_axis1_hourly,d2_axis2_hourly,d2_axis1_half_hour,d2_axis2_half_hour,d3_axis1_train,d3_axis2_train,d3_axis1_holdout,d3_axis2_holdout
42,1,71.82135883430379408,0.25156160281413803,0.09575960363655410,0.25045555111059514,0.08952003934661941,0.25173976293835487,0.09431912527264881,0.25164864948293714,0.09403203831165759,0.31922863256071865,0.09575960363655410,0.31592855424710892,0.08952003934661941,0.31922863256071865,0.09431912527264881,0.31918153240218472,0.09403203831165759,0.65000000000000024,0.25156160281413803,0.65000000000000024,0.25045555111059514
42,2,72.38947153438152782,0.25328545904600425,0.09621843889423681,0.25045555096977939,0.08952003786684733,0.25173976263996506,0.09431911834292787,0.25164864949992677,0.09403203434322512,0.31922863184848033,0.09621843889423681,0.31592855312884416,0.08952003786684733,0.31922863184848033,0.09431911834292787,0.31918153248807946,0.09403203434322512,0.65000000000000024,0.25328545904600425,0.65000000000000024,0.25045555096977939
42,3,71.82135885552587240,0.25156160275172867,0.09575960125487963,0.25045555091597593,0.08952003825936646,0.25173976291077932,0.09431912224864991,0.25164864949178994,0.09403203168229875,0.31922863347168240,0.09575960125487963,0.31592855424348093,0.08952003825936646,0.31922863347168240,0.09431912224864991,0.31918153111534314,0.09403203168229875,0.65000000000000024,0.25156160275172867,0.65000000000000024,0.25045555091597593
42,4,73.59205771555978970,0.25504528365039447,0.09672749400882961,0.25045555099088329,0.08952004097327859,0.25173976272422960,0.09431911730655614,0.25164864933132086,0.09403203591598423,0.31922863176891142,0.09672749400882961,0.31592855340261694,0.08952004097327859,0.31922863176891142,0.09431911730655614,0.31918153127634313,0.09403203591598423,0.65000000000000024,0.25504528365039447,0.65000000000000024,0.25045555099088329
42,5,71.82135891364248437,0.25156160274276723,0.09575960266987410,0.25045555093701333,0.08952003671533755,0.25173976289316441,0.09431912155255488,0.25164864964443950,0.09403203432297851,0.31922863159481174,0.09575960266987410,0.31592855416029236,0.08952003671533755,0.31922863159481174,0.09431912155255488,0.31918153249436026,0.09403203432297851,0.65000000000000024,0.25156160274276723,0.65000000000000024,0.25045555093701333
42,7,87.59412572412961140,0.30600694883610663,0.17686674535359917,0.30323844491555124,0.17716193934003752,0.30380741527038446,0.17982036906032053,0.30376682809103722,0.17952501733712611,0.31590413233058179,0.17686674535359917,0.31245228136347969,0.17716193934003752,0.31590413233058179,0.17982036906032053,0.31588112307979949,0.17952501733712611,0.58750000000000024,0.30600694883610663,0.58750000000000024,0.30323844491555124
42,13,71.82135881423613455,0.25156160272893963,0.09575960232143683,0.25045555119436808,0.08952003375722668,0.25173976282079280,0.09431912041122865,0.25164864947356735,0.09403203328940328,0.31922863255942574,0.09575960232143683,0.31592855369716288,0.08952003375722668,0.31922863255942574,0.09431912041122865,0.31918153221296675,0.09403203328940328,0.65000000000000024,0.25156160272893963,0.65000000000000024,0.25045555119436808
42,14,71.82135881719496240,0.25156160284805085,0.09575960429727771,0.25045555120454444,0.08952003195820191,0.25173976305432871,0.09431912438727630,0.25164864956307231,0.09403203796373154,0.31922863416303449,0.09575960429727771,0.31592855434666545,0.08952003195820191,0.31922863416303449,0.09431912438727630,0.31918153245137271,0.09403203796373154,0.65000000000000024,0.25156160284805085,0.65000000000000024,0.25045555120454444
42,15,72.38442077767527394,0.25329226285930795,0.09610800101802930,0.25045555107884504,0.08952003832618516,0.25173976271237780,0.09431912263494757,0.25164864945044657,0.09403203579088844,0.31922863190118356,0.09610800101802930,0.31592855296734912,0.08952003832618516,0.31922863190118356,0.09431912263494757,0.31918153171140695,0.09403203579088844,0.65000000000000024,0.25329226285930795,0.65000000000000024,0.25045555107884504
42,16,71.82135882065242072,0.25156160273542949,0.09575960529897422,0.25045555093113797,0.08952004153726907,0.25173976270701792,0.09431912179451267,0.25164864929261715,0.09403203692577507,0.31922863181079814,0.09575960529897422,0.31592855323259189,0.08952004153726907,0.31922863181079814,0.09431912179451267,0.31918153022378382,0.09403203692577507,0.65000000000000024,0.25156160273542949,0.65000000000000024,0.25045555093113797
42,17,71.82135884445213492,0.25156160274430001,0.09575960333494683,0.25045555107699441,0.08952003460322462,0.25173976299225082,0.09431912300368180,0.25164864946668525,0.09403203038010484,0.31922863255288192,0.09575960333494683,0.31592855371496498,0.08952003460322462,0.31922863255288192,0.09431912300368180,0.31918153048981340,0.09403203038010484,0.65000000000000024,0.25156160274430001,0.65000000000000024,0.25045555107699441
