evaluations,elapsed_seconds,best_quality,feasible_population
8,0.180884339,-0.46712436275943026,3
16,0.32489332,-0.47427667812819896,3
24,0.500293395,-0.48255683030485835,5
32,0.685087132,-0.47427667812819896,8
