seed,evaluations,elapsed_seconds,occupied,capacity,coverage,distinct_configurations,retained_niches,retention,invalid_evaluations,clipped_descriptors,decision
42,16384,5100.860882556,192,400,0.48,192,13,0.06770833333333333,2348,27,rejected: at least one pre-registered QD criterion failed
43,16384,3758.729563138,197,400,0.4925,197,15,0.07614213197969544,2384,81,rejected: at least one pre-registered QD criterion failed
44,16384,6667.892278594,199,400,0.4975,199,12,0.06030150753768844,2461,71,rejected: at least one pre-registered QD criterion failed
