evaluations,elapsed_seconds,coverage,qd_score,best_quality,invalid_fraction
128,0.021629992,0.19,0.5153220881662478,27.480552795394715,0
256,0.040796796,0.24,0.7089214466111773,23.462713901857484,0
384,0.05880841,0.27,0.8439414465512264,22.940958575350137,0
512,0.077052243,0.28,0.9227247397414381,21.758001616140344,0
640,0.094640797,0.29,0.9760349444445152,21.582640143708453,0
768,0.111999772,0.3,1.0143022136462716,21.10777582586806,0
896,0.128452456,0.31,1.0469470761782378,20.16359242219932,0
1024,0.14599093,0.31,1.0637014818506147,20.16359242219932,0
1152,0.163023614,0.32,1.109349558978512,20.16359242219932,0
1280,0.179556648,0.32,1.1235376955064313,20.0941040417828,0
1408,0.195960783,0.32,1.131545963345973,20.071353461375374,0
1536,0.212912207,0.32,1.141191048383091,20.071353461375374,0
1664,0.229900311,0.32,1.1588014132120592,20.071353461375374,0
1792,0.246827406,0.32,1.1664641128070332,20.071353461375374,0
1920,0.26325884,0.32,1.1928151166324628,20.071353461375374,0
2048,0.280584284,0.32,1.227744226713849,20.071353461375374,0
2176,0.297324798,0.32,1.2385745831661938,20.071353461375374,0
2304,0.314562823,0.32,1.2434029160952342,20.071353461375374,0
2432,0.331316257,0.32,1.248922885792386,19.940013929455485,0
2560,0.349228201,0.32,1.2540879725599663,19.919702191170735,0
2688,0.367105865,0.32,1.258260853789396,19.919702191170735,0
2816,0.384043279,0.32,1.2639338168478382,19.919702191170735,0
2944,0.400293353,0.32,1.2679003283921784,19.919702191170735,0
3072,0.417262988,0.32,1.267981327990418,19.919702191170735,0
3200,0.436235621,0.33,1.3064572309970102,19.86582098408389,0
3328,0.452776936,0.33,1.3065968995918207,19.86582098408389,0
3456,0.47014917,0.33,1.3073894107245658,19.86582098408389,0
3584,0.487572064,0.33,1.3088694927330302,19.86582098408389,0
3712,0.503451388,0.33,1.309928207701152,19.86582098408389,0
3840,0.521162592,0.33,1.3101753281166544,19.86582098408389,0
3968,0.537890877,0.33,1.3107088519452312,19.86582098408389,0
4096,0.553955661,0.33,1.310876694135794,19.86582098408389,0
