time_s,torso_x_m,torso_y_m,torso_z_m,front_left,front_right,rear_left,rear_right
0.004166666666666667,0.000014024637666977662,0.7203165968166375,-0.000015428503804331036,1,1,1,1
0.020833333333333332,0.00041688355262880795,0.7283502088071473,-0.0003651430762403228,1,1,1,1
0.0375,0.0008092109167954928,0.7347045549925756,-0.0007557370936824332,1,1,1,1
0.05416666666666667,0.0010984136905170603,0.7395292910840671,-0.0016374423926715294,1,1,1,1
0.07083333333333333,0.0014403506848643507,0.7425204184042455,-0.002315000817382365,1,1,1,1
0.0875,0.001810164216263712,0.7441617892630069,-0.0027549534154109037,1,1,1,1
0.10416666666666667,0.0021582237286475966,0.7448079357725701,-0.0031711710800789287,1,1,1,1
0.12083333333333333,0.0025175607451016053,0.7443454112090556,-0.003706189920488754,1,1,1,1
0.1375,0.0029559297660746516,0.7438885476280768,-0.004630825265416971,1,1,1,1
0.15416666666666667,0.0037316866521929313,0.7427703525790043,-0.0056149784145246885,1,1,1,1
0.17083333333333334,0.004866235114815301,0.7411977674943282,-0.0059313880610654705,1,1,1,1
0.1875,0.006446980942139827,0.7398272493956636,-0.005783155390321502,1,1,1,1
0.2041666666666667,0.008378501971221378,0.7379683586152413,-0.0054335276618407025,1,1,1,1
0.22083333333333335,0.010654373274007456,0.7357670978438459,-0.004834837510197882,1,1,1,1
0.23750000000000002,0.013323569570202719,0.7332697587664102,-0.004023591757385922,1,1,1,1
0.25416666666666665,0.016489787968893728,0.7308053120628406,-0.0028716672235393004,1,1,1,1
0.2708333333333333,0.02025609829516835,0.7285912577917145,-0.0017464213602226553,1,1,1,1
0.2875,0.024600484094789436,0.7263719357344842,-0.0008732724864178031,1,1,1,1
0.30416666666666664,0.029486034219056344,0.7238471114526808,-0.00020933265644360174,1,1,1,1
0.3208333333333333,0.03509011201542956,0.7214041662669245,0.0003274392575729893,1,1,1,1
0.33749999999999997,0.0414216092960336,0.7189835010959356,0.0006202916101827841,1,1,1,1
0.35416666666666663,0.04813021945622293,0.7155626785247696,0.0007982746000768525,1,1,1,1
0.3708333333333333,0.05574442379378314,0.7123115598450213,0.0010551113847223272,1,1,1,1
0.38749999999999996,0.06395751169308274,0.7083741227331494,0.0016160281387068223,1,1,1,1
0.4041666666666667,0.07265113023891516,0.7035047681753915,0.002389263398099456,1,1,1,1
0.42083333333333334,0.08230992291856666,0.6984226281071304,0.0031228045003912283,1,1,1,1
0.4375,0.09262376413678076,0.6924900896783075,0.0036132131805380065,1,1,1,1
0.45416666666666666,0.10373366704952537,0.6857837934111514,0.004228301958274523,1,1,1,1
0.4708333333333333,0.11565378182222087,0.6782465200112399,0.004728551588952486,1,1,1,1
0.4875,0.12849945600406176,0.6700063677957339,0.004860973504288699,1,1,1,1
0.5041666666666667,0.1414550974418129,0.6684896951489246,0.0037768803900586835,1,1,1,1
0.5208333333333333,0.15322806289632435,0.6661307563032196,0.0032114014034610675,1,1,1,1
0.5375,0.1640587001889663,0.6640004186546455,0.0025195759533422424,1,1,1,1
0.5541666666666667,0.17391623349026916,0.6618261584219334,0.0018759249520367732,1,1,1,1
0.5708333333333333,0.18290979071323527,0.6598168377456486,0.0014698828094892233,1,1,1,1
0.5875,0.191094668456449,0.657861450760317,0.0014207978025399248,1,1,1,1
0.6041666666666666,0.1985259149264048,0.6559512145758626,0.0016656522330010539,1,1,1,1
0.6208333333333333,0.2052695035758555,0.6541426023476296,0.0019114471476954107,1,1,1,1
0.6375,0.21138499589166174,0.6524082421472868,0.002110029503290563,1,1,1,1
0.6541666666666667,0.2171121733216688,0.650797407600364,0.0020302941633660687,1,1,1,1
0.6708333333333333,0.22269309398857876,0.6489811219685647,0.0016512615144057459,1,1,1,1
0.6875,0.2283098627570748,0.6472916355682459,0.0011161944158698605,1,1,1,1
0.7041666666666666,0.23381652665047606,0.6453827233217829,0.0006851020257241765,1,1,1,1
0.7208333333333333,0.2394056036993747,0.6436341809796663,0.0003257311331394338,1,1,1,1
0.7374999999999999,0.24494529711753532,0.6416491253413485,0.0000404481368725731,1,1,1,1
