frequency_hz,gain_db
316.22776601683796,-30.84856522929607
327.3406948788383,-30.54846555708651
338.84415613920237,-30.248358758694653
350.75187395256796,-29.948244324802626
363.0780547701014,-29.648121709717195
375.8374042884443,-29.34799032877576
389.04514499428046,-29.047849555567907
402.71703432545905,-28.747698718959526
416.8693834703355,-28.447537099905723
431.519076827765,-28.147363928037258
446.683592150963,-27.84717837800493
462.38102139926036,-27.54697956556481
478.6300923226385,-27.24676654338588
495.45019080479005,-26.946538296561002
512.8613839913648,-26.646293737799994
530.8844442309885,-26.34603170228313
549.5408738576248,-26.045750942150754
568.8529308438414,-25.745450120604126
588.843655355589,-25.445127805590214
609.5368972401693,-25.144782463041757
630.957344480193,-24.844412449641545
653.1305526474723,-24.544016005078312
676.0829753919819,-24.24359124375915
699.841996002273,-23.943136145941093
724.4359600749899,-23.642648548242136
749.8942093324558,-23.342126133489415
776.247116628692,-23.041566419859517
803.5261221856169,-22.74096674926293
831.7637711026708,-22.44032427492185
860.9937521846008,-22.13963594808724
891.2509381337459,-21.838898503837775
922.5714271547629,-21.53810844589983
954.992586021436,-21.237262030424027
988.553094656939,-20.936355248650372
1023.2929922807537,-20.635383808389477
1059.2537251772887,-20.33434311424422
1096.4781961431852,-20.033228246491422
1135.0108156723143,-19.73203393853916
1174.897554939529,-19.430754552871
1216.1860006463678,-19.12938405538444
1258.9254117941675,-18.827915988026163
1303.1667784523,-18.526343439622874
1348.9628825916532,-18.224659014802352
1396.3683610559376,-17.92285480089553
1445.439770745928,-17.620922332707273
1496.235656094433,-17.318852555040092
1548.816618912481,-17.016635782853076
1603.2453906900419,-16.71426165893695
1659.5869074375596,-16.411719108985263
1717.9083871575876,-16.10899629394297
1778.2794100389228,-15.806080559516356
1840.7720014689564,-15.50295838273248
1905.4607179632483,-15.199615315444035
1972.4227361148535,-14.896035924685568
2041.7379446695295,-14.592203729801469
2113.489039836648,-14.28810113628523
2187.761623949552,-13.983709366293924
2264.6443075930597,-13.679008385833917
2344.228815319923,-13.373976828654172
2426.6100950824143,-13.068591916933627
2511.88643150958,-12.76282937891255
2600.159563165272,-12.456663363695883
2691.534803926914,-12.150066353552518
2786.1211686297693,-11.843009074153281
2884.031503126606,-11.535460403335232
2985.3826189179604,-11.227387279157073
3090.295432513592,-10.918754608227095
3198.895109691397,-10.609525175548098
3311.311214825911,-10.299659557444809
3427.6778654645045,-9.98911603952896
3548.133892335753,-9.67785054213085
3672.8230049808462,-9.365816556201786
3801.8939632056126,-9.052965093390855
3935.5007545577723,-8.739244654847642
4073.802778041126,-8.424601224333717
4216.965034285822,-8.108978292477182
4365.158322401657,-7.792316920524827
4518.559443749226,-7.47455585379344
4677.351412871981,-7.155631697265472
4841.723675840994,-6.835479168498964
5011.872336272725,-6.51403144633271
5188.000389289609,-6.191220637885038
5370.317963702527,-5.866978391220842
5559.042572704037,-5.541236686970686
5754.399373371566,-5.213928849337091
5956.621435290103,-4.884990825560818
6165.9500186148225,-4.5543627933215785
6382.6348619054825,-4.221991168025812
6606.934480075957,-3.8878310968274317
