optimizer,evaluations,elapsed_seconds,best_objective
cma,1023,0.344836618,0.04299537375786351
cma,2046,0.359052689,0.0006516376935324447
cma,3069,0.363934091,0.0005154145711446851
cma,4092,0.37236317,0.0002675276541876277
de,1001,0.365086382,0.00000174181873421076
de,4051,0.372069236,0.0000015768999043083439
bite,1000,0.348864571,0.00001863876896526604
bite,6000,0.358884327,0.00000250092215217817
