seed,evaluations,elapsed_seconds,validation_elapsed_seconds,occupied,coverage,qd_score,best_quality,invalid_evaluations,clipped_descriptors,validation_same_niche_fraction
42,20096,151.962147697,5.593801834,388,0.97,63.055646778301565,1.823373814973568,5,789,0.42010309278350516
43,20096,163.462356412,4.701496071,391,0.9775,64.31955591346006,1.9087367643235182,1,625,0.3734015345268542
44,20096,143.844460338,3.801584975,395,0.9875,62.32429679335249,1.6738309076851539,6,712,0.34177215189873417
