niche_id,grid_x,grid_y,quality_train,descriptor_apex_height_train,descriptor_release_time_train,visit_count,decision_arm_length,decision_counterweight_mass,decision_projectile_mass,decision_sling_length,decision_initial_arm_angle,decision_release_angle,decision_joint_damping,decision_pivot_friction
63,3,3,0.039480277189178556,9.97699439855281,1.3611111111111112,3362,2.293978194791683,20.649630749653202,0.5,5.977305588842743,-1.25,0.544704113706605,0,0
64,4,3,0.041690861412999415,12.221573984154947,1.4555555555555557,2707,2.4215717343118044,20.55686470962988,0.5075712411202346,5.9883123656460535,-1.25,0.55,0.039053720026938035,0
65,5,3,0.045413223713243404,15.022689041292924,1.5333333333333334,2535,2.7060794220454603,20.690822324155867,0.5026945941110341,5.961742756950954,-1.25,0.5181200905680606,0.005439156878635861,0
62,2,3,0.04585094092360222,8.601910652920855,1.2722222222222224,2175,2.299022397176724,23.176322578401244,0.5,6,-1.25,0.55,0,0
44,4,2,0.04894111306380868,13.886438968461226,1.1944444444444444,1813,2.180403523088018,25.75108458966029,0.5,4.526418945897814,-1.25,0.55,0,0.0165734258849205
43,3,2,0.05070067000224316,10.153058104631988,1.1944444444444444,2224,2.3092762267920324,26.593614201739207,0.5,5.309537184481509,-1.2229481015257222,0.55,0.0970346029132714,0
45,5,2,0.0554933652889566,15.817184977604596,1.1888888888888889,1723,2.455543216861948,26.57051423068168,0.5218450208204565,4.45904672306684,-1.1956970945287009,0.55,0.011493918347497597,0
42,2,2,0.05710885147021624,8.947675075685773,1.1833333333333333,2801,2.4120334446943907,28.348915686010603,0.5,5.577472245118468,-1.2247735842927021,0.5191619181575562,0.11565367500048247,0
84,4,4,0.058332769012914225,13.631853087714111,1.9722222222222223,2648,3.97948099608705,20,0.5,6,-1.25,0.55,0,0
104,4,5,0.059217467489177805,14.114485923807361,2.0277777777777777,2574,4.085040315340032,20,0.5249848823913102,6,-1.25,0.5178011342387171,0.01723214983463828,0.0008476031630086383
105,5,5,0.05934591694289857,15.091142792314718,2.0277777777777777,2226,4.081774578686496,20,0.5186531280521635,6,-1.2458761957144862,0.55,0.01519091848465695,0
85,5,4,0.06108992994681939,15.589501712464497,1.9388888888888889,2029,4.262550957146366,20,0.5,6,-1.1767967325815814,0.55,0,0
103,3,5,0.06133385618738704,11.97166845068617,2.011111111111111,2453,4.192111234135616,20,0.5176039253670964,6,-1.25,0.43695336719411115,0,0
83,3,4,0.06169951350547968,11.76627644703015,1.9944444444444445,3387,4.187217626593869,20,0.5024803032506344,6,-1.2484331182831099,0.4374712511985432,0.0008998052326855497,0
46,6,2,0.06289880210290633,18.518446964179677,1.1944444444444444,1778,2.4965790252174958,29.874344898230472,0.5042473467008135,4.2080516122714595,-1.2287154609171236,0.55,0.05904315860631401,0
66,6,3,0.06352156397393956,18.616503124256802,1.3277777777777777,2306,3.07445302108457,26.46038196499155,0.5714641884836408,4.9823764367863905,-1.155218184212288,0.5183893373363404,0,0
106,6,5,0.06606626366804527,18.087055759901855,2.1944444444444446,1675,4.583659706318468,20.0656310590048,0.5,5.908383651604928,-1.2377943122697366,0.55,0.011893233951173747,0
126,6,6,0.07025649258204243,18.16596040417927,2.411111111111111,1097,4.955396954859854,20,0.5305911508416095,6,-1.25,0.5329559046548245,0.006000438352575999,0.019799655652370955
125,5,6,0.07072602861207389,16.757733207734322,2.411111111111111,1073,4.9508474322743945,20,0.5531201178842989,6,-1.25,0.5041714570406889,0.023827577096382918,0.01814806961539618
123,3,6,0.07085679675559764,11.673193144792307,2.4,1304,5.054091074411644,20,0.5256993620531784,6,-1.25,0.3555706316055876,0.02495306606032172,0.04646249057798289
124,4,6,0.07137239853793609,12.841258857639588,2.45,1330,5.088247748620715,20,0.500342749983933,6,-1.25,0.38716814414838024,0.0315658839148277,0.05732561545387954
86,6,4,0.07173330780071717,18.090128382529866,1.7666666666666668,1471,4.3475839116958,23.21527502177622,0.5,5.598815038722673,-1.1476975339778077,0.5207679044294565,0,0.03695395629393864
82,2,4,0.07234607204872597,8.897217920955585,1.9500000000000002,2553,4.593540335436084,22.035101192099628,0.5,5.984608319174528,-1.25,0.2792874760566801,0.034461785029178335,0
102,2,5,0.07359298617683258,8.730445857899548,2.1,2242,5.087917750097667,20.623329589540333,0.5,6,-1.2167558750890985,0.2501336473586023,0,0.006307862757639204
67,7,3,0.0741510162507153,21.756181940868867,1.2166666666666668,1911,2.796236388436021,31.558772939667183,0.5,4.251412144713749,-1.2054860404459407,0.55,0.04871851095075311,0
107,7,5,0.0747585257914516,21.347677308149212,2.261111111111111,1339,5.019362482430772,21.24870237701269,0.5123040627851457,5.840694160066956,-1.227528684726778,0.55,0.03488655061648089,0
127,7,6,0.0755351867829327,21.239691930004643,2.466666666666667,681,5.222085697112115,20.02687039093717,0.5,5.947727222286479,-1.25,0.55,0,0
87,7,4,0.08200169479270181,21.109938914356675,1.8,1216,4.827009140625349,23.510753445165477,0.5,5.468705180885803,-1.1082192804628417,0.5005664656659365,0,0.0032535998701225016
108,8,5,0.08340223884563668,24.16140555357694,2.35,1079,5.3316790420806575,22.182230651855654,0.5175585922420242,5.706875995403333,-1.25,0.5396208986175453,0.005825897474265282,0.0052762640957690725
88,8,4,0.08564554322145011,24.209292574380175,1.9333333333333333,1069,4.91918300406111,23.906317383146263,0.5,5.51002629738043,-1.1704923489527823,0.5448473076752542,0,0.0007424795197345013
47,7,2,0.08832929388742225,23.2095541577083,1.1555555555555557,1985,3.1144146888470434,36.076120478499384,0.5367325328604534,4.109874546018554,-1.1308178968092635,0.55,0.056385357616285846,0.03935458134354676
68,8,3,0.08971967221182353,24.208910411297847,1.4444444444444444,1602,3.589421460697898,33.78053988306573,0.5,5.2284053024157116,-1.2128452991581944,0.5163971382070017,0.29679008916922534,0.02080786508005948
48,8,2,0.09196744013785901,24.076827656491574,1.1500000000000001,1952,3.1996158634694023,36.77630780790863,0.5442858861605858,4.0812542328462715,-1.1221110704323767,0.5392654647046853,0.059958787429680555,0.007397991784418627
89,9,4,0.09397565819258986,27.37151546149605,1.9777777777777779,1395,5.035410488976676,25.870808822426294,0.515592023573308,5.3795160107942985,-1.2157315152186223,0.55,0.012226387830739543,0
109,9,5,0.09495689923579628,28.384191139378853,2.033333333333333,1073,5.0730939841290175,26.017561677502986,0.5,5.362136535288398,-1.2423626161602437,0.55,0.010997790270364387,0
69,9,3,0.09592172070067981,27.381808439157954,1.3888888888888888,1443,3.366458900248283,34.84401473215525,0.5056198789031583,4.828031065325749,-1.25,0.5390991040157775,0.005391734442956151,0.04144358014998591
110,10,5,0.10036279446043103,30.079476814185327,2.011111111111111,716,5.126527460334333,27.420047308918267,0.5,5.2920513097698,-1.25,0.5494433642065734,0.022870477770885154,0.0009750069822016916
90,10,4,0.10303103165910699,30.12638601796008,1.9666666666666668,1370,5.104942115314861,27.53005443192156,0.5060357547849246,5.291161417987819,-1.2340658825190132,0.55,0.010600207769077458,0
24,4,1,0.10800973624351297,14.863203070634812,0.7944444444444445,958,2.1329279614995027,52.72612957965776,0.5,2.9914425791405126,-1.1177163279182596,0.49136809752402855,0.011833030268260323,0.0005376810746302654
49,9,2,0.10848322488625342,27.942296098997264,1.1500000000000001,1766,3.1260983288726676,42.8484721803806,0.5090868596964053,3.8821349854837837,-1.190332001422724,0.5470070413662206,0.07803789973418745,0.005518517694476164
91,11,4,0.10881304531271814,33.17780734167985,1.9722222222222223,1461,5.360300460587582,28.805727497460246,0.5,5.266548525287008,-1.2292307020849333,0.55,0,0
111,11,5,0.10973274175030384,33.21536583677065,2.0277777777777777,283,5.37546932076231,28.958119183524,0.5,5.297162151906046,-1.25,0.55,0.04527374599246729,0
70,10,3,0.11015652063411602,30.846645066677155,1.3611111111111112,1309,3.60932598309376,38.826218163110624,0.5,4.731954813753011,-1.23509672801854,0.5412665948427995,0,0.03507336532276452
25,5,1,0.11534702649113757,16.057989622718374,0.788888888888889,965,2.0110116503489435,56.48785286399858,0.5603839502681961,2.8990949107442603,-1.1257385775983202,0.5472364608986953,0.011088142828163058,0.012390514227229048
23,3,1,0.12352109627326008,11.631971514920687,0.7944444444444445,1088,2.1408403875008144,59.0857433248118,0.5346295875332064,3.553229824260141,-1.1309968953854588,0.5128718626305044,0.01429667351251061,0
122,2,6,0.12360331211298672,8.959822855156192,2.411111111111111,1171,5.242515182474556,20.222992680279955,0.5634537447274018,5.979679703228277,-1.25,0.2584217362338863,0.029870475949655962,0.049366992829274606
92,12,4,0.12420398906854388,36.148892204299266,1.9111111111111112,1319,5.3451516727235076,32.41643961960195,0.5,5.113566599728282,-1.25,0.55,0.02587370353258517,0.012004463515894546
50,10,2,0.12521819540664408,30.67072136727185,1.1944444444444444,1716,3.586983515054304,43.55470950571441,0.5292139558784984,4.175784752571218,-1.1504583980956453,0.55,0.05468408484783564,0.008918469075999259
26,6,1,0.12649166606294943,18.87741016051318,0.788888888888889,897,2.284426558434518,59.67691979134197,0.5044909049894979,2.671165862410755,-1.0978950383934332,0.4597593905831634,0,0.035090736370887894
81,1,4,0.1265741824831675,5.98068819133006,1.6500000000000001,2034,5.2408424324600915,32.73121676865127,0.5,5.981961546389964,-1.25,0.08702776147970791,0.003756664885143061,0.03256754637487082
71,11,3,0.1286830896928963,33.61498363042717,1.538888888888889,1353,5.1247898194833885,35.65216493899085,0.5,4.888008323379758,-1.1113119789099548,0.5260087602343738,0.013778276100639019,0.013300389307854299
61,1,3,0.1306926804652551,5.92667912200832,1.55,2140,5.127994044417326,34.406902627731114,0.5,6,-1.2296685526958109,0.09171564107476667,0.05780379110794848,0.014459225137873658
72,12,3,0.13482771833431498,36.585018275993555,1.5722222222222222,1429,5.178961351959759,36.80614338581557,0.5205116394794242,4.967722691291977,-1.132175500021805,0.55,0.011198699660688392,0
93,13,4,0.1358611726082677,39.23633279060624,1.838888888888889,1136,5.442085415251641,35.183497465560535,0.5020506218550106,5.079695540538192,-1.2352806967066328,0.5475894792538398,0.049107851074925976,0.008198896322808395
128,8,6,0.1424612281010659,24.244348964913442,2.4,177,5.347269148547242,22.174736657649106,0.5213038821920933,5.725589014996426,-1.25,0.55,0,0.028590848311250878
