niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_throughput_per_hour_train,descriptor_mean_wip_train,descriptor_throughput_per_hour_validation,descriptor_mean_wip_validation,validation_niche_id,same_niche,visit_count,decision_buffer_capacity,decision_speed_a,decision_speed_b,decision_maintenance_threshold_a,decision_maintenance_threshold_b,decision_rework_probability,decision_dispatch_priority,decision_staff_a,decision_staff_b
225,5,11,18.551502647305966,24.840707196044278,26.875,115.91696722147397,27.40625,119.25654675236459,225,1,2208,1,0.7121391910939355,1.0303217986975026,0.24340842721792044,0.5182835422082843,0.5955336632217534,1,1,1
245,5,12,18.602276635111338,23.711665376219415,25,120.05036948009477,26.90625,120.53207789998649,245,1,651,1,0.7,1.0382546062706115,0.208047943248163,0.41146897428276574,0.5340879345950599,1,1,1
205,5,10,18.79942222453324,24.693370046209928,29.875,105.6861018599167,29.78125,108.2436436554651,205,1,1636,1,0.891820899018279,1.1535368021568895,0.2487797380870649,0.552788368240014,0.5306403804263656,1,1,1
224,4,11,18.826298457198934,23.95494120795264,24.875,119.03401504452289,26.21875,119.59359126268748,225,0,182,1,0.7151518789887676,1.0319929340516938,0.2038361267614873,0.39458255053492497,0.5669056460845157,1,1,1
206,6,10,18.834131176666954,26.06722754594046,30.5625,107.13272209011252,30.09375,109.42758261030363,206,1,1878,1,0.8435360971462995,1.2769528579151619,0.5503273694107548,0.5580975794445201,0.5555892689238857,1,1,1
244,4,12,19.067154991929947,24.209360536763114,24.875,120.33260757217813,26.71875,120.59825529688696,245,0,220,1,0.7,1.017910698988298,0.2126267398626785,0.5165990869453583,0.7190624995782668,1,1,1
186,6,9,19.229979149488507,24.61328598398754,31.5,99.47549097538543,31.4375,102.357968494513,206,0,579,1,0.9994850629860403,1.2510944727622533,0.35689866430952977,0.6576037126282372,0.519989625412849,1,1,1
185,5,9,19.260103349538618,25.868031721126847,29.375,99.58173706218751,30.25,102.85152104319899,206,0,594,1,0.9907133503209746,1.100734410676984,0.35452900337900783,0.5275361305727863,0.549994867235061,0.9928475134621823,1,1
207,7,10,19.386088892006466,25.633548824378813,35.75,102.60494477370518,36.84375,105.55970783079063,207,1,1268,1,0.9986997412031565,1.001126667618661,0.214620794553838,0.6129058945661029,0.5355567275866798,1,1,2
226,6,11,19.590559451738176,25.53256587869292,31.6875,110.29895367685516,31.8125,111.5033634114151,226,1,529,2,0.7869128825236325,1.144213812979677,0.592777860355946,0.5994164016177899,0.9633172070872236,1,1,1
204,4,10,19.885451443378127,26.530719447425508,24.75,105.06109051273751,25.0625,107.04441005514164,205,0,1581,1,0.9548504450831382,0.8448193574754627,0.19658753973911797,0.2794089071849359,0.23851652220472125,1,1,1
187,7,9,20.342710401487434,25.69879086627355,39.25,97.04707378974891,40.25,98.68137418369528,188,0,766,2,1.0033542715739736,0.9435487857509577,0.9472456392794943,0.594576139077246,0.4444533991102519,1,1,2
165,5,8,20.660347074298418,29.08885555142628,28.125,89.8581585688479,29.28125,91.29693291176301,185,0,395,1,1.1665834550214247,1.0597475316656657,0.95,0.5247025529615235,0.4768469947617891,1,1,1
188,8,9,20.7747356115645,26.5659750297071,40.9375,91.58712174493752,42.71875,93.53889932693748,188,1,1678,2,1.115661433089326,0.9036433281154911,0.95,0.6200571923918161,0.421895490813327,1,1,2
184,4,9,20.9289042833798,27.405395618865505,23.3125,97.81087835459061,24.375,100.15243562528643,204,0,863,1,1.0309550914010546,0.8485882050340431,0.35356822396200055,0.18247680629385146,0.14721036632527432,0.9980247111527895,1,1
168,8,8,21.264002796922988,27.90234676403533,43.625,86.8613212228177,45.34375,88.56860695832029,169,0,975,2,1.2424850709162276,0.9625420074064749,0.95,0.7052551378188713,0.571478600601826,1,1,2
203,3,10,21.681338093353986,29.55253374581364,19,104.59946517493333,20.25,107.04501503961251,204,0,178,1,0.9534473851335336,0.7114426780818375,0.20647226593850848,0.2249752402779226,0.01138298373750418,1,1,1
183,3,9,22.109788163736162,27.219388863765126,19.6875,98.6600507576469,21.53125,100.74819599053909,204,0,97,1,1.0279035875782467,0.7,0.24612012188909244,0.21061006924893802,0.007907924285583338,0.9971658592150379,1,1
167,7,8,22.144067293482077,27.63986306810153,39.8125,88.85099498251661,40.875,89.96297374749582,168,0,355,1,1.220160057541388,0.7758598352707657,0.95,0.4234735150337409,0.6390947426248367,1,1,2
166,6,8,22.16990239768811,29.372645349645385,32.1875,88.02212784352287,30.5,90.26469633610421,186,0,315,2,1.2123756413693425,1.065260062001526,0.95,0.6027874632193748,0.36967440387825606,1,1,1
164,4,8,22.37910237157626,28.924311001592653,24.6875,88.3884940840333,25.25,89.10240925909062,165,0,781,1,1.2170239912053957,0.8510693533395912,0.95,0.47139782492190024,0.5994174963812533,1,1,1
125,5,6,22.47624109062814,26.735828503561653,29,68.73026240027814,30.28125,68.19579321593228,126,0,818,1,0.7,0.9999398984718011,0.5369386818886375,0.5111031563322661,0.5826772961609811,1,2,1
145,5,7,22.51186585546704,27.95889570621317,28.8125,73.16934329898437,30.5625,71.18726556392085,146,0,427,1,0.7062548255627553,1.009588327568716,0.28045545408381894,0.4955283984611124,0.7264886011308753,0.9930006468258221,2,1
146,6,7,22.633446484440952,27.547079828818994,30.9375,71.6751072948271,31.90625,69.71377549965833,126,0,924,1,0.7,1.0427772980173071,0.3237018026675276,0.45548404040649093,0.5618071783539519,1,2,1
126,6,6,22.639542772792907,27.042628835443146,31.3125,68.7713708411031,32.09375,68.40731102582396,126,1,1958,1,0.7,1.1361494401097243,0.5214699064752291,0.5005516449575272,0.5840783196204041,1,2,1
148,8,7,23.087691995722263,27.55067610458305,44.625,75.35432593780835,45.53125,74.13684207638698,149,0,719,1,0.7099542363175994,0.8069844016831036,0.20303609918026755,0.5158502901686185,1,1,2,2
124,4,6,23.18473605120505,27.543580229948844,23.3125,66.84681479730418,24.3125,66.01156833617812,124,1,684,1,0.7,0.7079203186921924,0.6912481445956493,0.5052896560077895,0.5378997625116732,1,2,1
105,5,5,23.196269838092228,27.29194782420003,28.625,54.800800348366664,30.125,51.24645901819531,106,0,1010,1,0.8146984046985448,0.9922142942790207,0.6175585470796321,0.5681602544365523,0.40288288924747406,1,2,1
149,9,7,23.241290095410026,27.146874533882755,45.9375,76.7296214034875,46.65625,75.38448417169637,149,1,1190,1,0.7,0.8390927547680952,0.22316248728808705,0.6095133398213455,1,1,2,2
129,9,6,23.366186242150327,26.871144752865007,45.8125,68.47576507151877,46.71875,68.2146835409526,129,1,1484,1,0.7572721528030303,0.8293010725119337,0.21822873145703778,0.5011541757332543,0.7039029484610103,1,2,2
130,10,6,23.471659736765744,27.230783166828793,50.8125,63.475912281092654,51.5,67.693709238688,130,1,1951,1,0.7,1.0077235009450576,0.7167329766892306,0.6262842500939831,0.645606306905992,1,2,2
128,8,6,23.510524937642646,27.386804898729206,44.875,68.70414547076358,46.59375,68.70982275265207,129,0,950,1,0.760729122377294,0.8153761336297937,0.19810722929417202,0.4573509679731378,0.8282194485778634,1,2,2
107,7,5,23.541869790999606,28.241076591803846,35.3125,55.551659027016655,35.1875,55.55973687398072,107,1,668,1,0.8128724119067239,1.285074919709232,0.5177700450237375,0.5190740071811915,0.42813122414870386,1,2,1
150,10,7,23.547660882530625,27.20953057702161,50.75,70.45904140424584,52.75,70.13736408076564,150,1,717,2,0.7401862333418292,1.0583092894735022,0.21494394324076022,0.5585110034345075,0.5651087237909959,1,2,2
127,7,6,23.57673093570058,26.62431666387862,35.25,66.35808365607812,34.84375,64.54979141666406,126,0,780,1,0.7043569012735188,1.2436450560507466,0.602946292755726,0.5554940073618156,0.42191448091690326,0.9964707981638262,2,1
144,4,7,23.618969627119434,28.151035505903604,23.5625,73.33520704221046,23.96875,75.47215665768437,144,1,549,1,0.7,0.7147468082888366,0.1742225634606246,0.6530149967968397,0.9038624594862507,1,2,1
104,4,5,23.62491390322794,27.92051513509479,22.5,52.198740516059345,23.875,53.374050571284386,104,1,1034,1,0.8178455588385789,0.7307685640747916,0.727520855658903,0.47419268504426804,0.6088079850857843,1,2,1
169,9,8,23.641761283044367,29.108958430226547,45,84.30302513113227,46.34375,88.24961895115781,169,1,792,5,1.3431915775980259,1.011995908362653,0.9477610014008233,0.7066838407986975,0.6088374156953926,0.9834397297873045,1,2
106,6,5,23.67228449964969,28.328993009267574,30,54.683751324679164,30.6875,55.98985907549949,106,1,1473,1,0.790236197142502,1.152068661171141,0.7012743307539114,0.2200763714827453,0.4903127262809718,0.9666961394445593,2,1
163,3,8,23.713276639021487,34.03124578032728,19.875,83.4774454750354,20.125,87.63221673398488,164,0,204,1,1.3594831075944638,0.7,0.95,0.4023486802320019,0.678716636373672,1,1,1
6,6,0,23.829006653391282,24.80397818362899,30.8125,7.0624168017802065,28.90625,7.493100769624477,5,0,624,1,0.9380150515025352,1.0726213443318677,0.7637595758971384,0.8022992910720487,0.2880688009959854,0.9617336968471022,3,1
5,5,0,23.832317485335324,25.36007736210631,29.3125,7.450925613081249,29.0625,8.173796935827083,5,1,1853,1,0.9045391596032835,1.0548764600460225,0.748979635793215,0.7988690330634017,0.3515236028562936,0.9288529465164648,3,1
85,5,4,23.868645812753464,26.967926798097306,26.5625,49.42749105777709,27.03125,49.33263249507032,85,1,903,1,0.8321580890613164,0.8952208981215283,0.8469932120733777,0.3519517401160314,0.4460423263764415,1,2,1
4,4,0,24.030799724625453,25.051565995280523,24.5625,6.000885717044792,24.625,6.698291362361979,4,1,1281,1,1.0153423688212793,0.8707128695532048,0.8364473410961614,0.43153967859264053,0.14112893237414537,1,3,1
