maximum_gap_hours,negative_contact_hours,launch_complexity,quality,altitude_km,inclination_deg,raan_1_deg,raan_2_deg,raan_3_deg,raan_4_deg,mean_anomaly_1_deg,mean_anomaly_2_deg,mean_anomaly_3_deg,mean_anomaly_4_deg
2.838541666667,-22.111263020833,0.721991258417,3.345155794769,702.086836884591,88.660434130043,296.042491414198,172.978771112357,227.690703018890,181.241523928497,329.014897383515,148.678143359289,241.988590148885,297.782016936412
3.674479166667,-24.324153645833,0.875385484842,2.774686742751,770.861619365527,94.802550003542,280.012226804673,168.670242703001,165.903520095352,237.136524454542,138.215593108094,159.838675167723,315.061789545825,54.891490844925
3.506770833333,-25.996614583333,1.089147841326,2.761100063956,882.118837077280,85.420099255095,106.356235889973,77.092462039606,35.236743928028,152.949611413802,212.009383831352,152.743741020089,203.629273907670,14.101774233774
3.987630208333,-28.373958333333,1.078000020387,2.737663920846,857.118176912687,91.009296604857,41.653036388841,142.007201547069,109.296019001400,179.943416587012,7.383724326180,296.597864689200,207.980486029667,259.351230530203
4.006315104167,-28.652734375000,1.094403245861,2.732672524349,857.118176912687,91.009296604857,34.081941384269,142.007201547069,109.296019001400,179.943416587012,7.383724326180,304.370694907902,207.980486029667,259.351230530203
3.987630208333,-28.158984375000,1.066411686084,2.732158503826,857.118176912687,91.009296604857,41.653036388841,117.483233230834,109.296019001400,179.943416587012,7.383724326180,296.597864689200,207.980486029667,259.351230530203
3.969986979167,-25.189127604167,0.873239843753,2.705605598531,770.861619365527,94.802550003542,278.926777112665,168.670242703001,165.903520095352,237.198939587890,138.215593108094,225.766827314310,315.061789545825,54.891490844925
4.045768229167,-29.942513020833,1.201456096498,2.695571900048,900.000000000000,91.009296604857,43.464012261057,172.388885541396,110.611867877446,179.943416587012,15.177951831511,296.597864689200,207.980486029667,259.351230530203
3.413671875000,-25.405924479167,1.147137486592,2.680865989802,899.135875611637,85.430662444512,237.684232812178,182.264957677627,231.393198632222,313.457677323429,208.765438046713,152.743741020089,118.024072004124,180.751498690467
3.893229166667,-25.948502604167,1.040353109952,2.599030710891,854.745061247335,90.773921103800,68.855764624186,142.311247273876,84.804122428503,179.943416587012,7.383724326180,296.597864689200,207.980486029667,278.460810208088
3.896940104167,-26.092513020833,1.052980168132,2.595412325207,860.427237428368,90.773921103800,68.855764624186,142.311247273876,84.804122428503,179.943416587012,7.383724326180,296.597864689200,207.980486029667,278.460810208088
3.928580729167,-17.389192708333,0.364695245879,2.585365012000,559.067504507535,90.091796122682,278.857494858157,260.877302197773,168.182539928911,234.716736598404,135.393441199868,61.967170469426,218.356923189326,31.483876091162
3.545442708333,-27.481250000000,1.349848738826,2.572885073244,881.113505639758,93.090048594747,107.175655306030,355.390361254666,302.126121435678,225.375508620666,213.232864557991,150.140655656647,115.252953606523,47.458154531442
3.869661458333,-22.863476562500,0.831780738758,2.563126323336,772.105891772360,90.096042306837,278.926777112665,168.670242703001,206.573690446939,237.198939587890,138.215593108094,225.766827314310,212.801307981842,41.122038193553
4.026171875000,-26.442513020833,1.056136386440,2.558665260020,866.929250401092,81.249423890287,163.368165744308,213.425716107622,158.773170742913,264.329311344360,213.839668459863,346.297199808176,62.026467249091,146.022536176623
3.721028645833,-24.468554687500,1.047642228577,2.531148374972,857.591635673804,97.804382965045,142.461836098087,201.888240735251,106.659609061925,81.254034960778,218.334460335221,34.762716706922,195.203593269360,91.647238500651
4.085351562500,-25.530273437500,0.988601301818,2.524566207988,818.777342082000,90.933538957967,278.632175484836,254.669347312373,25.970303457637,322.246927924910,133.089739746976,185.934157547381,212.579616058835,39.930882561768
4.079687500000,-20.723958333333,0.624417810982,2.511527699030,659.891750284807,85.429433004769,287.086120940672,182.730106820723,214.356553433054,158.305184569415,354.601496495960,92.398793195941,205.417341239524,148.496657903770
3.928385416667,-16.526367187500,0.342812477568,2.497223228056,559.067504507535,88.100606638303,279.554331933885,256.910906457790,178.204572589268,234.716736598404,138.166609135934,159.088531826989,195.212310162783,31.483876091162
4.266015625000,-26.616471354167,1.025634068523,2.495211382267,824.307555634196,85.977348473482,279.612502241974,185.704417658105,208.662741207880,128.091514788895,351.777954938057,91.439401887905,218.356923189326,145.123933569952
4.072656250000,-20.348697916667,0.608772709894,2.493483511763,659.891750284807,85.429433004769,278.832996259601,182.730106820723,219.109227591334,158.305184569415,354.601496495960,92.398793195941,205.417341239524,148.496657903770
3.804752604167,-15.761458333333,0.329485584436,2.467412353335,532.700545243014,90.091796122682,307.163061542979,260.730641812419,180.103595167256,233.556343441460,137.194403416189,225.016683973575,198.757775588685,33.781721443074
3.614973958333,-17.296223958333,0.533891047096,2.443360410445,632.670339602583,90.248396083448,163.571464663697,147.827409922360,216.252294913140,254.263778054484,283.731541965044,340.506316748715,207.856561066420,204.361259782988
