design,split,observations,mean_huber_error,p95_log_error,detection_mismatch_fraction,total_emission_g_s,scalar_score,source_position_error_m,decision_source_1_x_m,decision_source_1_y_m,decision_source_1_log10_emission_g_s,decision_source_1_height_m,decision_source_2_x_m,decision_source_2_y_m,decision_source_2_log10_emission_g_s,decision_source_2_height_m,decision_wind_direction_bias_deg,decision_wind_speed_scale,decision_lateral_dispersion_scale,decision_vertical_dispersion_scale
baseline,training,256,0.22603386601450282,3.9525334659118845,0.09765625,2,1.7075455790836624,860.4244061075767,-600,-300,0,60,600,300,0,60,0,1,1,1
baseline,validation,100,0.311925804863265,4.707729612840987,0.12,2,2.0756311693576106,860.4244061075767,-600,-300,0,60,600,300,0,60,0,1,1,1
truth,training,256,0.002615963204247691,0.15632105119242778,0,3.6,0.09332833112159741,0,-820,420,0.37106786227173627,52,930,-610,0.09691001300805642,78,3,1.04,1.07,0.94
truth,validation,100,0.002020037085878551,0.1340513479470049,0,3.6,0.08493800886733027,0,-820,420,0.37106786227173627,52,930,-610,0.09691001300805642,78,3,1.04,1.07,0.94
selected,training,256,0.007284879952856616,0.21849200433275007,0.00390625,2.129640287838812,0.10817848434770726,24.832200053154622,-814.9228176785994,417.3327304468068,0.07486596993408941,37.817666106123156,900.925192552632,-642.9307356196987,-0.026177464199250607,73.69317093137377,2.738748772223739,0.8,1.1163510303704556,0.8872250040416141
selected,validation,100,0.007927551205775091,0.24168644815713813,0.01,2.129640287838812,0.12181421093916155,24.832200053154622,-814.9228176785994,417.3327304468068,0.07486596993408941,37.817666106123156,900.925192552632,-642.9307356196987,-0.026177464199250607,73.69317093137377,2.738748772223739,0.8,1.1163510303704556,0.8872250040416141
