design,field_deg,wavelength_um,ray_id,x_mm,y_mm
reference,0,0.4861,0,0.04017106331657505,0
reference,0,0.4861,1,0.024480068920326392,0.016320045946883965
reference,0,0.4861,2,0.01840150793529549,0.00613383597843109
reference,0,0.4861,3,0.01629136208205484,0
reference,0,0.4861,4,0.01840150793529549,-0.00613383597843109
reference,0,0.4861,5,0.024480068920326392,-0.016320045946883965
reference,0,0.4861,6,0.016320045946883965,0.024480068920326392
reference,0,0.4861,7,0.009428633419430454,0.009428633419430454
reference,0,0.4861,8,0.004992017554489081,0.0024960087772445405
reference,0,0.4861,9,0.003470619495697491,0
reference,0,0.4861,10,0.004992017554489081,-0.0024960087772445405
reference,0,0.4861,11,0.009428633419430454,-0.009428633419430454
reference,0,0.4861,12,0.016320045946883965,-0.024480068920326392
reference,0,0.4861,13,0.00613383597843109,0.01840150793529549
reference,0,0.4861,14,0.0024960087772445405,0.004992017554489081
reference,0,0.4861,15,0.0001853454007825217,0.0001853454007825217
reference,0,0.4861,16,-0.0006029119563619734,0
reference,0,0.4861,17,0.0001853454007825217,-0.0001853454007825217
reference,0,0.4861,18,0.0024960087772445405,-0.004992017554489081
reference,0,0.4861,19,0.00613383597843109,-0.01840150793529549
reference,0,0.4861,20,0,0.04017106331657505
reference,0,0.4861,21,0,0.01629136208205484
reference,0,0.4861,22,0,0.003470619495697491
reference,0,0.4861,23,0,-0.0006029119563619734
reference,0,0.4861,24,0,0
reference,0,0.4861,25,0,0.0006029119563619734
reference,0,0.4861,26,0,-0.003470619495697491
reference,0,0.4861,27,0,-0.01629136208205484
reference,0,0.4861,28,0,-0.04017106331657505
reference,0,0.4861,29,-0.00613383597843109,0.01840150793529549
reference,0,0.4861,30,-0.0024960087772445405,0.004992017554489081
reference,0,0.4861,31,-0.0001853454007825217,0.0001853454007825217
reference,0,0.4861,32,0.0006029119563619734,0
reference,0,0.4861,33,-0.0001853454007825217,-0.0001853454007825217
reference,0,0.4861,34,-0.0024960087772445405,-0.004992017554489081
reference,0,0.4861,35,-0.00613383597843109,-0.01840150793529549
reference,0,0.4861,36,-0.016320045946883965,0.024480068920326392
reference,0,0.4861,37,-0.009428633419430454,0.009428633419430454
reference,0,0.4861,38,-0.004992017554489081,0.0024960087772445405
reference,0,0.4861,39,-0.003470619495697491,0
reference,0,0.4861,40,-0.004992017554489081,-0.0024960087772445405
reference,0,0.4861,41,-0.009428633419430454,-0.009428633419430454
reference,0,0.4861,42,-0.016320045946883965,-0.024480068920326392
reference,0,0.4861,43,-0.024480068920326392,0.016320045946883965
reference,0,0.4861,44,-0.01840150793529549,0.00613383597843109
reference,0,0.4861,45,-0.01629136208205484,0
reference,0,0.4861,46,-0.01840150793529549,-0.00613383597843109
reference,0,0.4861,47,-0.024480068920326392,-0.016320045946883965
reference,0,0.4861,48,-0.04017106331657505,0
reference,0,0.5876,0,0.050934971077166935,0
reference,0,0.5876,1,0.031695601478636704,0.021130400985756914
reference,0,0.5876,2,0.024827468931800656,0.008275822977267477
reference,0,0.5876,3,0.022467931525037343,0
reference,0,0.5876,4,0.024827468931800656,-0.008275822977267477
reference,0,0.5876,5,0.031695601478636704,-0.021130400985756914
reference,0,0.5876,6,0.021130400985756914,0.031695601478636704
reference,0,0.5876,7,0.01338440921936046,0.01338440921936046
reference,0,0.5876,8,0.008486416226998639,0.004243208113499319
reference,0,0.5876,9,0.006818900652950433,0
reference,0,0.5876,10,0.008486416226998639,-0.004243208113499319
reference,0,0.5876,11,0.01338440921936046,-0.01338440921936046
reference,0,0.5876,12,0.021130400985756914,-0.031695601478636704
reference,0,0.5876,13,0.008275822977267477,0.024827468931800656
reference,0,0.5876,14,0.004243208113499319,0.008486416226998639
reference,0,0.5876,15,0.0017187335183088681,0.0017187335183088681
reference,0,0.5876,16,0.0008626618428941857,0
reference,0,0.5876,17,0.0017187335183088681,-0.0017187335183088681
reference,0,0.5876,18,0.004243208113499319,-0.008486416226998639
reference,0,0.5876,19,0.008275822977267477,-0.024827468931800656
reference,0,0.5876,20,0,0.050934971077166935
reference,0,0.5876,21,0,0.022467931525037343
reference,0,0.5876,22,0,0.006818900652950433
reference,0,0.5876,23,0,0.0008626618428941857
reference,0,0.5876,24,0,0
reference,0,0.5876,25,0,-0.0008626618428941857
reference,0,0.5876,26,0,-0.006818900652950433
reference,0,0.5876,27,0,-0.022467931525037343
reference,0,0.5876,28,0,-0.050934971077166935
reference,0,0.5876,29,-0.008275822977267477,0.024827468931800656
reference,0,0.5876,30,-0.004243208113499319,0.008486416226998639
reference,0,0.5876,31,-0.0017187335183088681,0.0017187335183088681
reference,0,0.5876,32,-0.0008626618428941857,0
