optimizer,rms_spot_um,efl_mm,bfl_mm,track_length_mm,glass_volume_mm3,minimum_edge_thickness_mm,lost_rays,total_rays,decision_0,decision_1,decision_2,decision_3,decision_4,decision_5,decision_6,decision_7,decision_8,decision_9,decision_10
cma,90.27650022066116,49.51366819130363,42.42384803527938,63.00110184923962,1132.5458403773296,3.691486106468414,0,441,0.0362843513135604,-0.0102567961448753,-0.05833570329566055,0.033318027388149575,0.010418302095419411,-0.05971032862305608,5.794362888253854,4.197144318953577,4.585599497132552,4.369800159836291,1.630346949783966
de,46.64281630121042,50.0332709817171,39.40031531978277,57.176603278493715,1057.0775791224967,1.671663011318667,0,441,0.046004743011057295,-0.0026570029779536992,-0.04546333165243208,0.034827469189909616,0.0037752218995677333,-0.05507088852629384,7.12053102565762,4.091347056193815,2.420811390931465,2.941582784887125,1.2020157010409214
bite,66.32585925344974,50.81134890666244,43.55572127895111,62.21369190746062,934.2733826628812,3.294805161965277,0,441,0.03331234655500368,-0.015851096738804957,-0.05207527678375765,0.03102574747261664,0.002819261740840837,-0.05648382783891359,4.139476014692473,3.865183579234449,4.050765341159993,4.428615693422596,2.17393
