point_id,feasible,selected,objective_mean_huber_error,objective_p95_detection_error,objective_total_emission_g_s,decision_source_1_x_m,decision_source_1_y_m,decision_source_1_log10_emission_g_s,decision_source_1_height_m,decision_source_2_x_m,decision_source_2_y_m,decision_source_2_log10_emission_g_s,decision_source_2_height_m,decision_wind_direction_bias_deg,decision_wind_speed_scale,decision_lateral_dispersion_scale,decision_vertical_dispersion_scale
0,1,1,0.002396857181697118,0.12798887720576602,1.7729225696800994,-815.7776833244259,412.33230685111937,0.052272810141321416,33.10433056167473,921.6849096469198,-598.003114129473,-0.1904289594784415,55.09063767357314,3.1655298688551428,0.800617139684735,1.0639607827452964,0.7000297262853183
1,1,0,0.0024982917839998435,0.1431641420677794,1.7390979284317654,-821.8298904291894,412.1846879192278,0.02720407781253331,30.274543886391335,923.0770180214104,-600.4591525095279,-0.17104718561877671,55.13826715028735,2.998874114145183,0.8000390024227204,1.069745483741206,0.7000811129304516
2,1,0,0.0026202650064916485,0.14644328480640478,1.6433539035988787,-818.2016910780893,412.5831282174523,0.0037046313243674777,28.726801675818457,924.4225699082068,-600.6689857617357,-0.19737184680232134,55.04451502341033,3.012125354923011,0.8000037053198333,1.0719705173505498,0.7000743768652575
3,1,0,0.002764748443292887,0.1519896601708588,1.6331193564476414,-822.9977775643736,412.17927271696624,-0.0031732065420184727,26.65290419111374,924.2552496204996,-600.4591525095279,-0.19354914713943613,55.13826715028735,2.9759398637625303,0.8000169701347986,1.069745483741206,0.7000379315013533
4,1,0,0.0024030789117556227,0.1544804145602039,1.7530514307982057,-816.0774176221205,412.22971282704293,0.03515853790080039,31.14061568122156,921.0884883976969,-600.5795918070478,-0.17474999853141562,55.68164605975629,3.037000188084419,0.8000125075790183,1.0614211977556183,0.7000621579728918
5,1,0,0.0028068926438379977,0.15747642936699657,1.6078678125918842,-822.9977775643736,412.17927271696624,-0.0031732065420184727,26.65290419111374,924.2552496204996,-600.4591525095279,-0.21102055131266087,55.13826715028735,2.9759398637625303,0.8000269641559894,1.069745483741206,0.7000805343609153
6,1,0,0.0025951687244635973,0.1579232774346,1.6862385667010171,-822.0162107319707,412.61440302211156,0.013675312909393838,28.726801675818457,923.6618445360882,-600.6689857617357,-0.1842569423752392,54.596055909345154,3.0292753276683637,0.8000385183913461,1.0687462773099088,0.7000495160578029
7,1,0,0.0022042634887400854,0.16200656738876829,1.7831898147161722,-820.9920088042447,412.51686795973853,0.05620827654236071,33.21028758347103,921.6497622710108,-600.4621415834963,-0.1904289594784414,55.64573077943335,3.0448156218920897,0.8000005455331136,1.0612588092053516,0.7001898349397762
8,1,0,0.0025871604882986817,0.16663394064796933,1.6489243100623212,-822.0162107319707,412.58312821745227,0.0037046313243674777,28.726801675818457,923.6618445360882,-600.6689857617357,-0.19357743504804728,55.04451502341033,3.017083237629381,0.8000822029796648,1.0687462773099088,0.7001539702179806
9,1,0,0.002939491652680949,0.17180082096221838,1.5826135995325177,-822.6670306115896,410.78788319239226,-0.014364361772209407,26.65290419111374,924.2552496204996,-600.0453176364915,-0.21102055131266087,55.09781042102658,2.93126075776218,0.8000268610411541,1.074564837623921,0.70000990935471
