evaluations,elapsed_seconds,best_quality
256,0.001652204,-1.289770228749732
512,0.002426411,-1.289770228749732
768,0.003248638,-1.2368918560985125
1024,0.004023945,-1.0750063258184648
1280,0.004756321,-1.0750063258184648
1536,0.005508888,-1.0397857606341412
1792,0.006247554,-0.9237521558066524
2048,0.0069748,-0.5479478868067192
2304,0.007699776,-0.5479478868067192
2560,0.008420173,-0.45963633526686554
2816,0.009143269,-0.45963633526686554
3072,0.009820835,-0.45861858872466565
3328,0.010510801,-0.45861858872466565
3584,0.011213967,-0.45861858872466565
3840,0.011899542,-0.4586185887246655
4096,0.012602658,-0.4450045424679012
4352,0.013318825,-0.4450045424679012
4608,0.014066801,-0.3999846074078163
4864,0.014765257,-0.3999846074078163
5120,0.015469623,-0.3629895436506165
5376,0.016175649,-0.3629895436506165
5632,0.016917486,-0.3432880167650155
5888,0.017616442,-0.3018737038162508
6144,0.018318798,-0.2655236422206221
6400,0.019034554,-0.2655236422206221
6656,0.01978392,-0.23705301929080216
6912,0.020565687,-0.20661834913184066
7168,0.021322953,-0.20661834913184066
7424,0.02206479,-0.20661834913184066
7680,0.022819426,-0.20661834913184066
7936,0.023589003,-0.20661834913184027
8192,0.024345869,-0.19027257431106775
8448,0.025120146,-0.19027257431106775
8704,0.025894683,-0.18556944162531366
8960,0.026680019,-0.18556944162531366
9216,0.027446866,-0.18556944162531366
9472,0.028230863,-0.18556944162531366
9728,0.02909723,-0.18556944162531366
9984,0.029867497,-0.14684499557628145
10240,0.030662834,-0.14684499557628145
10496,0.031469711,-0.14684499557628145
10752,0.032299778,-0.14684499557628145
11008,0.033214116,-0.14684499557628145
11264,0.034116623,-0.14684499557628145
11520,0.034977451,-0.14684499557628145
11776,0.035848928,-0.14684499557628145
12032,0.036781366,-0.13701250385379488
12288,0.037703804,-0.12074870354213896
12544,0.038508161,-0.12074870354213896
12800,0.039332728,-0.12074870354213896
13056,0.040208046,-0.12074870354213896
13312,0.041023863,-0.12074870354213896
13568,0.04183422,-0.12074870354213896
13824,0.042651787,-0.1076788731948814
14080,0.043464913,-0.1076788731948814
14336,0.044282301,-0.1076788731948814
14592,0.045145138,-0.10765098364464495
14848,0.046010395,-0.10765098364464495
15104,0.046899773,-0.10765098364464495
15360,0.048009023,-0.10605398688226957
15616,0.048951521,-0.10605398688226957
15872,0.049869929,-0.10605398688226957
16128,0.050867957,-0.10503530368026848
16384,0.051896506,-0.10503530368026848
16640,0.052993915,-0.10503530368026848
16896,0.054506658,-0.10503530368026848
17152,0.055585328,-0.10500081934759788
17408,0.056663287,-0.10500081934759788
17664,0.057692796,-0.10500081934759788
17920,0.058857926,-0.10500081934759788
18176,0.060003496,-0.10500081934759788
18432,0.061166726,-0.10500081934759788
18688,0.062268355,-0.10500081934759788
