station,longitude_deg,latitude_deg,accepted_passes,rejected_short_passes,contact_hours,maximum_gap_hours
Svalbard,15.41000000,78.23000000,35,2,3.737239583,1.467057292
Fairbanks,-147.72000000,64.82000000,25,0,2.320507812,2.724153646
Singapore,103.70000000,1.32000000,7,1,0.693554688,3.814192708
Hartebeesthoek,27.71000000,-25.89000000,11,0,0.936328125,3.524739583
Cordoba,-66.10000000,-33.20000000,12,0,1.110286458,3.794010417
Troll,2.53000000,-72.00000000,34,0,3.448242188,2.785351562
