station,satellite,open_seconds,close_seconds,duration_seconds,accepted
Svalbard,SAT-2,0.000000,78.750000,78.750000,false
Troll,SAT-4,48.515625,325.078125,276.562500,true
Fairbanks,SAT-2,364.921875,655.546875,290.625000,true
Cordoba,SAT-3,417.890625,709.453125,291.562500,true
Troll,SAT-3,1281.562500,1550.625000,269.062500,true
Troll,SAT-2,2999.765625,3405.468750,405.703125,true
Fairbanks,SAT-4,3093.984375,3423.984375,330.000000,true
Svalbard,SAT-1,3650.625000,4065.937500,415.312500,true
Fairbanks,SAT-3,4377.187500,4605.703125,228.515625,true
Svalbard,SAT-2,5357.812500,5747.343750,389.531250,true
Troll,SAT-4,5737.968750,6086.484375,348.515625,true
Troll,SAT-3,6989.296875,7305.000000,315.703125,true
Cordoba,SAT-1,7436.015625,7824.375000,388.359375,true
Troll,SAT-2,8696.953125,8943.046875,246.093750,true
Fairbanks,SAT-4,8733.281250,9158.671875,425.390625,true
Svalbard,SAT-1,9343.828125,9751.171875,407.343750,true
Fairbanks,SAT-3,9992.578125,10406.250000,413.671875,true
Singapore,SAT-1,10738.125000,11136.093750,397.968750,true
Svalbard,SAT-2,10985.390625,11408.671875,423.281250,true
Troll,SAT-4,11402.343750,11817.890625,415.546875,true
Hartebeesthoek,SAT-4,12168.984375,12573.750000,404.765625,true
Troll,SAT-3,12658.828125,13055.156250,396.328125,true
Hartebeesthoek,SAT-3,13493.203125,13762.031250,268.828125,true
Svalbard,SAT-4,13855.546875,14148.984375,293.437500,true
Fairbanks,SAT-4,14434.687500,14716.171875,281.484375,true
Svalbard,SAT-1,15029.062500,15444.609375,415.546875,true
Svalbard,SAT-3,15170.156250,15396.093750,225.937500,true
Fairbanks,SAT-3,15663.281250,16037.578125,374.296875,true
Svalbard,SAT-2,16657.031250,17076.328125,419.296875,true
Troll,SAT-4,17066.953125,17471.250000,404.296875,true
Troll,SAT-3,18320.859375,18741.796875,420.937500,true
Hartebeesthoek,SAT-3,19162.265625,19378.593750,216.328125,true
Svalbard,SAT-4,19421.953125,19815.468750,393.515625,true
Cordoba,SAT-2,20447.109375,20854.687500,407.578125,true
Svalbard,SAT-1,20700.468750,21126.562500,426.093750,true
Svalbard,SAT-3,20704.921875,21071.953125,367.031250,true
Svalbard,SAT-2,22349.062500,22757.109375,408.046875,true
Troll,SAT-4,22765.078125,23004.375000,239.296875,true
Singapore,SAT-2,23758.125000,24159.375000,401.250000,true
Troll,SAT-3,23998.359375,24328.359375,330.000000,true
Svalbard,SAT-4,25052.343750,25476.328125,423.984375,true
Fairbanks,SAT-1,25844.531250,26156.953125,312.421875,true
Svalbard,SAT-3,26313.984375,26732.578125,418.593750,true
Svalbard,SAT-1,26362.734375,26772.187500,409.453125,true
Hartebeesthoek,SAT-1,28000.312500,28404.375000,404.062500,true
Svalbard,SAT-2,28038.046875,28449.609375,411.562500,true
Svalbard,SAT-4,30725.625000,31143.750000,418.125000,true
Fairbanks,SAT-1,31427.343750,31848.281250,420.937500,true
Svalbard,SAT-3,31974.140625,32396.484375,422.343750,true
Svalbard,SAT-1,32026.406250,32359.921875,333.515625,true
Svalbard,SAT-2,33713.671875,34137.890625,424.218750,true
Troll,SAT-1,34355.625000,34720.312500,364.687500,true
Cordoba,SAT-4,34513.125000,34923.046875,409.921875,true
Cordoba,SAT-3,35815.312500,36131.015625,315.703125,true
Svalbard,SAT-4,36418.125000,36824.765625,406.640625,true
Fairbanks,SAT-1,37181.484375,37482.656250,301.171875,true
Svalbard,SAT-3,37662.421875,38071.875000,409.453125,true
Svalbard,SAT-1,37728.046875,37850.156250,122.109375,false
Singapore,SAT-4,37821.562500,38229.375000,407.812500,true
Fairbanks,SAT-2,38945.390625,39126.093750,180.703125,true
Singapore,SAT-3,39183.281250,39395.859375,212.578125,true
Svalbard,SAT-2,39378.046875,39797.578125,419.531250,true
Troll,SAT-1,39966.562500,40392.890625,426.328125,true
Hartebeesthoek,SAT-2,41093.437500,41364.140625,270.703125,true
Cordoba,SAT-3,41504.062500,41727.890625,223.828125,true
Svalbard,SAT-4,42106.875000,42517.734375,410.859375,true
Svalbard,SAT-3,43354.687500,43761.562500,406.875000,true
Fairbanks,SAT-2,44446.640625,44861.953125,415.312500,true
Singapore,SAT-3,44841.328125,45017.109375,175.781250,false
Svalbard,SAT-2,45039.609375,45406.171875,366.562500,true
Troll,SAT-1,45669.843750,46055.625000,385.781250,true
Hartebeesthoek,SAT-2,46753.125000,46997.578125,244.453125,true
Troll,SAT-2,47413.125000,47723.906250,310.781250,true
Svalbard,SAT-4,47781.562500,48205.781250,424.218750,true
Svalbard,SAT-3,49034.765625,49454.296875,419.531250,true
Fairbanks,SAT-2,50148.984375,50512.031250,363.046875,true
Cordoba,SAT-1,50576.718750,50978.203125,401.484375,true
Svalbard,SAT-2,50717.343750,50939.062500,221.718750,true
Troll,SAT-1,51426.328125,51731.718750,305.390625,true
Singapore,SAT-1,52884.843750,53291.015625,406.171875,true
Troll,SAT-2,52986.093750,53406.562500,420.468750,true
Fairbanks,SAT-4,52995.703125,53205.234375,209.531250,true
Svalbard,SAT-4,53445.000000,53864.296875,419.296875,true
Svalbard,SAT-3,54701.484375,55126.875000,425.390625,true
Hartebeesthoek,SAT-4,55144.921875,55444.453125,299.531250,true
Troll,SAT-1,57171.796875,57451.406250,279.609375,true
Fairbanks,SAT-4,58512.421875,58929.843750,417.421875,true
Troll,SAT-2,58663.593750,59070.000000,406.406250,true
Svalbard,SAT-4,59105.859375,59471.250000,365.390625,true
Fairbanks,SAT-3,59793.515625,60178.593750,385.078125,true
Fairbanks,SAT-1,60224.531250,60544.687500,320.156250,true
Svalbard,SAT-3,60361.875000,60755.390625,393.515625,true
Hartebeesthoek,SAT-4,60842.343750,61043.671875,201.328125,true
Troll,SAT-4,61473.046875,61794.843750,321.796875,true
Hartebeesthoek,SAT-3,61996.640625,62397.421875,400.781250,true
Troll,SAT-3,62801.015625,63026.250000,225.234375,true
Troll,SAT-1,62865.000000,63211.171875,346.171875,true
Cordoba,SAT-2,63667.734375,63941.953125,274.218750,true
Fairbanks,SAT-4,64222.265625,64576.640625,354.375000,true
Troll,SAT-2,64408.828125,64738.828125,330.000000,true
Svalbard,SAT-4,64783.359375,65002.265625,218.906250,true
Fairbanks,SAT-3,65441.953125,65843.671875,401.718750,true
Fairbanks,SAT-1,65862.656250,66288.046875,425.390625,true
Singapore,SAT-2,65946.796875,66272.812500,326.015625,true
Svalbard,SAT-3,66028.359375,66319.687500,291.328125,true
Troll,SAT-4,67052.109375,67474.453125,422.343750,true
Troll,SAT-3,68325.000000,68728.125000,403.125000,true
Troll,SAT-1,68531.250000,68945.156250,413.906250,true
Cordoba,SAT-2,69301.875000,69602.109375,300.234375,true
Hartebeesthoek,SAT-1,69303.046875,69699.375000,396.328125,true
Troll,SAT-2,70165.781250,70441.171875,275.390625,true
Svalbard,SAT-1,70996.406250,71274.843750,278.437500,true
Fairbanks,SAT-3,71264.531250,71447.812500,183.281250,true
Fairbanks,SAT-1,71559.375000,71857.968750,298.593750,true
Troll,SAT-4,72733.828125,73136.718750,402.890625,true
Fairbanks,SAT-2,73262.343750,73495.078125,232.734375,true
Troll,SAT-3,73972.968750,74392.968750,420.000000,true
Troll,SAT-1,74196.328125,74603.671875,407.343750,true
Troll,SAT-2,75874.687500,76194.140625,319.453125,true
Svalbard,SAT-1,76556.250000,76943.906250,387.656250,true
Cordoba,SAT-4,77719.921875,78021.328125,301.406250,true
Troll,SAT-4,78481.875000,78805.078125,323.203125,true
Fairbanks,SAT-2,78880.078125,79294.453125,414.375000,true
Troll,SAT-3,79701.328125,80056.171875,354.843750,true
Troll,SAT-1,79891.875000,80145.234375,253.359375,true
Singapore,SAT-4,80003.906250,80348.906250,345.000000,true
Troll,SAT-2,81545.859375,81943.359375,397.500000,true
Svalbard,SAT-1,82182.421875,82605.468750,423.046875,true
Hartebeesthoek,SAT-2,82383.281250,82646.953125,263.671875,true
Cordoba,SAT-4,83383.359375,83656.406250,273.046875,true
Svalbard,SAT-2,84063.750000,84279.609375,215.859375,true
Troll,SAT-4,84238.593750,84508.828125,270.234375,true
Fairbanks,SAT-2,84552.187500,84925.781250,373.593750,true
Cordoba,SAT-3,84567.656250,84977.343750,409.687500,true
Troll,SAT-3,85463.906250,85742.343750,278.437500,true
