evaluations,elapsed_seconds,coverage,qd_score,best_quality,invalid_fraction,infeasible_fraction
248,0,0.3416666666666667,150.84615899475835,0.24934055158660778,0.024193548387096774,0.5685483870967742
312,0.01746089,0.3416666666666667,150.84615899475835,0.24934055158660778,0.10576923076923077,0.5641025641025641
888,0.173839994,0.3416666666666667,151.00569000880043,0.24799013267977416,0.06306306306306306,0.7792792792792793
1528,0.350738104,0.3416666666666667,151.45491758550727,0.24799013267977416,0.04908376963350786,0.8298429319371727
2168,0.530997003,0.3416666666666667,151.57911294136446,0.24799013267977416,0.04658671586715867,0.849169741697417
2808,0.701458549,0.3416666666666667,151.7589889404791,0.24799013267977416,0.046296296296296294,0.8547008547008547
3448,0.875007429,0.35,155.5211823185036,0.24799013267977416,0.04408352668213457,0.8616589327146171
4088,1.061214144,0.35,155.6725214955137,0.24799013267977416,0.04280821917808219,0.8659491193737769
4728,1.241198279,0.35,155.99268261071805,0.24799013267977416,0.04335871404399323,0.8678087986463621
5368,1.430154905,0.35,156.1856158649415,0.24799013267977416,0.043591654247391955,0.8705290611028316
6008,1.609448669,0.35,156.51552234477208,0.24799013267977416,0.044940079893475364,0.8708388814913449
6648,1.789183121,0.35,156.6253255926243,0.24799013267977416,0.04497593261131167,0.8709386281588448
7288,1.97159436,0.35,156.6253255926243,0.24799013267977416,0.04500548847420417,0.8739023051591658
7928,2.14785782,0.35,156.67617099267608,0.24799013267977416,0.046543895055499496,0.873234106962664
8568,2.319841975,0.35,156.76473389159497,0.24799013267977416,0.04586834733893557,0.8746498599439776
9208,2.497173996,0.35833333333333334,160.16705426170589,0.24799013267977416,0.04539530842745439,0.8761946133796699
9848,2.670654988,0.35833333333333334,160.20804950791356,0.24799013267977416,0.045897644191714056,0.8752030869212023
10488,2.843479499,0.35833333333333334,160.25704013372143,0.24785298137508446,0.04490846681922197,0.8774790236460717
11128,3.017654954,0.35833333333333334,160.3022410161065,0.24785298137508446,0.04565061107117182,0.8784148094895758
11768,3.193977337,0.35833333333333334,160.4385309573556,0.24785298137508446,0.044952413324269205,0.8795037389530931
12024,3.262534875,0.35833333333333334,160.4385309573556,0.24785298137508446,0.0448270126413839,0.8798236859614105
