experiment,scenario_mode,algorithm,seed,workers,evaluations,train_best,monitor_score
quality,fixed,biteopt,43,24,12352,1.001811280647,2.052836549752
quality,fixed,biteopt,43,24,14400,0.980759313616,2.186800927842
quality,fixed,biteopt,43,24,16448,0.865000510389,2.921536932430
quality,fixed,biteopt,43,24,18496,0.788192728755,2.804675642722
quality,fixed,biteopt,43,24,20480,0.778901205435,2.873049899636
quality,fixed,pgpe,44,24,64,1.522682961362,1.534998042217
quality,fixed,pgpe,44,24,2112,0.897896334831,1.253489671019
quality,fixed,pgpe,44,24,4160,0.410582422415,1.592347974355
quality,fixed,pgpe,44,24,6208,0.241393567799,0.912920577189
quality,fixed,pgpe,44,24,8256,0.193157889513,2.216171804899
quality,fixed,pgpe,44,24,10304,0.186559219819,0.395820964357
quality,fixed,pgpe,44,24,12352,0.186559219819,0.395820964357
quality,fixed,pgpe,44,24,14400,0.186559219819,0.395820964357
quality,fixed,pgpe,44,24,16448,0.182256400327,0.603247214745
quality,fixed,pgpe,44,24,18496,0.175052982216,0.389521182286
quality,fixed,pgpe,44,24,20480,0.174315302373,0.399587334992
quality,fixed,crfmnes,44,24,64,1.514663163843,1.530250278602
quality,fixed,crfmnes,44,24,2112,1.184695215200,1.284298784011
quality,fixed,crfmnes,44,24,4160,0.972326799944,1.214232830875
quality,fixed,crfmnes,44,24,6208,0.971708199807,1.256759722783
quality,fixed,crfmnes,44,24,8256,0.779710648107,1.260825532342
quality,fixed,crfmnes,44,24,10304,0.712132686343,1.173539234453
quality,fixed,crfmnes,44,24,12352,0.600057392019,1.196704382127
quality,fixed,crfmnes,44,24,14400,0.600057392019,1.196704382127
quality,fixed,crfmnes,44,24,16448,0.588337943373,1.176631264262
quality,fixed,crfmnes,44,24,18496,0.554012654467,1.196057002973
quality,fixed,crfmnes,44,24,20480,0.554012654467,1.196057002973
quality,fixed,cmaes,44,24,64,1.522682961362,1.534998042217
quality,fixed,cmaes,44,24,2112,1.175523789025,1.211450699505
quality,fixed,cmaes,44,24,4160,1.175523789025,1.211450699505
quality,fixed,cmaes,44,24,6208,1.161247947911,1.328148132534
quality,fixed,cmaes,44,24,8256,1.161247947911,1.328148132534
quality,fixed,cmaes,44,24,10304,1.161247947911,1.328148132534
quality,fixed,cmaes,44,24,12352,1.161247947911,1.328148132534
quality,fixed,cmaes,44,24,14400,1.161247947911,1.328148132534
quality,fixed,cmaes,44,24,16448,1.161247947911,1.328148132534
quality,fixed,cmaes,44,24,18496,1.161247947911,1.328148132534
quality,fixed,cmaes,44,24,20480,1.161247947911,1.328148132534
quality,fixed,biteopt,44,24,64,2.703847439735,3.213216150881
quality,fixed,biteopt,44,24,2112,0.945924900953,1.682455882312
