index,weight
0,-3.00000000000000000
1,-3.00000000000000000
2,3.00000000000000000
3,0.79292056247860543
4,-3.00000000000000000
5,-3.00000000000000000
6,-3.00000000000000000
7,-3.00000000000000000
8,-3.00000000000000000
9,-0.52974797686246489
10,-3.00000000000000000
11,-3.00000000000000000
12,3.00000000000000000
13,3.00000000000000000
14,-3.00000000000000000
15,3.00000000000000000
16,3.00000000000000000
17,3.00000000000000000
18,-1.17938436084122245
19,-3.00000000000000000
20,-3.00000000000000000
21,-0.13348843063478394
22,-3.00000000000000000
23,-3.00000000000000000
24,3.00000000000000000
25,-3.00000000000000000
26,3.00000000000000000
27,-2.21438669658364251
28,3.00000000000000000
29,-3.00000000000000000
30,0.23457289227052325
31,-3.00000000000000000
32,3.00000000000000000
33,-3.00000000000000000
34,3.00000000000000000
35,-3.00000000000000000
36,3.00000000000000000
37,3.00000000000000000
38,3.00000000000000000
39,-1.63165105124307663
40,3.00000000000000000
41,-3.00000000000000000
42,-2.60116544046791986
43,-3.00000000000000000
44,-3.00000000000000000
45,3.00000000000000000
46,-3.00000000000000000
47,-0.16909560330515763
48,-3.00000000000000000
49,3.00000000000000000
50,-2.83975557561324088
51,3.00000000000000000
52,-0.57650790264664331
53,-3.00000000000000000
54,-3.00000000000000000
55,3.00000000000000000
56,0.66211785775071852
57,3.00000000000000000
58,3.00000000000000000
59,-3.00000000000000000
60,3.00000000000000000
61,-3.00000000000000000
62,3.00000000000000000
63,-3.00000000000000000
64,3.00000000000000000
65,-3.00000000000000000
66,3.00000000000000000
67,3.00000000000000000
68,-3.00000000000000000
69,1.00281681536189482
70,-2.05107809336735469
71,-3.00000000000000000
72,-3.00000000000000000
73,-3.00000000000000000
74,-3.00000000000000000
75,3.00000000000000000
76,-3.00000000000000000
77,3.00000000000000000
78,3.00000000000000000
79,3.00000000000000000
80,3.00000000000000000
81,3.00000000000000000
82,-3.00000000000000000
83,3.00000000000000000
84,-3.00000000000000000
85,-3.00000000000000000
86,3.00000000000000000
87,1.50289579743474522
88,1.32536269690740705
89,-3.00000000000000000
90,-3.00000000000000000
91,3.00000000000000000
92,-3.00000000000000000
93,3.00000000000000000
94,-3.00000000000000000
95,-3.00000000000000000
96,3.00000000000000000
97,3.00000000000000000
98,3.00000000000000000
99,3.00000000000000000
100,-3.00000000000000000
101,3.00000000000000000
102,-1.21653808506004624
103,-3.00000000000000000
104,2.31612337383021138
105,3.00000000000000000
106,-3.00000000000000000
107,-3.00000000000000000
108,3.00000000000000000
109,-3.00000000000000000
110,3.00000000000000000
111,-3.00000000000000000
112,-1.19119210053615143
113,-3.00000000000000000
114,-3.00000000000000000
115,3.00000000000000000
116,-3.00000000000000000
117,3.00000000000000000
