baseline,validation_score,mean_loss,cvar_loss,success_rate,mean_steps,rms_force
zero-action,1.954451982991,1.446964610813,1.449963920507,0.000000000000,300.000000,0.000000000000
initial-neural,3.975643710220,2.910469338770,3.043355347000,0.000000000000,154.585938,0.563609886733
hand-energy-heuristic,2.134370866484,1.466648555797,1.907778030536,0.007812500000,289.992188,6.650478211257
