step,time,position,velocity,angle,angular_velocity,force
0,0.000000,0.028772373646,-0.011730515192,2.991762691869,-0.142694343189,5.760150490138
1,0.020000,0.028537763342,0.112203517574,2.988908805005,0.042046453385,2.713787997361
2,0.040000,0.030781833694,0.179948695605,2.989749734073,0.159823916085,-0.250414854952
3,0.060000,0.034380807606,0.172714068505,2.992946212394,0.187232067292,1.454437726913
4,0.080000,0.037835088976,0.209880070425,2.996690853740,0.267309895502,2.583264056436
5,0.100000,0.042032690384,0.267191857539,3.002037051650,0.370783505806,3.015519402505
6,0.120000,0.047376527535,0.331073366347,3.009452721766,0.480962523470,7.739925739510
7,0.140000,0.053997994862,0.495933068265,3.019071972236,0.711258948166,9.092545282623
8,0.160000,0.063916656227,0.691711116287,3.033297151199,0.976860295833,9.838750266899
9,0.180000,0.077750878553,0.905446617318,3.052834357116,1.261200152568,9.930782089474
10,0.200000,0.095859810900,1.120710695363,3.078058360167,1.543251033973,9.993394671440
11,0.220000,0.118274024807,1.338248754573,3.108923380847,1.822561769892,9.998153190420
12,0.240000,0.145038999898,1.548711986547,-3.137810690935,2.086302229746,9.999666136445
13,0.260000,0.176013239629,1.764911452204,-3.096084646340,2.348456542782,9.999975493176
14,0.280000,0.211311468673,1.977867502356,-3.049115515485,2.596440777885,9.999996176009
15,0.300000,0.250868818720,2.185179814332,-2.997186699927,2.825563468554,9.999993485362
16,0.320000,0.294572415007,2.387604769176,-2.940675430556,3.034945290693,9.999990633409
17,0.340000,0.342324510391,2.597929543295,-2.879976524742,3.238066539429,9.999957213197
18,0.360000,0.394283101256,2.805804772336,-2.815215193953,3.420646443385,9.999835891217
19,0.380000,0.450399196703,2.995149463890,-2.746802265086,3.562329699072,9.998695285164
20,0.400000,0.510302185981,3.182184850498,-2.675555671104,3.680580865259,9.991122961364
21,0.420000,0.573945882991,3.377773404600,-2.601944053799,3.785911649494,8.426053539665
22,0.440000,0.641501351083,3.531131021117,-2.526225820809,3.823325888080,-8.972409526270
23,0.460000,0.712123971505,3.332334081774,-2.449759303048,3.488006285357,-8.384361849148
24,0.480000,0.778770653141,3.143586618805,-2.379999177340,3.158857992204,-9.083198305267
25,0.500000,0.841642385517,2.940753381389,-2.316822017496,2.815504489287,-9.773021442523
26,0.520000,0.900457453145,2.730789529088,-2.260511927711,2.466791564950,-9.890411931408
27,0.540000,0.955073243726,2.511597644622,-2.211176096412,2.112926782341,-9.944194543087
28,0.560000,1.005305196619,2.307852074986,-2.168917560765,1.773377000523,-9.934469520557
29,0.580000,1.051462238119,2.098148112365,-2.133450020754,1.432420148866,-9.956867874367
30,0.600000,1.093425200366,1.885746854133,-2.104801617777,1.092637461841,-9.744979344277
31,0.620000,1.131140137448,1.682588720578,-2.082948868540,0.761332421792,-9.432330377000
32,0.640000,1.164791911860,1.494288030428,-2.067722220104,0.440959849106,-8.051569473078
33,0.660000,1.194677672469,1.324676974875,-2.058903023122,0.132724998363,3.562860410058
34,0.680000,1.221171211966,1.393874997762,-2.056248523155,-0.038637939620,-7.370129971518
35,0.700000,1.249048711921,1.239333194515,-2.057021281947,-0.337521374047,-6.588633995634
36,0.720000,1.273835375812,1.108343152362,-2.063771709428,-0.623056251008,0.507199638428
37,0.740000,1.296002238859,1.111108695801,-2.076232834448,-0.831763347627,-6.943904641165
38,0.760000,1.318224412775,0.964596172331,-2.092868101401,-1.126954275584,0.770133537476
39,0.780000,1.337516336222,0.970218903301,-2.115407186913,-1.330466424513,-6.209664730646
40,0.800000,1.356920714288,0.834380227333,-2.142016515403,-1.620284179608,6.065084988676
41,0.820000,1.373608318834,0.949132370637,-2.174422198995,-1.745620672146,-7.922621459564
42,0.840000,1.392590966247,0.775366376942,-2.209334612438,-2.062172151064,-4.204626790554
43,0.860000,1.408098293786,0.674481139347,-2.250578055459,-2.327023064820,4.366190637720
44,0.880000,1.421587916573,0.743334382390,-2.297118516756,-2.460017794682,-5.675491068445
45,0.900000,1.436454604221,0.608038210500,-2.346318872649,-2.747822297784,3.324058673221
46,0.920000,1.448615368431,0.662893620533,-2.401275318605,-2.871557649169,-9.232782182549
47,0.940000,1.461873240841,0.467674753910,-2.458706471588,-3.207941244305,-9.586085962950
48,0.960000,1.471226735919,0.256805378190,-2.522865296474,-3.557623127485,-9.583484769437
49,0.980000,1.476362843483,0.038587536307,-2.594017759024,-3.912376282170,-9.954096070149
50,1.000000,1.477134594209,-0.189346361196,-2.672265284668,-4.273448077603,-9.950626682612
51,1.020000,1.473347666985,-0.419576040977,-2.757734246220,-4.631260576215,-9.973943883485
52,1.040000,1.464956146166,-0.642033521215,-2.850359457744,-4.971638833357,-9.980463080761
53,1.060000,1.452115475742,-0.859789466048,-2.949792234411,-5.293980628283,-9.992781095085
54,1.080000,1.434919686421,-1.079733934707,-3.055671846977,-5.602196307696,-9.922349873441
55,1.100000,1.413325007726,-1.286730379362,3.115469534049,-5.873614749540,-9.988448601136
56,1.120000,1.387590400139,-1.490539047293,2.997997239058,-6.115277244725,-9.998977237006
57,1.140000,1.357779619193,-1.698077187076,2.875691694164,-6.331036605146,-9.999942563412
58,1.160000,1.323818075452,-1.890356672544,2.749070962061,-6.494037328763,-9.998875335582
59,1.180000,1.286010942001,-2.073913476242,2.619190215485,-6.609076055040,-9.998944348765
60,1.200000,1.244532672476,-2.234195862914,2.487008694385,-6.658971908043,-9.987592638125
61,1.220000,1.199848755218,-2.396246244708,2.353829256224,-6.670047279201,-9.825898128819
62,1.240000,1.151923830324,-2.544031301130,2.220428310640,-6.627692789933,-4.331038898731
63,1.260000,1.101043204301,-2.575618818374,2.087874454841,-6.460843047101,3.583558608935
64,1.280000,1.049530827934,-2.447321382112,1.958657593899,-6.176158072227,8.946759484871
65,1.300000,1.000584400291,-2.220448571103,1.835134432455,-5.850762591898,9.433015972580
66,1.320000,0.956175428869,-1.981528121367,1.718119180617,-5.544377181376,9.922404366012
67,1.340000,0.916544866442,-1.750995209291,1.607231636989,-5.267063684635,9.997877268368
68,1.360000,0.881524962256,-1.516514351778,1.501890363296,-5.018104484636,9.999592516579
69,1.380000,0.851194675221,-1.298537026629,1.401528273604,-4.798207087962,9.995785691716
70,1.400000,0.825223934688,-1.082365122226,1.305564131844,-4.607203534667,9.970731019187
71,1.420000,0.803576632244,-0.869028675088,1.213420061151,-4.444869893304,9.634138140652
72,1.440000,0.786196058742,-0.665695288223,1.124522663285,-4.307774553708,3.411768624048
73,1.460000,0.772882152977,-0.575288409686,1.038367172211,-4.139907617216,3.821758190344
74,1.480000,0.761376384784,-0.483958700166,0.955569019867,-3.990637891645,6.727365743546
75,1.500000,0.751697210780,-0.333486332589,0.875756262034,-3.901352164267,8.128480872175
76,1.520000,0.745027484129,-0.160021649836,0.797729218748,-3.853172200986,6.308030623820
77,1.540000,0.741827051132,-0.029393946901,0.720665774729,-3.793292963639,6.001818553202
78,1.560000,0.741239172194,0.093199157110,0.644799915456,-3.747839011521,1.346790995151
79,1.580000,0.743103155336,0.127091015562,0.569843135225,-3.637314143177,-0.308071997339
80,1.600000,0.745644975647,0.118000570831,0.497096852362,-3.499209120483,-2.033956110798
81,1.620000,0.748004987064,0.079201144326,0.427112669952,-3.343871782529,-1.540225078983
82,1.640000,0.749589009950,0.046645061712,0.360235234302,-3.208927497797,-5.028544844003
83,1.660000,0.750521911185,-0.063858765817,0.296056684346,-2.998953765736,-8.125355446740
84,1.680000,0.749244735868,-0.233236373554,0.236077609031,-2.732182738820,-9.670487023864
85,1.700000,0.744580008397,-0.434889207015,0.181433954255,-2.437793217945,-9.869314697966
86,1.720000,0.735882224257,-0.644269818152,0.132678089896,-2.144137090871,-9.934071935096
87,1.740000,0.722996827894,-0.846623960872,0.089795348078,-1.868507453778,-9.987614189482
88,1.760000,0.706064348676,-1.051296416942,0.052425199003,-1.599069559306,-9.993269441747
89,1.780000,0.685038420338,-1.252929296419,0.020443807817,-1.341561897854,-9.997516217778
90,1.800000,0.659979834409,-1.454906554589,-0.006387430141,-1.090978868782,-9.995064975418
91,1.820000,0.630881703317,-1.657920930174,-0.028207007516,-0.845492552233,-9.991046359090
92,1.840000,0.597723284714,-1.866129338402,-0.045116858561,-0.598990164830,-9.981106027577
93,1.860000,0.560400697946,-2.074854113270,-0.057096661857,-0.356051190531,-9.966780304280
94,1.880000,0.518903615680,-2.276059361281,-0.064217685668,-0.125258179642,-9.920710053891
95,1.900000,0.473382428455,-2.486807030439,-0.066722849261,0.115319050554,-8.803651259879
96,1.920000,0.423646287846,-2.669057182057,-0.064416468250,0.320660509273,8.341355306733
97,1.940000,0.370265144205,-2.488649060725,-0.058003258064,0.086238402887,-4.964504440340
98,1.960000,0.320492162990,-2.592175309892,-0.056278490007,0.198152279177,7.927538243234
99,1.980000,0.268648656793,-2.421934127746,-0.052315444423,-0.022087408628,-3.372636795932
100,2.000000,0.220209974238,-2.494238927103,-0.052757192596,0.053285236879,5.043427606884
101,2.020000,0.170325195696,-2.386514625004,-0.051691487858,-0.090193725530,-2.111096490198
102,2.040000,0.122594903196,-2.421860964198,-0.053495362369,-0.059578331539,1.792156930803
103,2.060000,0.074157683912,-2.381235125048,-0.054686928999,-0.121703378314,5.198829910880
104,2.080000,0.026532981411,-2.277667447095,-0.057120996566,-0.260578790648,-6.290397771868
105,2.100000,-0.019020367531,-2.414229000136,-0.062332572379,-0.108318356629,7.715269240826
106,2.120000,-0.067304947534,-2.251387137859,-0.064498939511,-0.320940852114,0.887360322703
107,2.140000,-0.112332690291,-2.222770139347,-0.070917756554,-0.371074789602,4.806811128427
108,2.160000,-0.156788093078,-2.119477667531,-0.078339252346,-0.513354843622,-7.358075512851
109,2.180000,-0.199177646429,-2.268201706754,-0.088606349218,-0.351633405035,7.730309668059
110,2.200000,-0.244541680564,-2.102191846722,-0.095639017319,-0.573957091078,-5.784039675851
111,2.220000,-0.286585517498,-2.223203157493,-0.107118159140,-0.450187001000,8.940547977279
112,2.240000,-0.331049580648,-2.036998426818,-0.116121899160,-0.700974484393,-2.593377869339
113,2.260000,-0.371789549185,-2.089897819872,-0.130141388848,-0.664701948506,2.171377665595
114,2.280000,-0.413587505582,-2.045559386651,-0.143435427818,-0.749174543185,1.478618568144
115,2.300000,-0.454498693315,-2.005048202681,-0.158418918682,-0.832084335572,-2.530513898255
116,2.320000,-0.494599657369,-2.060304936853,-0.175060605393,-0.803353570562,5.514744244876
117,2.340000,-0.535805756106,-1.947774347773,-0.191127676805,-0.979759787734,2.123215739266
118,2.360000,-0.574761243061,-1.892646798079,-0.210722872559,-1.090964040732,5.672995994485
119,2.380000,-0.612614179023,-1.766436759315,-0.232542153374,-1.291065592756,-5.613253354649
120,2.400000,-0.647942914209,-1.880244915671,-0.258363465229,-1.211332248846,9.757099241492
121,2.420000,-0.685547812522,-1.671454963206,-0.282590110206,-1.517937845867,-7.988733955575
122,2.440000,-0.718976911787,-1.841239007128,-0.312948867123,-1.386115231654,9.926583281065
123,2.460000,-0.755801691929,-1.627081128664,-0.340671171756,-1.707529192977,6.485474545758
124,2.480000,-0.788343314502,-1.487344548043,-0.374821755616,-1.947544155416,1.543138208073
125,2.500000,-0.818090205463,-1.446120207887,-0.413772638724,-2.081619889648,7.883151702019
126,2.520000,-0.847012609621,-1.286057385316,-0.455405036517,-2.355923054290,0.454122110134
127,2.540000,-0.872733757327,-1.275419222702,-0.502523497603,-2.472545171433,9.598794074205
128,2.560000,-0.898242141781,-1.072917986043,-0.551974401032,-2.803454657537,9.149574880951
129,2.580000,-0.919700501502,-0.883000354519,-0.608043494182,-3.125397877373,5.426334652946
130,2.600000,-0.937360508593,-0.765988315532,-0.670551451730,-3.378627989727,8.158429054174
131,2.620000,-0.952680274903,-0.606939245309,-0.738124011524,-3.678596172400,9.202319547857
132,2.640000,-0.964819059809,-0.431173083909,-0.811695934972,-3.997435152152,9.453241552888
133,2.660000,-0.973442521488,-0.240857392170,-0.891644638015,-4.329998539844,9.840784929792
134,2.680000,-0.978259669331,-0.064519309590,-0.978244608812,-4.650522741009,9.958538894977
135,2.700000,-0.979550055523,0.120298515061,-1.071255063633,-4.974137827368,9.829161768679
136,2.720000,-0.977144085222,0.288874502979,-1.170737820180,-5.281945152881,9.536499592000
137,2.740000,-0.971366595162,0.444397244316,-1.276376723238,-5.575520115096,9.745006833407
138,2.760000,-0.962478650276,0.592935878547,-1.387887125539,-5.856418784121,7.852395824889
139,2.780000,-0.950619932705,0.709637844949,-1.505015501222,-6.116989223348,5.569277804342
140,2.800000,-0.936427175806,0.772584359573,-1.627355285689,-6.360232258970,-1.191697594336
141,2.820000,-0.920975488614,0.693335764508,-1.754559930868,-6.604026171874,-5.959341057760
