niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_centroid_x_train,descriptor_centroid_y_train,descriptor_centroid_x_validation,descriptor_centroid_y_validation,visit_count,decision_source_1_x_m,decision_source_1_y_m,decision_source_1_log10_emission_g_s,decision_source_1_height_m,decision_source_2_x_m,decision_source_2_y_m,decision_source_2_log10_emission_g_s,decision_source_2_height_m,decision_wind_direction_bias_deg,decision_wind_speed_scale,decision_lateral_dispersion_scale,decision_vertical_dispersion_scale
37,7,3,0.905532300787592,1.16116821816166,856.2676011335167,-362.6886242107795,856.2676011335167,-362.6886242107795,17,-780.9945091572466,533.2943829459166,-0.44723541315692145,80.96010056394974,1307.4497716085125,-609.595674301788,0.1125308691434987,91.30353761008895,-1.0163203979342934,1.1125203066100344,0.8470190499646122,0.9962029889109777
55,5,5,0.9306665735188415,1.207722686385907,165.82945929178732,60.378813411191985,165.82945929178732,60.378813411191985,13,-857.9935827792505,68.62306085470473,-0.1691783450007524,59.70397419079869,868.126142035253,54.723629464967054,-0.005474062540273945,57.75980992256355,-6.268917398440549,1.0585545917415722,1.1394799047886823,1.0128951873672611
44,4,4,0.9529900847845009,1.471710509599447,-40.082794818683055,-155.3675383958288,-40.082794818683055,-155.3675383958288,20,-989.929638936919,-79.10178816375465,-0.08494659363218843,58.597640641759526,660.6861283463209,-211.63415442497993,0.047132156449769355,54.768939695963645,-7.404889229061838,1.0862077171219648,1.162533937686964,1.0153144203604396
62,2,6,0.9639010529899941,1.1750256186935948,-915.7073427178786,663.443297051416,-915.7073427178786,663.443297051416,16,-985.9057325722881,707.8398789210282,0.5948243420351729,55.06643328476164,718.565419672865,-370.14343682151673,-0.7721730497623293,68.69792138457062,-1.2724258805138602,0.9065683903254278,0.8288566292366797,0.7440123487222778
35,5,3,1.026178543454205,1.235958723650397,259.0069799553069,-383.07309613801016,259.0069799553069,-383.07309613801016,14,-1062.3809452260593,192.29959021027054,-0.4410865150946428,70.14594359633345,719.7108117897749,-583.677624363256,0.016521994374381007,57.8319931082961,-4.165881061612246,0.9664402612533585,1.2854152312277567,1.1214505743096468
56,6,5,1.0960473366070995,1.1371311175181358,557.7722432205576,98.68101198164773,557.7722432205576,98.68101198164773,8,-922.8615359996554,92.46286665426379,-0.1545470871987446,54.549451844245475,1436.74940257223,102.37240940416115,0.07192297609946187,75.09473341773361,-4.676812072545956,0.8951479467547272,1.0794296373953791,1.1027849624709591
57,7,5,1.1178435830362956,1.0128670428611286,785.0638820364862,200.07604096723855,785.0638820364862,200.07604096723855,12,-900.9177575164626,509.0994951310851,-0.2773973446071515,56.577999179030485,1444.8408422415037,79.14556910614554,0.13005835055450227,63.24180477874661,-4.424588211665512,0.9463255521544821,1.0961475831342147,1.0678164879769045
45,5,4,1.1279122688923406,1.5527025988990422,211.95851614420505,-198.24979730455402,211.95851614420505,-198.24979730455402,14,-1022.9819945740081,-238.2402722867045,-0.3386190347085297,55.26936499718623,794.9318799263237,-179.37165579308123,-0.012621709521521729,45.775825827373694,-8.788445545587187,0.9190758217729754,1.1829853166505144,1.0817289975643192
54,4,5,1.135384512040901,1.3166049137680123,-73.11897345752298,128.98100503081423,-73.11897345752298,128.98100503081423,14,-962.184459918887,98.80140852878807,-0.20256806421766327,64.07291431811903,644.6515943597885,153.34594377562513,-0.1096199590814661,52.72244351504079,-7.0636822480705135,0.9328704814151539,1.1659292908583032,1.1044094469841421
42,2,4,1.1939550985303207,1.3757088727547175,-720.9186912711355,-71.87629080525426,-720.9186912711355,-71.87629080525426,10,-998.0416463320968,101.83074732781566,0.020499925964783113,100.88523715526824,1035.4626160109826,-1172.816466090089,-0.7814463790078765,99.8938504552485,-9.292076230215052,1.2,0.922007395944578,1.0727826889932723
