accepted,proposal,best_validation_score,motif_classes_found,exact_references_found
1,1,3.184876920863,0,0
2,2,3.111656050710,0,0
3,3,0.909328727450,1,0
4,4,0.909328727450,2,0
5,5,0.909328727450,2,0
6,6,0.909328727450,2,0
7,7,0.909328727450,3,0
8,8,0.909328727450,3,0
9,9,0.909328727450,3,0
10,10,0.909328727450,3,0
11,11,0.673686073880,4,0
12,12,0.673686073880,4,0
13,13,0.673686073880,4,0
14,14,0.673686073880,4,0
15,16,0.673686073880,5,0
16,17,0.673686073880,5,0
17,18,0.673686073880,5,0
18,19,0.673686073880,5,0
19,20,0.673686073880,5,0
20,21,0.673686073880,5,0
21,22,0.673686073880,5,0
22,23,0.673686073880,5,0
23,24,0.673686073880,5,0
24,25,0.673686073880,5,0
25,26,0.673686073880,5,0
26,27,0.673686073880,5,0
27,28,0.673686073880,5,0
28,29,0.673686073880,5,0
29,30,0.673686073880,5,0
30,31,0.673686073880,5,0
31,32,0.673686073880,5,0
32,33,0.673686073880,5,0
33,34,0.673686073880,5,0
34,35,0.673686073880,5,0
35,36,0.673686073880,5,0
36,37,0.673686073880,5,0
37,38,0.673686073880,5,0
38,39,0.673686073880,5,0
39,40,0.673686073880,5,0
40,41,0.673686073880,5,0
41,42,0.673686073880,5,0
42,43,0.673686073880,5,0
43,44,0.673686073880,5,0
44,45,0.673686073880,5,0
45,47,0.673686073880,5,0
46,48,0.673686073880,5,0
47,49,0.673686073880,5,0
48,50,0.673686073880,5,0
49,51,0.673686073880,5,0
50,52,0.673686073880,5,0
51,53,0.673686073880,5,0
52,54,0.673686073880,5,0
53,55,0.673686073880,5,0
54,56,0.673686073880,5,0
55,57,0.673686073880,5,0
56,58,0.673686073880,5,0
57,59,0.673686073880,5,0
58,60,0.673686073880,5,0
59,61,0.673686073880,5,0
60,62,0.673686073880,5,0
61,63,0.673686073880,5,0
62,64,0.673686073880,5,0
63,65,0.673686073880,5,0
64,66,0.673686073880,5,0
65,67,0.673686073880,5,0
66,68,0.673686073880,5,0
67,69,0.673686073880,5,0
68,70,0.673686073880,5,0
69,71,0.673686073880,5,0
70,72,0.673686073880,5,0
71,73,0.673686073880,5,0
72,74,0.673686073880,5,0
73,75,0.673686073880,5,0
74,76,0.673686073880,5,0
75,77,0.673686073880,5,0
76,78,0.673686073880,5,0
77,79,0.673686073880,5,0
78,80,0.673686073880,5,0
79,81,0.673686073880,5,0
80,82,0.673686073880,5,0
81,83,0.673686073880,5,0
82,84,0.673686073880,5,0
83,85,0.613988432003,5,0
84,86,0.613988432003,5,0
85,87,0.613988432003,5,0
86,88,0.613988432003,5,0
87,89,0.613988432003,5,0
88,90,0.613988432003,5,0
89,91,0.613988432003,5,0
90,92,0.613988432003,5,0
91,93,0.613988432003,5,0
92,94,0.613988432003,5,0
93,95,0.613988432003,5,0
94,96,0.613988432003,5,0
95,97,0.613988432003,5,0
96,98,0.613988432003,5,0
97,99,0.613988432003,5,0
98,100,0.613988432003,5,0
99,101,0.613988432003,5,0
100,102,0.613988432003,5,0
101,103,0.613988432003,5,0
102,104,0.613988432003,5,0
103,105,0.613988432003,5,0
104,106,0.613988432003,5,0
105,107,0.613988432003,5,0
106,108,0.613988432003,5,0
107,109,0.613988432003,5,0
108,110,0.613988432003,5,0
109,111,0.613988432003,5,0
110,112,0.613988432003,5,0
111,113,0.613988432003,5,0
112,114,0.613988432003,5,0
113,115,0.613988432003,5,0
114,116,0.613988432003,5,0
115,117,0.613988432003,5,0
116,118,0.613988432003,5,0
117,119,0.613988432003,5,0
118,121,0.613988432003,5,0
119,122,0.613988432003,5,0
120,123,0.613988432003,5,0
121,125,0.613988432003,5,0
122,126,0.613988432003,5,0
123,127,0.613988432003,5,0
124,128,0.613988432003,5,0
125,129,0.613988432003,5,0
126,130,0.613988432003,5,0
127,131,0.613988432003,5,0
128,132,0.613988432003,5,0
129,133,0.613988432003,5,0
130,135,0.613988432003,5,0
131,136,0.613988432003,5,0
132,137,0.613988432003,5,0
133,138,0.613988432003,5,0
134,140,0.613988432003,5,0
135,141,0.613988432003,5,0
136,142,0.613988432003,5,0
137,143,0.613988432003,5,0
138,144,0.613988432003,5,0
139,145,0.613988432003,5,0
140,146,0.613988432003,5,0
141,147,0.613988432003,5,0
142,148,0.613988432003,5,0
143,149,0.613988432003,5,0
144,150,0.613988432003,5,0
145,151,0.613988432003,5,0
146,152,0.613988432003,5,0
147,153,0.613988432003,5,0
148,154,0.613988432003,5,0
149,155,0.613988432003,5,0
150,156,0.613988432003,5,0
151,157,0.613988432003,5,0
152,158,0.613988432003,5,0
153,159,0.613988432003,5,0
154,160,0.613988432003,5,0
155,161,0.613988432003,5,0
156,162,0.613988432003,5,0
157,163,0.613988432003,5,0
158,164,0.613988432003,5,0
159,166,0.613988432003,5,0
160,167,0.613988432003,5,0
161,171,0.613988432003,5,0
162,172,0.613988432003,5,0
