seed,sample,peak_deg,hpbw_deg,holdout_peak_deg,holdout_hpbw_deg,taper_efficiency,holdout_taper_efficiency,active_count,worst_psll_db,holdout_worst_psll_db
42,14,-2.061985783053956,9.008803669548922,-1.8515285207643837,9.018939392329083,0.7540701019803822,0.7540701019803822,16,-10.966234592037218,-11.067714581244434
42,17,5.148421587255396,7.729442440792813,5.301935008379753,7.73649578658817,0.8895318936525881,0.8895318936525879,16,-10.921673166043714,-10.92171068661083
42,19,14.428319725467764,9.308842596535865,14.646285591542497,9.323198873649286,0.7528016543879845,0.7528016543879846,16,-10.875468584850909,-11.078718960500186
42,22,22.95650008831785,8.933998879154132,23.13589161420261,8.943750552295455,0.8318867838326024,0.8318867838326024,16,-11.332987921993222,-11.766951971467945
42,36,-33.53684103451726,9.413616032494314,-33.30687067808317,9.382602557403874,0.8694508655769599,0.8694508655769599,15,-10.352899678613374,-10.329490169061222
42,38,-26.372767442066515,9.990775995559861,-26.15362668037625,9.969992481722414,0.7595517582505917,0.7595517582505917,16,-10.287831395650215,-10.287857565864524
42,39,-24.60793557858603,7.751970994774432,-24.467943638149496,7.730171400241495,0.9601762750953122,0.9601762750953122,16,-10.054015678359827,-10.053997639536973
42,41,-17.26242545687142,8.121284645154915,-17.087353500083733,8.136076251087072,0.8847508895291709,0.8847508895291709,16,-11.113830117792755,-11.113858659241673
42,44,-5.558499556966721,7.47826548290352,-5.412129716138328,7.468277531751005,0.9162057749072259,0.9162057749072261,16,-11.117428986272726,-11.099380452040021
42,46,-0.7204142680146876,8.866876514565249,-0.5154332512759312,8.856892448386382,0.768541081562424,0.768541081562424,16,-11.037205797630424,-11.12645705676934
42,49,10.381005134658864,7.879802833096705,10.529173541147436,7.889420816431845,0.8823155068519253,0.8823155068519253,16,-11.38752316361306,-11.38752498911323
42,52,19.13539409353921,7.626372457324361,19.28760479733028,7.63306151759199,0.9443423027127998,0.9443423027127998,16,-10.043804079966602,-10.043804079966602
42,54,25.862791792580854,10.00992750601753,26.07760813486423,10.052180933335695,0.7625664512742127,0.7625664512742127,14,-10.303648386649328,-10.446306363497664
42,57,36.0010167334209,10.360559964993481,36.19563333941138,10.403715746971926,0.8195729595349559,0.8195729595349559,15,-10.959644892205427,-10.767040831633224
42,67,-33.79106458964164,10.894679462017123,-33.54197121546929,10.868775971366556,0.7496136345369223,0.7496136345369224,16,-10.013792778303149,0
42,68,-28.520224754404506,8.170713977483256,-28.357418703692883,8.163629067203551,0.9460351615566495,0.9460351615566495,16,-10.074653488500708,-10.074667393042372
42,71,-20.68407129628233,7.497986861915486,-20.557237554853625,7.485738427724009,0.9605037730291703,0.9605037730291703,16,-10.336853959529526,-10.336802133770174
42,73,-12.078552025578325,8.091284335251133,-11.922850648919336,8.10656387418939,0.8649467297258346,0.8649467297258345,16,-10.915192985659743,-11.927858454967705
42,76,-1.896905307134686,7.216381237071663,-1.7577532154401263,7.2136744368848245,0.9406383853393716,0.9406383853393716,16,-10.838325540484707,-10.838252801697488
42,78,3.492367606596874,9.261545410648338,3.6692450853826712,9.27055733748603,0.7402991778903302,0.7402991778903302,15,-10.890744047884036,-10.807014603782427
42,81,13.513053772002008,7.7921467674118325,13.661993684928046,7.786993234431572,0.9015104112988054,0.9015104112988054,16,-11.258730966557756,-11.258760175095244
42,83,21.536327745433045,9.690485495955787,21.763564546314925,9.745652945104698,0.7560251189871188,0.7560251189871187,16,-10.222376591960018,-10.702184191427238
