time_s,torso_x_m,torso_y_m,torso_z_m,front_left,front_right,rear_left,rear_right
0.004166666666666667,0.000015063430211090308,0.7203166185121619,-0.000015320217177361997,1,1,1,1
0.020833333333333332,0.000454823954785149,0.7282382485775226,-0.00025204220776522593,1,1,1,1
0.0375,0.0009458762530704404,0.7349340882003758,-0.0004368191883494361,1,1,1,1
0.05416666666666667,0.0013997124675194635,0.7395729086555459,-0.001187288463691835,1,1,1,1
0.07083333333333333,0.0018831793951477143,0.742453500539252,-0.001901979650415633,1,1,1,1
0.0875,0.002467894546704523,0.7443924811566445,-0.0019076314762317885,1,1,1,1
0.10416666666666667,0.003118699268634685,0.7448718222574723,-0.0012829297737875754,1,1,1,1
0.12083333333333333,0.003955504278703636,0.7445912008502852,-0.0006102992494546113,1,1,1,1
0.1375,0.005021516161359348,0.7442795798825541,-0.0006420424913760953,1,1,1,1
0.15416666666666667,0.0063655212902000435,0.7440283659271562,-0.0010737919835308674,1,1,1,1
0.17083333333333334,0.007922845528873165,0.742870639535159,-0.001766465675884617,1,1,1,1
0.1875,0.009820618137227486,0.7413928019923333,-0.0024828137176326802,1,1,1,1
0.2041666666666667,0.01212457667424582,0.7394399802863613,-0.0031308265541171157,1,1,1,1
0.22083333333333335,0.01487218439317067,0.7371261146630426,-0.0035600994389724688,1,1,1,1
0.23750000000000002,0.01808811030203311,0.734399695130003,-0.004101849213712097,1,1,1,1
0.25416666666666665,0.021813509443412742,0.7312641723937097,-0.0048771469592196175,1,1,1,1
0.2708333333333333,0.02613580010504173,0.7277570296072021,-0.005793372733280232,1,1,1,1
0.2875,0.03117554135671284,0.7237755533887004,-0.006584791667037142,1,1,1,1
0.30416666666666664,0.0371524668306422,0.7194150727387965,-0.007288971887694755,1,1,1,1
0.3208333333333333,0.04356773544003293,0.7133613414606294,-0.007982540738637856,1,1,1,1
0.33749999999999997,0.05071540781106785,0.7060348186190735,-0.00839495759357787,1,1,1,1
0.35416666666666663,0.05824391560513061,0.6967033033458133,-0.008722692581810772,1,1,1,1
0.3708333333333333,0.06588133569999413,0.6848886993701838,-0.009199052167022922,1,1,1,1
0.38749999999999996,0.07367474663799542,0.6706739999607106,-0.009400320208836875,1,1,1,1
0.4041666666666667,0.08228006719250802,0.6549242140215494,-0.00907979050174233,1,1,1,1
0.42083333333333334,0.0908227869056017,0.6365365696890983,-0.008761849952225832,1,1,1,1
0.4375,0.09901873803386868,0.6152487815357954,-0.00836802606545179,1,1,1,1
0.45416666666666666,0.10976715803184905,0.6028406313412333,-0.006350413405945487,1,1,1,1
0.4708333333333333,0.12202215917192945,0.6021085428818138,-0.003104195769152096,1,1,1,1
0.4875,0.1341545808622918,0.6020551761497285,0.0008341662151283189,1,1,1,1
0.5041666666666667,0.144947842244529,0.6040488876968064,0.005388252487929368,1,1,1,1
0.5208333333333333,0.15370921769023863,0.6083874342123885,0.010590784347965012,1,1,1,1
0.5375,0.16148478622786092,0.6122513812042664,0.015498276170869034,1,1,1,1
0.5541666666666667,0.1686911667840033,0.6159054587194707,0.02036520097460607,1,1,1,1
0.5708333333333333,0.1750398088710894,0.6190177574462259,0.02489664051706731,1,1,1,1
0.5875,0.18124154209155613,0.6220144371227171,0.02923720434285324,1,1,1,1
0.6041666666666666,0.18696185730173023,0.6244025148896116,0.03325993269697237,1,1,1,1
0.6208333333333333,0.19233888832352738,0.6270051626244182,0.036687146787790476,1,1,1,1
0.6375,0.19726012265043222,0.6295005350574725,0.03928213502080823,1,1,1,1
0.6541666666666667,0.20180353531792397,0.6315571995049802,0.04128542917746127,1,1,1,1
0.6708333333333333,0.2061771938937594,0.633134844690243,0.04329653838855611,1,1,1,1
0.6875,0.21031782831533427,0.6341130507460996,0.04585293834859486,1,1,1,1
0.7041666666666666,0.21414089811984746,0.6350296745518882,0.048768343457552855,1,1,1,1
0.7208333333333333,0.21760019507341868,0.6357624307374236,0.05126364608348191,1,1,1,1
0.7374999999999999,0.22068226156923043,0.6363608039323043,0.05336646853926329,1,1,1,1
0.7541666666666667,0.2234467512744787,0.6367355952025988,0.055082419630400045,1,1,1,1
0.7708333333333333,0.22595304408317599,0.6371154264040769,0.056487254994601964,1,1,1,1
0.7875,0.22830709011832057,0.63713997614588,0.05834140026233968,1,1,1,1
0.8041666666666667,0.230426005920756,0.6372537723734588,0.06093013621128009,1,1,1,1
0.8208333333333333,0.23260854266701916,0.6371456435338846,0.06366908210706394,1,1,1,1
0.8375,0.23459274163467306,0.6368690857979344,0.0663189721856124,1,1,1,1
0.8541666666666666,0.23650154815513572,0.6363929783881455,0.0686376752878243,1,1,1,1
0.8708333333333333,0.2384074736047611,0.6358363763776124,0.07078623444507268,1,1,1,1
0.8875,0.24027971743781246,0.6351424640719373,0.07284751858541856,1,1,1,1
0.9041666666666667,0.24206657562255424,0.6345303685233566,0.0747972553941383,1,1,1,1
0.9208333333333333,0.24378945818908976,0.6339824298659567,0.07653627773146195,1,1,1,1
0.9375,0.24548062240147847,0.6335415467931338,0.0779495056262801,1,1,1,1
