station,longitude_deg,latitude_deg,accepted_passes,rejected_short_passes,contact_hours,maximum_gap_hours
Svalbard,15.41000000,78.23000000,28,3,3.293945312,1.598697917
Fairbanks,-147.72000000,64.82000000,22,3,2.349739583,2.559440104
Singapore,103.70000000,1.32000000,8,0,0.820638021,3.933593750
Hartebeesthoek,27.71000000,-25.89000000,8,1,0.820833333,3.927994792
Cordoba,-66.10000000,-33.20000000,9,1,0.955013021,3.928841146
Troll,2.53000000,-72.00000000,26,0,3.099283854,2.627994792
