cli_seed,evaluations,elapsed_seconds,occupied,coverage,qd_score,best_training_quality,invalid_evaluations,clipped_descriptors
42,200192,0.461363313,400,1,588.0895881542616,0.1077353626292865,0,13
43,200192,0.45284842,400,1,600.451943431102,0.10817848434770726,0,19
44,200192,0.465697193,400,1,570.6186213866903,0.10941467216571718,0,12
mean,200192,0.459969642,400,1,586.3867176573512,0.108442839714237,0,14.666666666666666
sample_standard_deviation,0,0.00653677910316,0,0,14.9893829759,0.000870306239004,0,3.7859388972
