evaluations,elapsed_seconds,coverage,qd_score,best_quality,invalid_fraction
128,0.179739016,0.0375,1.557385813180001,9.366216233812068,0.6328125
256,0.359928666,0.065,2.6631413499197505,9.366216233812068,0.6015625
384,0.542266256,0.1025,4.154317210333454,9.12094203000223,0.578125
512,0.725756549,0.135,5.405811410868405,9.12094203000223,0.560546875
640,0.906334486,0.1775,6.994678198730892,9.12094203000223,0.55625
768,1.086683932,0.2175,8.540610532411883,9.12094203000223,0.5442708333333334
896,1.272059529,0.25,9.7804160261777,9.12094203000223,0.5245535714285714
1024,1.457176015,0.275,10.751403580325363,9.017687891774385,0.509765625
1152,1.634221926,0.29,11.353392185229117,9.017687891774385,0.4956597222222222
1280,1.8162491539999999,0.3175,12.391937862036976,9.017687891774385,0.48828125
1408,2.002367693,0.3275,12.787410199051038,9.017687891774385,0.47798295454545453
1536,2.186034341,0.3375,13.182560779251332,9.017687891774385,0.474609375
1664,2.366992104,0.3425,13.370285194125772,9.017687891774385,0.4723557692307692
1792,2.548266448,0.3525,13.76685841980711,9.017687891774385,0.46707589285714285
1920,2.746597757,0.36,14.045791480371443,9.017687891774385,0.46197916666666666
2048,2.926900906,0.37,14.43177860381552,9.017687891774385,0.45068359375
2176,3.1057602539999998,0.38,14.821551321335356,9.017687891774385,0.4443933823529412
2304,3.283488411,0.385,15.024215996017581,9.017687891774385,0.4418402777777778
2432,3.466532569,0.3875,15.121883796070048,9.017687891774385,0.43914473684210525
2560,3.647366339,0.3875,15.12362850402175,9.017687891774385,0.43515625
2688,3.836810689,0.3975,15.526930961074655,9.017687891774385,0.42671130952380953
2816,4.028987274,0.405,15.819344984674377,9.017687891774385,0.4229403409090909
2944,4.215953892,0.405,15.82327438618248,9.017687891774385,0.41847826086956524
3072,4.398473159,0.41,16.03943718700635,9.017687891774385,0.4156901041666667
3200,4.576417617,0.41,16.039856482978756,9.017687891774385,0.4125
3328,4.762396467,0.4125,16.145646761029475,9.017687891774385,0.4104567307692308
3456,4.940361977,0.4125,16.164572976790065,9.017687891774385,0.40914351851851855
3584,5.121065803,0.4125,16.17761577072705,9.017687891774385,0.40987723214285715
3712,5.304608826,0.4125,16.179126226545197,9.017687891774385,0.4078663793103448
3840,5.492509051,0.4175,16.39311525360581,9.017687891774385,0.40390625
3968,5.677696082,0.4175,16.405052991495914,9.017687891774385,0.4019657258064516
4096,5.860598271,0.42,16.508259462004332,9.017687891774385,0.40185546875
4224,6.038819446,0.42,16.528621629238692,9.017687891774385,0.3996212121212121
4352,6.216881195,0.425,16.739261352770036,9.017687891774385,0.3993566176470588
4480,6.404237319,0.4275,16.844569529746014,8.974438531930884,0.3953125
4608,6.579200868,0.4325,17.027939420290764,8.974438531930884,0.3947482638888889
4736,6.7643806269999995,0.4325,17.028245977318434,8.974438531930884,0.3927364864864865
4864,6.939839953,0.4325,17.033789781157758,8.974438531930884,0.3900082236842105
4992,7.117699482,0.4325,17.03604154442898,8.974438531930884,0.3880208333333333
5120,7.303716903,0.4325,17.036690862252183,8.974438531930884,0.385546875
5248,7.488356358,0.4375,17.234228257896266,8.974438531930884,0.38414634146341464
5376,7.668669195,0.4375,17.237314448327787,8.974438531930884,0.3820684523809524
5504,7.844581525,0.4375,17.23837180700665,8.974438531930884,0.381359011627907
5632,8.016878306,0.4375,17.254609376670157,8.974438531930884,0.380859375
5760,8.198173718,0.4425,17.450056561963788,8.974438531930884,0.3784722222222222
5888,8.376961364,0.445,17.60353683948853,8.974438531930884,0.37771739130434784
6016,8.551730205,0.445,17.603773727695675,8.974438531930884,0.37566489361702127
6144,8.735102987,0.445,17.606813483218986,8.974438531930884,0.3733723958333333
6272,8.920928356,0.45,17.799911606131595,8.974438531930884,0.37276785714285715
6400,9.098671513,0.4525,17.902813451182908,8.974438531930884,0.37265625
6528,9.287569609,0.4525,17.902841529965592,8.974438531930884,0.3714767156862745
6656,9.474808086,0.455,18.005639168243135,8.974438531930884,0.3698918269230769
6784,9.671563748,0.4625,18.280392635740796,8.974438531930884,0.36821933962264153
6912,9.860952109,0.465,18.384223329592093,8.974438531930884,0.3660300925925926
7040,10.050631629,0.47,18.56733713106803,8.974438531930884,0.36491477272727274
7168,10.225537433,0.475,18.808495113926526,8.974438531930884,0.36439732142857145
7296,10.407374778,0.475,18.809145491262566,8.974438531930884,0.3645833333333333
7424,10.583440434,0.4775,18.903374773489237,8.974438531930884,0.36341594827586204
7552,10.769381341999999,0.485,19.20566149219976,8.974438531930884,0.3620233050847458
7680,10.953395864,0.485,19.207315298512516,8.974438531930884,0.36080729166666664
7808,11.144468815,0.485,19.222283086758697,8.974438531930884,0.3603995901639344
7936,11.325717887,0.49,19.405988501245925,8.974438531930884,0.3588709677419355
8064,11.510098534,0.49,19.417162886734786,8.974438531930884,0.35912698412698413
8192,11.693300446,0.49,19.41725471100952,8.974438531930884,0.3585205078125
8320,11.87463395,0.49,19.41737569158856,8.974438531930884,0.35865384615384616
8448,12.060879265,0.49,19.430839575877176,8.974438531930884,0.3575994318181818
8576,12.243351288,0.4925,19.524541964273666,8.974438531930884,0.35657649253731344
8704,12.434492552,0.4925,19.524603584379662,8.974438531930884,0.3558134191176471
8832,12.625114086,0.4975,19.737888749883915,8.974438531930884,0.3554121376811594
8960,12.809849726,0.4975,19.739913522895737,8.974438531930884,0.35446428571428573
9088,12.997616806,0.5,19.836020753818058,8.974438531930884,0.3537632042253521
9216,13.187212872,0.5025,19.940081989884312,8.974438531930884,0.3532986111111111
9344,13.373745981999999,0.5025,19.94029484764327,8.974438531930884,0.3525256849315068
9472,13.562402436,0.505,20.044241937916162,8.974438531930884,0.35124577702702703
9600,13.754571687,0.505,20.044292195372694,8.974438531930884,0.35104166666666664
9728,13.940723271,0.5075,20.134523918955768,8.974438531930884,0.35063733552631576
9856,14.13412733,0.5075,20.138814301215607,8.974438531930884,0.35125811688311687
