active_index,member_index,node_a,node_b,x_a_m,y_a_m,x_b_m,y_b_m,length_m,section_index,section_name,axial_force_n,utilization
0,0,0,1,0.00000000000000000,0.00000000000000000,0.00000000000000000,2.00000000000000000,2.00000000000000000,8,CHS139.7x5.0,-180510.96532545512309298,0.39680547523469389
1,3,0,4,0.00000000000000000,0.00000000000000000,2.19110269009370207,1.83835865840198953,2.86015621172295775,7,CHS114.3x4.5,117481.51294727993081324,0.35201919407095111
2,6,1,2,0.00000000000000000,2.00000000000000000,0.00000000000000000,4.00000000000000000,2.00000000000000000,8,CHS139.7x5.0,-9436.28033966467228311,0.02074315927499180
3,7,1,3,0.00000000000000000,2.00000000000000000,2.43190342765515144,-0.16949047483063720,3.25896351649136129,11,CHS219.1x8.0,280765.09444837563205510,0.24613680625914020
4,8,1,4,0.00000000000000000,2.00000000000000000,2.19110269009370207,1.83835865840198953,2.19705687724497967,10,CHS193.7x6.3,-210081.83792228111997247,0.26344504806234192
5,12,2,4,0.00000000000000000,4.00000000000000000,2.19110269009370207,1.83835865840198953,3.07792532207029090,1,CHS42.4x2.6,14028.26949346679066366,0.20070553419247189
6,13,2,5,0.00000000000000000,4.00000000000000000,2.40633843888436694,3.89979876612014387,2.40842375210914605,11,CHS219.1x8.0,-9995.04944624744166504,0.00876230556342851
7,15,3,4,2.43190342765515144,-0.16949047483063720,2.19110269009370207,1.83835865840198953,2.02223716142126841,7,CHS114.3x4.5,-109900.38418916401860770,0.32930325546384737
8,16,3,5,2.43190342765515144,-0.16949047483063720,2.40633843888436694,3.89979876612014387,4.06936954517141825,8,CHS139.7x5.0,-72584.07802837040799204,0.15955684201561399
9,17,3,6,2.43190342765515144,-0.16949047483063720,4.61932625603145475,-0.22795831746163175,2.18820408525432297,7,CHS114.3x4.5,196044.04839359724428505,0.58742236277540616
10,21,4,5,2.19110269009370207,1.83835865840198953,2.40633843888436694,3.89979876612014387,2.07264607332426998,11,CHS219.1x8.0,118379.37097270373487845,0.10377899843794433
11,22,4,6,2.19110269009370207,1.83835865840198953,4.61932625603145475,-0.22795831746163175,3.18840642499001969,4,CHS76.1x3.6,42884.01525746251718374,0.24325770321138449
12,24,4,8,2.19110269009370207,1.83835865840198953,4.79999999999999982,4.00000000000000000,3.38807297196237567,7,CHS114.3x4.5,-301722.34256600582739338,0.90407463437202817
13,26,5,6,2.40633843888436694,3.89979876612014387,4.61932625603145475,-0.22795831746163175,4.68355565995547352,8,CHS139.7x5.0,-45474.42779531828273321,0.10015414149075832
14,28,5,8,2.40633843888436694,3.89979876612014387,4.79999999999999982,4.00000000000000000,2.39575790856120818,7,CHS114.3x4.5,235392.03968181848176755,0.70532387624847681
15,29,5,11,2.40633843888436694,3.89979876612014387,7.19999999999999929,4.00000000000000000,4.79470869290185409,8,CHS139.7x5.0,-210045.39033854778972454,0.48482823676621345
16,32,6,9,4.61932625603145475,-0.22795831746163175,6.84277248860044018,-0.19820365422703184,2.22364531549197819,0,CHS33.7x2.6,-0.00000000012712601,0.00000000000000981
17,33,6,10,4.61932625603145475,-0.22795831746163175,7.13208540021431059,1.82684105236943650,3.24594500368270467,9,CHS168.3x6.3,1524.87372526777335224,0.00221202476397668
18,35,6,12,4.61932625603145475,-0.22795831746163175,9.54425226531131976,-0.08251715500389817,4.92707309958136808,6,CHS101.6x4.0,206056.23486899718409404,0.78142557029892856
