evaluations,elapsed_seconds,best_quality,generation,feasible_population,pareto_population
128,0.022637021000,0.000000000000,1,0,0
1280,0.209833353000,0.000000000000,10,0,0
2560,0.682186635000,0.061894012108,20,109,109
3840,1.185963885000,0.063972185267,30,123,123
5120,1.682940579000,0.064681626378,40,120,120
6400,2.182684840000,0.065097147833,50,122,122
7680,2.688552661000,0.064991716891,60,122,122
8192,3.069345518000,0.064987450604,64,120,120
