evaluations,elapsed_seconds,coverage,qd_score,best_quality
128,0.213955762,0.115,28.93411130339952,1.468914661261357
256,0.427252542,0.2325,58.86752183589148,1.430269613254744
384,0.643856311,0.29,73.74767314142939,1.4021917026258677
512,0.862733275,0.3325,85.0291713741263,1.4021917026258677
640,1.078326701,0.3625,92.98174803846682,1.4021917026258677
768,1.282546946,0.4,102.89833003740374,1.308101091417828
896,1.494310649,0.4425,113.83206546003775,1.308101091417828
1024,1.703236186,0.4575,118.11831060229758,1.304449907116275
1152,1.9120467589999999,0.4725,122.41783306395756,1.304449907116275
1280,2.126613211,0.485,126.08710320212074,1.304449907116275
1408,2.338290559,0.4925,128.77043842086235,1.304449907116275
1536,2.551698146,0.5025,131.85391864605194,1.304449907116275
1664,2.761755444,0.51,134.2168567287647,1.304449907116275
1792,2.972057652,0.52,137.32768020064935,1.304449907116275
1920,3.181808088,0.5325,141.21886962501705,1.304449907116275
2048,3.403846863,0.55,146.39360654412218,1.2858815036932028
2176,3.615444706,0.555,147.91649539386557,1.2858815036932028
2304,3.82865075,0.56,149.87667873130516,1.2858815036932028
2432,4.050693179,0.5625,150.92295950006246,1.2694544005344062
2560,4.257965299,0.565,151.92487780838346,1.2694544005344062
2688,4.463533619,0.5725,154.23911507199753,1.2694544005344062
2816,4.669170729,0.58,156.64400579900192,1.2518896720929207
2944,4.882971961,0.5825,157.62187286672838,1.2518896720929207
3072,5.092286279,0.59,160.08770691904215,1.2518896720929207
3200,5.300586379,0.595,161.80843494143616,1.2518896720929207
3328,5.513376634,0.5975,162.79781162603405,1.2518896720929207
3456,5.726411526,0.6,163.96425761965068,1.2518896720929207
3584,5.937653634,0.6025,164.9090215548357,1.2518896720929207
3712,6.160344524,0.615,168.31751783592588,1.2518896720929207
3840,6.381105457,0.62,169.84555642767404,1.2518896720929207
3968,6.596178529,0.6225,170.78080770435514,1.2518896720929207
4096,6.810304944,0.625,171.74009554667717,1.2518896720929207
4224,7.027666922,0.63,173.2496210837908,1.2518896720929207
4352,7.234716896,0.63,173.5004729663273,1.2518896720929207
4480,7.443515398,0.64,176.23986250242785,1.2455477755932995
4608,7.668578523,0.6425,177.12804109499206,1.2455477755932995
4736,7.884029607,0.6425,177.40152014936405,1.2455477755932995
4864,8.095211105,0.65,179.45410780566198,1.2455477755932995
4992,8.313363807,0.6575,181.60303008615435,1.2455477755932995
5120,8.526614919,0.6625,183.11597532485072,1.2455477755932995
5248,8.738231552,0.6675,184.48863481119636,1.2455477755932995
5376,8.955673077,0.67,185.1828844110501,1.2455477755932995
5504,9.175544353,0.675,186.53927330134525,1.2455477755932995
5632,9.396367647,0.675,186.80325644134345,1.2344038350168869
5760,9.607311031,0.6775,187.69533701565396,1.2344038350168869
5888,9.818396875,0.68,188.52628012725117,1.2344038350168869
6016,10.036275659,0.68,188.740639776465,1.2344038350168869
6144,10.258762307,0.68,188.95655753450353,1.2344038350168869
6272,10.474436328,0.6825,189.71930170718895,1.2344038350168869
6400,10.685784961,0.6825,190.06186203438898,1.2344038350168869
6528,10.892893069,0.6825,190.1835066648209,1.2344038350168869
6656,11.113551313,0.6825,190.27627404119147,1.2344038350168869
6784,11.325176186,0.685,190.96609372767168,1.2344038350168869
6912,11.537936206,0.6875,191.82462062171578,1.2344038350168869
7040,11.746697575,0.6875,191.96340675961707,1.2344038350168869
7168,11.953982915,0.6875,192.15599058617835,1.2344038350168869
7296,12.163056193,0.6925,193.5529357192302,1.2344038350168869
7424,12.368415146,0.6925,193.66976669252776,1.2344038350168869
7552,12.57945227,0.695,194.5090799316562,1.2344038350168869
7680,12.790319948,0.695,194.61750919520804,1.2344038350168869
7808,13.010837062,0.695,194.73318874930382,1.2344038350168869
7936,13.217840269,0.695,194.89595283892777,1.2344038350168869
8064,13.431072541,0.695,195.0259219965423,1.2344038350168869
8192,13.646483307,0.7,196.45908893054494,1.2344038350168869
8320,13.869352565,0.7,196.49308931208265,1.2344038350168869
8448,14.090864921,0.705,197.9479628276175,1.2344038350168869
8576,14.298389155,0.705,198.11466856714694,1.2344038350168869
8704,14.514615835,0.705,198.23298533992838,1.2344038350168869
8832,14.723032349,0.705,198.30035793601337,1.2344038350168869
8960,14.933345754,0.7075,199.31856636046737,1.2344038350168869
9088,15.147376004,0.7075,199.6126225900487,1.2344038350168869
9216,15.372065175,0.7075,199.7167956853261,1.2344038350168869
9344,15.597289561,0.71,200.40080160684414,1.2344038350168869
9472,15.808278099,0.71,200.56743409857643,1.2344038350168869
9600,16.019007483,0.71,200.7046467045418,1.2344038350168869
9728,16.238928576,0.7125,201.42454093924866,1.2344038350168869
9856,16.452557885,0.7125,201.58409648686884,1.2344038350168869
9984,16.655439412,0.7125,201.73229385011203,1.2344038350168869
10112,16.869217312,0.7125,201.830674478891,1.2344038350168869
10240,17.081616559,0.7125,201.9378131441882,1.2344038350168869
10368,17.289959115,0.7125,201.99662798693885,1.2344038350168869
10496,17.505459555,0.7125,202.20378210297096,1.2344038350168869
10624,17.716542068,0.715,202.9591770409009,1.2344038350168869
10752,17.929919678,0.715,203.0776538891599,1.2344038350168869
10880,18.147437807,0.715,203.2577680576787,1.2344038350168869
11008,18.363378876,0.715,203.33695172425564,1.2344038350168869
11136,18.574868638,0.715,203.46841693144816,1.2344038350168869
11264,18.796257163,0.715,203.5448696736692,1.2344038350168869
11392,19.014462919,0.715,203.60191665666133,1.2344038350168869
11520,19.243021161,0.715,203.75438056822745,1.2344038350168869
11648,19.488429842,0.7175,204.56016345087374,1.2344038350168869
11776,19.69053126,0.7175,204.62523297188403,1.2344038350168869
11904,19.895140981,0.7175,204.68927906849981,1.2344038350168869
12032,20.112316573,0.7175,204.7832880477143,1.2123772898419303
12160,20.320057877,0.7175,204.86415328219985,1.2123772898419303
12288,20.535101114,0.7175,205.00319758894278,1.2123772898419303
12416,20.738901866,0.7175,205.1429890898522,1.2123772898419303
12544,20.942994937,0.7175,205.1771677697643,1.2123772898419303
12672,21.154863986,0.72,205.98437886144646,1.2123772898419303
12800,21.356534436,0.72,206.02473403134417,1.2123772898419303
12928,21.572823233,0.72,206.14193176684924,1.2123772898419303
13056,21.779741712,0.72,206.23541317736374,1.2123772898419303
13184,21.995437399,0.72,206.34761928353248,1.2123772898419303
13312,22.209481176,0.72,206.37597229949657,1.2123772898419303
13440,22.416479306,0.72,206.42079911614547,1.2123772898419303
13568,22.621915535,0.7225,207.18572985325042,1.2123772898419303
13696,22.824611179,0.725,207.95713759076727,1.2123772898419303
13824,23.036486635,0.725,207.9813987156663,1.2123772898419303
13952,23.240460135,0.7275,208.74015886812407,1.2123772898419303
14080,23.446936026,0.73,209.4203860967316,1.2123772898419303
14208,23.654382255,0.73,209.53805045458083,1.2123772898419303
14336,23.860577421,0.73,209.60035826666396,1.2123772898419303
