niche_id,grid_x,grid_y,selected,quality,descriptor_flow_rate_m2_s,descriptor_low_velocity_fraction,visits,exposure,maximum_receptor,fan_power,final_mass_fraction,clearance_time,decision_inlet_y,decision_inlet_width,decision_outlet_y,decision_outlet_width,decision_inlet_velocity,decision_baffle_x,decision_baffle_y,decision_baffle_length,decision_baffle_angle
19,19,0,1,1.1431243917081717,2.0250000000000004,0.027586206896551724,95,0.5704050408477067,0.5075703048842579,0.9904891304347828,0.24167274466275895,1,0.29673376609394553,0.45,0.3664460873093897,0.3962056821558659,1.5,0.6109417595177361,0.674509193045982,0.6128473721673339,-1.0168194384482883
18,18,0,0,1.1432952850267972,1.9166392297872719,0.03233256351039261,83,0.5955914865029696,0.5084510576631572,0.8398384433728684,0.2510211620353508,1,0.29935432934612916,0.45,0.37801567394558944,0.38300998620682136,1.4197327628053864,0.6020751454092492,0.6395268727314896,0.640504664809183,-0.8846029412901523
39,19,1,0,1.1661708292937434,1.9910497106505751,0.07226107226107226,52,0.5812455483000184,0.507820293650735,0.9738830106443032,0.27247706407899364,1,0.30033533956622666,0.4424554912556834,0.2845994031061471,0.2957978909494209,1.5,0.8,0.5073599789905413,0.5093036231546448,-0.1191465502582364
16,16,0,0,1.1786679805072187,1.7193570566972487,0.03935185185185185,105,0.6111247903652288,0.5106202199058832,0.6062794635121693,0.3819543749732288,1,0.3038689309953387,0.45,0.29270192316777327,0.42255504692852897,1.2735978197757398,0.6153950549137296,0.6160688978172849,0.627041097792012,-1.2413030133572962
37,17,1,0,1.1841111804729574,1.8136977136288064,0.052873563218390804,74,0.6299779710061109,0.5070750562513081,0.7537460584411275,0.29969293930593416,1,0.2744972549193591,0.43725487550507075,0.3036105912789504,0.3624958411361211,1.3826395962871876,0.608261873573572,0.6335941385273155,0.6327032120478986,-0.8016586262426348
58,18,2,0,1.1890625468653233,1.8779295941560177,0.10904872389791183,57,0.5856677608952782,0.5090298023613671,0.8671207760006133,0.350911459178478,1,0.3176025883206482,0.4295156499106473,0.12847341987433608,0.35484978956330526,1.4574009853088288,0.8,0.42092278567758956,0.4433507668158429,-0.24804210053049003
38,18,1,0,1.1907107723216934,1.8923971009990805,0.08584686774941995,45,0.5742169803045147,0.508052012100146,0.9183555042999154,0.3575933702142449,1,0.31300531726529607,0.42219474546112423,0.33351325344356153,0.36368216967706,1.4940949418434772,0.7999172773827896,0.4947223468805059,0.4281858432657196,0.18980636228533748
59,19,2,0,1.1953233556913625,2.0250000000000004,0.10023310023310024,43,0.5772266315267891,0.5083461895547023,0.9904891304347828,0.3316516066005309,1,0.3145315021863162,0.45,0.12,0.34459682264351343,1.5,0.8,0.45005334985118045,0.5313508574793238,-0.29435550781098263
57,17,2,0,1.196369852776375,1.7768125750278019,0.10772833723653395,62,0.6012249445652786,0.5095904190865428,0.6691130325581585,0.4130541843123869,1,0.3232905995588352,0.45,0.2615258118526622,0.33144477102892916,1.3161574629835568,0.7887250944230553,0.464933511592469,0.521882318245851,0.05228701585565663
17,17,0,0,1.1987274574495834,1.7404092866821022,0.03926096997690531,87,0.6036275362485684,0.5079221399464052,0.6288235633776024,0.43074827710458385,1,0.2814060785975528,0.45,0.35423415177871437,0.4140084828416307,1.2891920642089645,0.5869262466042217,0.6652248818447958,0.603930593909485,-1.2347630381804329
36,16,1,0,1.2121288716952723,1.7343354635500892,0.08083140877598152,54,0.6630890375564437,0.5115962503634113,0.6222629522961751,0.3375782369957761,1,0.34493508817499163,0.45,0.28124277661758623,0.3670861194426208,1.2846929359630288,0.7926026380862335,0.4840088406366388,0.42018430063897216,-0.061506073635060526
56,16,2,0,1.2218757068972537,1.7116607109668525,0.10328638497652583,76,0.6475292375379857,0.5139024682161901,0.5981742002426423,0.3955207904052887,1,0.38419882109386794,0.45,0.28511447809637724,0.30297084437271166,1.267896822938409,0.8,0.46770141904697304,0.5274969291280751,0.0019604267061091654
15,15,0,0,1.2236625246152997,1.5889539546522335,0.04895104895104895,93,0.6734157288169441,0.508404280367372,0.5389683797618263,0.3765019593246086,1,0.26869790545668343,0.424018840818897,0.2145210808717919,0.4312861673476053,1.2491221314470573,0.7972539635266436,0.5802378646811309,0.5055860290587272,0.19767879625098567
34,14,1,0,1.2355920237820088,1.5152851502126654,0.09579439252336448,95,0.6564514176219999,0.5108183715178117,0.4763841336777196,0.4569091873311182,1,0.3109606840474984,0.42001300316916396,0.17834474228662098,0.40822546445727315,1.2025700305936886,0.7987086663970988,0.4887625087795694,0.5143551646099888,0.14207704357207598
35,15,1,0,1.2393412774521735,1.612548976850214,0.06775700934579439,94,0.6695171795356418,0.5087363681927863,0.5188522087200216,0.423370944152268,1,0.2798480498133942,0.441822028818427,0.2375446368468958,0.45,1.216590143896238,0.8,0.5640631974212608,0.5297999676021649,0.21374720322374913
55,15,2,0,1.2405912934793328,1.633027476072224,0.1186046511627907,66,0.6690398423957049,0.51437486870851,0.5194635833622155,0.4209426001138598,1,0.3916996100090675,0.45,0.1401667214506092,0.31313684493349747,1.2096499822757214,0.8,0.4344600255657171,0.49663900984910414,-0.08180981244760073
79,19,3,0,1.2448013233085418,1.940129642903975,0.15456674473067916,54,0.5645794989752363,0.508397235878111,0.8710977360196533,0.5036073183806385,1,0.27216498250884513,0.45,0.12,0.24967071759482606,1.4371330688177593,0.8,0.38143210185364224,0.506126207211912,-0.020511374531894958
53,13,2,0,1.2511001128701098,1.4078717818656583,0.11214953271028037,71,0.7005246691644913,0.5132855002850147,0.38443189420032564,0.434092629446092,1,0.35400315633828044,0.41873067796357866,0.15836472069703078,0.29100482373456177,1.120745669358476,0.8,0.4406863267346826,0.5555295282127428,-0.16515182146700325
54,14,2,0,1.2554344088162037,1.5075917371229646,0.1056338028169014,70,0.6900470534766961,0.5131978366796849,0.4087199878633297,0.45408887885399873,1,0.35911361012139226,0.45,0.24064970395725385,0.23893178067972132,1.1167346200910848,0.8,0.46424303512787474,0.5635660235678557,0.027207932288073944
