candidate_id,feasible,scalar_fitness,log_loss,brier,pr_auc,roc_auc,ece,recall,precision,predicted_positive_rate,false_positives,false_negatives,mean_model_bytes,mean_structural_cost,estimated_structural_cost,recall_violation,structural_violation,model_fits,trees_fitted,elapsed_seconds,failure,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index
10,1,0.733736893790056,0.733736893790056,0.1526234067904109,0.21530440685045946,0.61225,0.10231452731481482,0.125,0.23809523809523808,0.0875,16,35,20255,50.8,162,-0.024999999999999994,-0.999919,5,45,0.010573477,,9,11,16,11,0.8120443284059031,0.6509628740704917,1.5967679461576596,0
11,1,0.56890025700514,0.56890025700514,0.15189392272734764,0.2533161295253753,0.588375,0.12007568257575756,0.125,0.29411764705882354,0.07083333333333333,12,35,63208,105.8,3355,-0.024999999999999994,-0.9983225,5,55,0.008133503,,11,17,1,7,0.7986529517523209,0.32211161008345013,2.6497947618055084,0
12,0,15.065510557964274,0.49184241018801717,0.15813437404346484,0.2349039239693065,0.6345,0.13181818181818183,0.075,0.15789473684210525,0.07916666666666666,16,37,117146.4,272.4,2739,0.02500000000000001,-0.9986305,5,165,0.014924461,,33,11,3,18,0.6557508672652921,0.2916224592514402,3.246607607856317,1
13,0,15.815510557964274,0.43392656714491756,0.13541358481265256,0.25568234108674004,0.6648125,0.04102561185897438,0,0,0.004166666666666667,1,40,108749.2,297.8,1404,0.1,-0.999298,5,260,0.057434592,,52,9,13,48,0.9790058812619533,0.7946337820673163,1.2796426549095308,1
14,0,15.815510557964274,2.3025859263278,0.16666633333433287,0.16666666666666666,0.5,0.16666566666666666,0,0,0,0,40,24774.8,85.2,132,0.1,-0.999934,5,110,0.006638138,,22,8,22,22,0.44677732966311046,0.5507590504023234,0.5524338521939871,1
15,0,15.815510557964274,0.4131488168838704,0.12910493827162145,0.31413717820563647,0.7073125,0.028425909259259155,0,0,0,0,40,119700.8,290.8,1575,0.1,-0.9992125,5,225,0.030205336,,45,16,5,3,0.47976785001316885,0.8299095404103751,1.0555192895127898,1
16,0,15.815510557964274,0.6641081666062327,0.15020170140288958,0.25186649132927036,0.6418125,0.12283086272831051,0,0,0,0,40,109652.6,371,7300,0.1,-0.99635,5,365,0.020216485,,73,12,2,43,0.5271538581600027,0.38390085654216943,0.6706255206222282,1
17,0,15.815510557964274,0.9068229054490501,0.1461418919756291,0.1985419726595948,0.569125,0.07916634583333337,0,0,0.004166666666666667,1,40,16244.2,48.6,126,0.1,-0.999937,5,45,0.003645767,,9,10,13,11,0.5172821428827714,0.45235886867187936,1.134327148523032,1
18,0,15.815510557964274,0.5393654628613516,0.13983766051679763,0.23234780376199612,0.6228125,0.06018507685185188,0,0,0.008333333333333333,2,40,84538,201.8,2889,0.1,-0.9985555,5,135,0.012037252,,27,21,2,5,0.565065606741765,0.502376039943685,0.5998542295551248,0
19,0,15.815510557964274,0.43403674765271244,0.13366220435300205,0.29843528120492596,0.6390625,0.03191153238546607,0,0,0,0,40,340991.4,1047.2,2321,0.1,-0.9988395,5,1055,0.065336373,,211,17,15,3,0.4843354734903078,0.364959442040958,1.5088005374768887,1
20,1,1.0072517992450334,1.0072517992450334,0.14986969166697486,0.24316590064591415,0.5904375,0.11770802500000002,0.225,0.4090909090909091,0.09166666666666666,13,31,16366.2,45.8,120,-0.125,-0.99994,5,40,0.005671997,,8,16,23,40,0.9808851675623446,0.4883003523811172,1.867989123706962,0
21,0,15.815510557964274,0.43747437594567934,0.13630122245179896,0.23709746406903973,0.64375,0.035132567424242395,0,0,0.004166666666666667,1,40,195925,379.6,2816,0.1,-0.998592,5,220,0.034369679,,44,18,5,3,0.8556284120599698,0.3376597354990085,1.1337022780996975,1
22,0,15.565510557964274,0.5537665977907144,0.1350422927085665,0.2649222681238789,0.67725,0.06848935,0.025,1,0.004166666666666667,0,39,43408,103.2,640,0.07500000000000001,-0.99968,5,80,0.014608808,,16,21,6,6,0.6405146159961085,0.9679099386404897,0.8391269976445253,0
23,0,15.815510557964274,0.6608400969393178,0.13629396839290042,0.2671996428157124,0.644875,0.055246788580246925,0,0,0.004166666666666667,1,40,78421.8,179.6,1080,0.1,-0.99946,5,135,0.029715841,,27,6,9,9,0.9637307502019477,0.6760088856152968,0.766073696250496,1
24,0,15.315510557964274,0.501396182288799,0.1307411066881681,0.32467664200726676,0.6935,0.04002517752525252,0.05,1,0.008333333333333333,0,38,243513.2,501.2,3894,0.05,-0.998053,5,330,0.090962812,,66,22,6,7,0.9503328249284759,0.8776731797687517,0.97381097479138,0
25,1,0.4508712719461314,0.4508712719461314,0.13995382829965675,0.2977520805543397,0.635,0.08221677559912857,0.125,0.625,0.03333333333333333,3,35,128174.2,459,1071,-0.024999999999999994,-0.9994645,5,765,0.05513237,,153,2,22,61,0.9964156703662652,0.2999520348590011,2.677015645208959,0
26,0,15.065510557964274,0.4567346705029137,0.14191984953708697,0.23583734976413556,0.6015,0.06406245,0.075,0.42857142857142855,0.029166666666666667,4,37,38002,116.8,240,0.02500000000000001,-0.99988,5,120,0.007640897,,24,24,21,21,0.6362506038121172,0.2796843379077804,2.0798513690335034,0
27,0,15.065510557964274,0.7733940249659702,0.18137855915648693,0.18072677223410386,0.531875,0.1546295212962963,0.075,0.12,0.10416666666666667,22,37,25286,58.8,198,0.02500000000000001,-0.999901,5,45,0.006634307,,9,13,16,5,0.9698692324957443,0.36628412307634495,2.797039431363557,1
28,0,15.815510557964274,2.3025859263278,0.16666633333433287,0.16666666666666666,0.5,0.16666566666666666,0,0,0,0,40,86671.6,300.8,425,0.1,-0.9997875,5,425,0.04537722,,85,21,54,57,0.9036839986189563,0.515786637979592,0.8726363660459279,0
29,0,15.815510557964274,1.4977180613828975,0.15829063299377613,0.183439760848006,0.52225,0.13541608749999995,0,0,0,0,40,33380.8,112,420,0.1,-0.99979,5,140,0.014007822,,28,3,5,19,0.926667215706614,0.35738632552800925,0.7424618568870852,1
30,0,15.815510557964274,0.45528688331668504,0.13880749842470072,0.24037012487738899,0.5989375,0.05362318840579709,0,0,0,0,40,41355.4,138,138,0.1,-0.999931,5,230,0.019097553,,46,13,42,4,0.4428961905617178,0.8183799574195971,2.6285419500777407,0
31,0,15.065510557964274,0.4365970751987221,0.13589704376648612,0.3228342487490805,0.6801875,0.07995323129251698,0.075,0.42857142857142855,0.029166666666666667,4,37,884264.8,1760.8,47628,0.02500000000000001,-0.976186,5,980,0.107336009,,196,14,1,7,0.6363079958255415,0.4296132691029005,1.7486318178722515,0
32,1,0.43783303765662634,0.43783303765662634,0.14089038990163286,0.33185316755393035,0.710125,0.0932725819444444,0.2,0.27586206896551724,0.12083333333333333,21,32,244714.4,671.6,6816,-0.1,-0.996592,5,480,0.100278857,,96,9,4,34,0.7552406711219591,0.9473744290300785,1.9854930974352711,0
33,0,15.815510557964274,1.679313029286857,0.16377722650965343,0.1886904761904762,0.56375,0.15987580570987656,0,0,0,0,40,43060.2,162,216,0.1,-0.999892,5,270,0.011878401,,54,22,44,5,0.5880104826734531,0.3058415222061111,1.5416617847664325,1
34,1,0.5784877662929535,0.5784877662929535,0.14305010520853323,0.2369617291302338,0.6468125,0.06223938333333333,0.1,0.26666666666666666,0.0625,11,36,46812.6,130.4,2416,0,-0.998792,5,80,0.011768989,,16,10,2,26,0.7921474814145644,0.5767642248191495,0.9953800375578646,0
35,0,15.815510557964274,0.659944163185598,0.1594883638671287,0.16666666666666666,0.5,0.14320297951582858,0,0,0,0,40,96649,179,358,0.1,-0.999821,5,895,0.044783034,,179,13,46,13,0.40086829912814076,0.6971796064785127,3.1509216449548307,0
36,0,15.815510557964274,1.6596497542700037,0.15755186666732468,0.189979674796748,0.518625,0.13697850833333328,0,0,0,0,40,27451.6,80,336,0.1,-0.999832,5,80,0.009281094,,16,4,15,4,0.8770827841382687,0.4346437555343564,0.7030860144811341,1
37,1,0.6113933521247222,0.6113933521247222,0.1927083250000457,0.21593058270664697,0.6089375,0.1862499541666667,0.45,0.23076923076923078,0.325,60,22,23259.6,68,1220,-0.35,-0.99939,5,50,0.007299114,,10,21,2,40,0.6407088315328836,0.7984802402182556,3.1296140241700825,0
